,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,DATE,OPPONENT,ARENA
0,"FEB 11, 2017 - LAC @ CHA",W,28,9,4,7,57.1,1,3,33.3,0,0,0.0,0,7,7,5,0,1,1,0,6,2017-02-11 00:00:00,CHA,AWAY
1,"FEB 08, 2017 - LAC @ NYK",W,21,3,1,6,16.7,1,1,100.0,0,0,0.0,3,2,5,3,0,0,0,2,1,2017-02-08 00:00:00,NYK,AWAY
2,"FEB 06, 2017 - LAC @ TOR",L,36,7,3,9,33.3,1,3,33.3,0,0,0.0,0,6,6,6,1,0,2,1,-22,2017-02-06 00:00:00,TOR,AWAY
3,"FEB 05, 2017 - LAC @ BOS",L,25,16,6,10,60.0,3,5,60.0,1,2,50.0,1,4,5,4,0,0,1,3,-1,2017-02-05 00:00:00,BOS,AWAY
4,"FEB 02, 2017 - LAC vs. GSW",L,33,9,3,6,50.0,0,1,0.0,3,4,75.0,1,3,4,5,1,1,2,2,-12,2017-02-02 00:00:00,GSW,HOME
5,"FEB 01, 2017 - LAC @ PHX",W,30,18,7,14,50.0,2,3,66.7,2,2,100.0,1,4,5,1,0,0,2,4,15,2017-02-01 00:00:00,PHX,AWAY
6,"JAN 28, 2017 - LAC @ GSW",L,28,10,3,12,25.0,2,5,40.0,2,2,100.0,2,5,7,5,0,1,3,1,-31,2017-01-28 00:00:00,GSW,AWAY
7,"JAN 24, 2017 - LAC @ PHI",L,17,2,1,3,33.3,0,2,0.0,0,0,0.0,0,1,1,3,1,0,0,3,-12,2017-01-24 00:00:00,PHI,AWAY
8,"JAN 23, 2017 - LAC @ ATL",W,30,14,6,13,46.2,2,4,50.0,0,0,0.0,2,3,5,3,0,0,2,5,5,2017-01-23 00:00:00,ATL,AWAY
9,"JAN 21, 2017 - LAC @ DEN",L,30,14,6,17,35.3,2,6,33.3,0,0,0.0,0,3,3,3,0,0,0,1,-20,2017-01-21 00:00:00,DEN,AWAY
10,"JAN 19, 2017 - LAC vs. MIN",L,34,10,5,12,41.7,0,3,0.0,0,0,0.0,1,3,4,8,2,0,0,3,1,2017-01-19 00:00:00,MIN,HOME
11,"JAN 16, 2017 - LAC vs. OKC",W,27,15,7,7,100.0,0,0,0.0,1,2,50.0,0,3,3,6,1,1,2,1,4,2017-01-16 00:00:00,OKC,HOME
12,"JAN 14, 2017 - LAC vs. LAL",W,25,15,7,11,63.6,1,2,50.0,0,0,0.0,0,2,2,4,0,1,0,1,6,2017-01-14 00:00:00,LAL,HOME
13,"JAN 11, 2017 - LAC vs. ORL",W,17,8,4,6,66.7,0,1,0.0,0,0,0.0,0,3,3,0,0,1,2,3,-1,2017-01-11 00:00:00,ORL,HOME
14,"JAN 08, 2017 - LAC vs. MIA",W,37,7,3,11,27.3,1,6,16.7,0,0,0.0,1,6,7,5,2,0,1,3,8,2017-01-08 00:00:00,MIA,HOME
15,"JAN 06, 2017 - LAC @ SAC",W,21,5,2,6,33.3,1,1,100.0,0,0,0.0,0,3,3,2,0,1,0,1,10,2017-01-06 00:00:00,SAC,AWAY
16,"JAN 04, 2017 - LAC vs. MEM",W,37,11,4,9,44.4,0,0,0.0,3,4,75.0,0,4,4,6,4,0,2,3,9,2017-01-04 00:00:00,MEM,HOME
17,"JAN 02, 2017 - LAC vs. PHX",W,37,16,5,13,38.5,0,2,0.0,6,8,75.0,0,4,4,5,1,2,4,3,6,2017-01-02 00:00:00,PHX,HOME
18,"DEC 31, 2016 - LAC @ OKC",L,32,9,4,9,44.4,1,2,50.0,0,0,0.0,0,2,2,4,1,0,1,1,-7,2016-12-31 00:00:00,OKC,AWAY
