BREAKDOWN,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-
2016-17,51,19.7,5.2,1.8,4.3,42.0,0.7,2.3,30.2,0.9,1.3,72.7,0.4,2.0,2.4,0.9,0.6,0.3,0.1,1.9,1,0,2.2
Home,26,21.2,5.8,2.2,4.8,45.6,0.6,2.3,27.1,0.8,1.1,78.6,0.3,2.6,2.9,1.2,0.6,0.2,0.1,1.8,1,0,5.9
Road,25,18.1,4.6,1.4,3.8,37.2,0.8,2.3,33.3,1.0,1.5,68.4,0.4,1.4,1.8,0.6,0.7,0.4,0.2,2.0,0,0,-1.7
Wins,36,21.0,5.4,1.9,4.5,42.2,0.5,2.2,21.3,1.1,1.4,80.0,0.4,2.2,2.6,1.1,0.6,0.3,0.1,1.9,1,0,4.8
Losses,15,16.5,4.9,1.6,3.9,41.4,1.2,2.4,50.0,0.5,1.1,50.0,0.3,1.5,1.9,0.3,0.7,0.2,0.1,1.9,0,0,-4.3
October,3,23.0,7.0,2.7,5.7,47.1,0.7,2.7,25.0,1.0,2.0,50.0,0.3,2.7,3.0,1.0,1.0,1.3,0.0,2.3,0,0,6.0
November,13,17.7,3.7,1.3,3.5,37.8,0.5,1.9,28.0,0.5,0.6,87.5,0.3,2.2,2.5,0.9,0.4,0.2,0.1,1.2,0,0,3.7
December,16,19.6,5.9,2.0,4.6,43.2,0.8,2.4,31.6,1.1,1.4,81.8,0.2,1.5,1.7,0.9,0.6,0.3,0.2,2.1,0,0,2.4
January,14,21.2,5.9,2.0,4.6,43.1,0.9,2.5,34.3,1.0,1.6,63.6,0.5,2.2,2.7,0.9,1.1,0.2,0.1,2.3,1,0,-1.1
February,5,19.1,4.4,1.4,3.6,38.9,0.4,2.0,20.0,1.2,1.6,75.0,0.8,2.2,3.0,0.6,0.2,0.2,0.2,1.8,0,0,4.2
Pre All-Star,51,19.7,5.2,1.8,4.3,42.0,0.7,2.3,30.2,0.9,1.3,72.7,0.4,2.0,2.4,0.9,0.6,0.3,0.1,1.9,1,0,2.2
Starters,6,26.6,6.8,2.5,5.8,42.9,1.3,3.2,42.1,0.5,0.5,100,0.3,1.3,1.7,1.2,0.7,0.3,0.5,3.2,0,0,2.7
Bench,45,18.8,5.0,1.7,4.1,41.8,0.6,2.2,27.8,1.0,1.4,71.4,0.4,2.1,2.5,0.9,0.6,0.3,0.1,1.7,1,0,2.1
0 Days Rest,10,18.2,4.8,1.9,3.9,48.7,0.8,1.9,42.1,0.2,0.5,40.0,0.2,1.4,1.6,1.0,0.4,0.3,0.3,2.5,0,0,0.4
1 Days Rest,26,20.0,4.9,1.6,4.4,36.5,0.7,2.4,27.0,1.0,1.3,79.4,0.5,2.5,3.0,0.7,0.7,0.2,0.0,1.6,1,0,3.6
2 Days Rest,12,18.8,5.3,1.7,4.0,41.7,0.6,2.2,26.9,1.4,1.9,73.9,0.4,1.4,1.8,1.0,0.6,0.3,0.2,2.0,0,0,0.0
3 Days Rest,1,25.0,8.0,3.0,6.0,50.0,1.0,4.0,25.0,1.0,2.0,50.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0,0,-4.0
4 Days Rest,1,25.5,6.0,3.0,4.0,75.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0,0,-1.0
6+ Days Rest,1,25.8,13.0,5.0,7.0,71.4,2.0,3.0,66.7,1.0,2.0,50.0,0.0,4.0,4.0,1.0,2.0,2.0,0.0,1.0,0,0,17.0
