,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,DATE,OPPONENT,ARENA
0,"FEB 11, 2017 - IND vs. MIL",L,16,6,1,4,25.0,1,2,50.0,3,3,100.0,0,1,1,1,0,0,0,3,-10,2017-02-11 00:00:00,MIL,HOME
1,"FEB 10, 2017 - IND @ WAS",L,17,10,4,10,40.0,0,2,0.0,2,2,100.0,0,1,1,5,0,0,2,2,14,2017-02-10 00:00:00,WAS,AWAY
2,"FEB 08, 2017 - IND vs. CLE",L,12,3,1,5,20.0,0,1,0.0,1,2,50.0,0,1,1,1,0,0,1,0,-10,2017-02-08 00:00:00,CLE,HOME
3,"FEB 06, 2017 - IND vs. OKC",W,14,9,2,6,33.3,0,1,0.0,5,5,100.0,0,1,1,1,0,0,1,0,0,2017-02-06 00:00:00,OKC,HOME
4,"FEB 01, 2017 - IND @ ORL",W,14,8,2,6,33.3,0,0,0.0,4,6,66.7,0,1,1,1,1,0,3,2,5,2017-02-01 00:00:00,ORL,AWAY
5,"DEC 26, 2016 - IND @ CHI",L,6,2,1,2,50.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,-2,2016-12-26 00:00:00,CHI,AWAY
6,"DEC 14, 2016 - IND @ MIA",L,22,10,3,12,25.0,1,2,50.0,3,4,75.0,0,5,5,3,0,0,1,1,-4,2016-12-14 00:00:00,MIA,AWAY
7,"DEC 12, 2016 - IND vs. CHA",W,21,14,5,11,45.5,1,2,50.0,3,4,75.0,0,4,4,4,0,0,2,3,5,2016-12-12 00:00:00,CHA,HOME
8,"DEC 10, 2016 - IND vs. POR",W,27,6,1,5,20.0,0,2,0.0,4,4,100.0,0,3,3,2,0,0,3,2,12,2016-12-10 00:00:00,POR,HOME
9,"DEC 09, 2016 - IND @ DAL",L,27,9,2,3,66.7,1,2,50.0,4,4,100.0,0,5,5,8,0,0,1,2,9,2016-12-09 00:00:00,DAL,AWAY
10,"DEC 07, 2016 - IND @ PHX",W,26,12,5,9,55.6,0,2,0.0,2,3,66.7,0,3,3,1,1,0,0,1,16,2016-12-07 00:00:00,PHX,AWAY
11,"DEC 05, 2016 - IND @ GSW",L,20,7,1,3,33.3,1,1,100.0,4,4,100.0,1,2,3,1,1,0,0,1,-10,2016-12-05 00:00:00,GSW,AWAY
12,"DEC 04, 2016 - IND @ LAC",W,21,16,7,10,70.0,0,1,0.0,2,2,100.0,0,3,3,3,0,0,2,3,5,2016-12-04 00:00:00,LAC,AWAY
13,"NOV 30, 2016 - IND @ POR",L,24,9,2,6,33.3,0,1,0.0,5,6,83.3,0,1,1,2,1,0,2,0,-11,2016-11-30 00:00:00,POR,AWAY
14,"NOV 27, 2016 - IND vs. LAC",W,27,12,4,10,40.0,0,2,0.0,4,5,80.0,1,4,5,2,1,0,4,1,6,2016-11-27 00:00:00,LAC,HOME
15,"NOV 25, 2016 - IND vs. BKN",W,25,18,7,10,70.0,2,3,66.7,2,4,50.0,0,4,4,3,2,0,3,2,8,2016-11-25 00:00:00,BKN,HOME
16,"NOV 23, 2016 - IND vs. ATL",L,17,0,0,5,0.0,0,1,0.0,0,2,0.0,0,1,1,1,0,0,2,3,-25,2016-11-23 00:00:00,ATL,HOME
17,"NOV 21, 2016 - IND vs. GSW",L,24,21,7,12,58.3,0,3,0.0,7,8,87.5,0,2,2,2,0,0,0,4,-18,2016-11-21 00:00:00,GSW,HOME
18,"NOV 20, 2016 - IND @ OKC",W,17,8,3,9,33.3,1,2,50.0,1,4,25.0,1,1,2,1,1,0,1,0,-16,2016-11-20 00:00:00,OKC,AWAY
19,"NOV 18, 2016 - IND vs. PHX",L,13,2,1,4,25.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,4,2,-13,2016-11-18 00:00:00,PHX,HOME
20,"OCT 28, 2016 - IND @ BKN",L,4,0,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,0,0,2,2016-10-28 00:00:00,BKN,AWAY
21,"OCT 26, 2016 - IND vs. DAL",W,22,8,3,6,50.0,1,2,50.0,1,3,33.3,0,3,3,1,0,0,2,0,-8,2016-10-26 00:00:00,DAL,HOME
