BREAKDOWN,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-
2016-17,42,16.0,5.2,1.9,3.4,54.2,0.0,0.0,0.0,1.5,1.8,81.3,1.3,2.3,3.6,0.5,0.7,0.2,1.0,2.3,1,0,-0.2
Home,21,15.5,5.2,1.9,3.6,52.0,0.0,0.0,0.0,1.5,2.0,75.6,1.1,1.9,3.0,0.5,0.7,0.2,1.0,1.9,0,0,0.9
Road,21,16.5,5.1,1.9,3.3,56.5,0.0,0.0,0.0,1.4,1.6,88.2,1.4,2.7,4.1,0.5,0.8,0.2,1.1,2.7,1,0,-1.3
Wins,19,16.4,5.3,2.0,3.6,55.1,0.0,0.0,0.0,1.3,1.9,64.9,1.3,2.7,4.0,0.4,0.8,0.1,1.5,2.5,1,0,2.6
Losses,23,15.7,5.1,1.7,3.3,53.3,0.0,0.0,0.0,1.6,1.7,97.4,1.3,2.0,3.2,0.5,0.7,0.3,0.7,2.2,0,0,-2.6
October,2,18.2,7.5,3.0,5.0,60.0,0.0,0.0,0.0,1.5,1.5,100,2.0,3.5,5.5,1.5,1.0,0.0,2.5,2.5,1,0,4.5
November,11,15.0,5.5,2.0,3.8,52.4,0.0,0.0,0.0,1.5,2.0,77.3,1.5,1.7,3.2,0.5,0.8,0.3,0.5,2.0,0,0,-1.9
December,15,15.8,4.3,1.5,3.3,44.0,0.0,0.0,0.0,1.4,1.9,72.4,1.1,2.7,3.8,0.6,0.8,0.3,1.4,2.5,0,0,-0.7
January,14,16.7,5.4,2.0,3.0,66.7,0.0,0.0,0.0,1.4,1.5,95.2,1.1,2.2,3.4,0.2,0.6,0.1,0.9,2.4,0,0,0.9
Pre All-Star,42,16.0,5.2,1.9,3.4,54.2,0.0,0.0,0.0,1.5,1.8,81.3,1.3,2.3,3.6,0.5,0.7,0.2,1.0,2.3,1,0,-0.2
Starters,13,17.0,5.2,2.0,3.4,59.1,0.0,0.0,0.0,1.2,1.3,94.1,1.2,2.3,3.5,0.5,0.6,0.2,1.2,2.6,1,0,1.5
Bench,29,15.5,5.1,1.8,3.4,52.0,0.0,0.0,0.0,1.6,2.0,77.6,1.3,2.3,3.6,0.4,0.8,0.2,1.0,2.2,0,0,-1.0
0 Days Rest,8,14.6,4.8,1.5,2.3,66.7,0.0,0.0,0.0,1.8,1.9,93.3,1.0,1.5,2.5,0.9,0.6,0.4,0.9,2.0,0,0,-0.9
1 Days Rest,23,16.3,4.9,1.8,3.8,46.6,0.0,0.0,0.0,1.3,1.8,73.2,1.3,2.3,3.7,0.3,0.8,0.1,0.9,2.3,0,0,-1.1
2 Days Rest,8,14.0,3.3,1.1,2.0,56.3,0.0,0.0,0.0,1.0,1.3,80.0,0.9,2.6,3.5,0.3,0.6,0.3,1.3,2.8,0,0,-2.0
4 Days Rest,2,27.1,15.5,6.5,8.5,76.5,0.0,0.0,0.0,2.5,2.5,100,3.0,5.0,8.0,1.5,1.0,0.0,3.5,2.5,1,0,15.5
6+ Days Rest,1,13.5,10.0,3.0,5.0,60.0,0.0,0.0,0.0,4.0,4.0,100,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0,0,9.0
