BREAKDOWN,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-
2016-17,54,33.7,13.0,4.5,7.0,64.9,0.0,0.0,0.0,3.9,5.9,66.0,3.8,8.8,12.6,1.1,1.8,0.7,2.5,3.0,36,0,5.9
Home,28,33.9,13.5,4.7,6.6,71.2,0.0,0.0,0.0,4.2,6.2,67.2,3.1,9.1,12.3,0.9,1.5,0.7,2.5,2.6,20,0,6.4
Road,26,33.5,12.3,4.3,7.4,58.9,0.0,0.0,0.0,3.7,5.7,64.6,4.5,8.5,13.0,1.2,2.2,0.7,2.5,3.5,16,0,5.3
Wins,34,34.0,14.1,4.9,7.3,66.5,0.0,0.0,0.0,4.4,6.9,63.8,4.1,9.0,13.1,0.9,1.7,0.8,2.9,3.1,25,0,12.0
Losses,20,33.2,11.0,4.0,6.4,61.7,0.0,0.0,0.0,3.1,4.3,72.1,3.3,8.6,11.9,1.3,2.0,0.5,2.0,2.9,11,0,-4.4
October,3,33.0,11.0,3.7,6.7,55.0,0.0,0.0,0.0,3.7,4.7,78.6,4.0,8.0,12.0,2.0,2.7,0.0,2.7,2.7,2,0,0.3
November,16,30.6,11.1,3.8,5.8,65.2,0.0,0.0,0.0,3.6,5.6,64.0,2.9,8.0,10.9,0.8,1.5,0.7,2.5,3.3,9,0,8.5
December,15,35.5,14.3,5.1,6.6,77.8,0.0,0.1,0.0,4.1,6.3,64.2,3.1,10.0,13.1,0.7,1.8,0.7,2.7,2.9,12,0,4.6
January,15,35.1,13.5,4.7,8.2,57.7,0.0,0.0,0.0,4.0,6.0,66.7,5.2,8.7,13.9,1.0,1.9,0.8,2.5,2.5,10,0,1.7
February,5,34.3,14.6,5.0,8.4,59.5,0.0,0.0,0.0,4.6,6.6,69.7,4.4,8.8,13.2,2.4,2.2,0.8,2.2,4.2,3,0,17.4
Pre All-Star,54,33.7,13.0,4.5,7.0,64.9,0.0,0.0,0.0,3.9,5.9,66.0,3.8,8.8,12.6,1.1,1.8,0.7,2.5,3.0,36,0,5.9
Starters,54,33.7,13.0,4.5,7.0,64.9,0.0,0.0,0.0,3.9,5.9,66.0,3.8,8.8,12.6,1.1,1.8,0.7,2.5,3.0,36,0,5.9
0 Days Rest,13,31.5,13.1,4.4,7.1,62.0,0.0,0.0,0.0,4.3,6.5,66.7,3.5,8.4,11.9,0.8,1.8,0.7,2.2,3.4,8,0,6.0
1 Days Rest,30,33.9,12.1,4.3,6.5,66.3,0.0,0.0,0.0,3.4,5.3,65.2,3.4,8.9,12.3,1.2,1.7,0.7,2.7,2.9,19,0,4.5
2 Days Rest,6,34.6,13.0,4.5,7.5,60.0,0.0,0.0,0.0,4.0,6.3,63.2,5.0,8.5,13.5,1.0,1.7,0.5,3.0,2.0,4,0,8.8
3 Days Rest,4,35.6,19.3,6.5,9.0,72.2,0.0,0.3,0.0,6.3,9.3,67.6,5.5,10.0,15.5,0.8,2.8,1.3,2.0,4.5,4,0,11.8
5 Days Rest,1,41.0,12.0,4.0,7.0,57.1,0.0,0.0,0.0,4.0,4.0,100,4.0,10.0,14.0,2.0,3.0,0.0,2.0,3.0,1,0,7.0
