,BREAKDOWN,GP,MIN,PTS,W,L,WIN%,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,OPP FGM,OPP FGA,OPP FG%,OPP 3PM,OPP 3PA,OPP 3P%,OPP FTM,OPP FTA,OPP FT%,OPP OREB,OPP DREB,OPP REB,OPP AST,OPP TOV,OPP STL,OPP BLK,OPP BLKA,OPP PF,OPP PTS
0,2016-17,52,48.2,107.0,40,12,0.769,39.6,83.0,47.7,9.1,22.5,40.7,18.7,23.2,80.7,9.3,34.1,43.4,24.0,13.2,8.0,5.8,18.5,8.3,36.8,83.3,44.2,8.4,24.9,33.8,16.8,21.5,77.9,9.8,31.5,41.3,21.3,14.5,7.6,4.2,5.8,20.1,98.8
1,Home,25,48.0,107.2,19,6,0.76,39.5,82.6,47.9,9.0,21.9,41.1,19.2,24.2,79.3,9.1,34.8,43.8,25.6,13.2,8.4,5.9,17.9,9.9,36.6,82.9,44.2,7.7,22.9,33.7,16.4,20.7,79.2,9.0,31.4,40.4,21.6,14.8,8.2,4.5,5.9,20.3,97.3
2,Road,27,48.4,106.9,21,6,0.778,39.7,83.3,47.6,9.3,23.0,40.3,18.3,22.3,82.1,9.5,33.4,42.9,22.4,13.2,7.7,5.8,19.1,6.7,37.0,83.8,44.2,9.1,26.7,33.9,17.1,22.2,76.8,10.5,31.6,42.1,21.0,14.2,7.1,4.0,5.8,19.9,100.1
3,Wins,40,48.1,110.2,40,0,1.0,40.9,82.9,49.4,9.5,22.2,42.6,18.9,23.4,80.8,9.2,34.4,43.6,25.2,13.1,8.2,6.1,18.9,13.3,35.9,83.0,43.2,8.1,25.0,32.2,17.1,22.1,77.1,9.9,30.6,40.5,20.7,14.9,7.6,3.8,6.1,20.0,96.9
4,Losses,12,48.4,96.6,0,12,0.0,35.2,83.2,42.3,8.1,23.4,34.5,18.2,22.7,80.1,9.7,32.9,42.6,20.0,13.7,7.6,5.2,17.3,-8.7,39.9,84.7,47.1,9.7,24.6,39.3,15.8,19.5,80.8,9.5,34.5,44.0,23.3,13.1,7.8,5.6,5.2,20.3,105.3
5,October,4,48.0,108.8,4,0,1.0,38.8,85.5,45.3,9.5,21.0,45.2,21.8,25.5,85.3,12.5,34.8,47.3,22.3,12.3,8.3,5.8,21.5,15.8,34.3,80.3,42.7,6.0,23.8,25.3,18.5,24.3,76.3,6.8,32.3,39.0,19.8,13.5,7.8,4.3,5.8,20.8,93.0
6,November,15,48.0,101.1,11,4,0.733,36.5,79.1,46.2,8.6,22.2,38.7,19.5,23.5,82.7,8.0,32.5,40.5,22.5,12.8,7.7,5.9,16.8,2.0,37.7,82.8,45.6,9.5,26.0,36.7,14.1,18.7,75.7,9.7,31.9,41.6,21.9,13.7,7.3,4.0,5.9,20.1,99.1
7,December,14,48.0,108.5,12,2,0.857,41.3,83.9,49.2,9.2,21.8,42.3,16.7,20.8,80.4,10.8,34.1,44.9,24.8,14.6,8.8,4.9,18.6,10.7,36.4,82.3,44.2,7.9,23.8,33.0,17.2,21.7,79.3,9.6,29.8,39.4,21.0,15.4,8.5,3.7,4.9,19.4,97.8
8,January,15,48.7,112.5,10,5,0.667,41.7,85.8,48.6,9.9,24.2,40.8,19.1,24.3,78.8,8.3,34.5,42.8,25.5,11.7,7.3,6.4,19.1,10.2,37.7,85.0,44.3,8.3,24.8,33.6,18.6,23.3,79.7,10.3,32.6,42.9,21.4,14.2,6.9,4.7,6.4,20.7,102.3
9,February,4,48.0,102.0,3,1,0.75,38.0,81.0,46.9,7.8,20.8,37.3,18.3,24.0,76.0,9.5,37.5,47.0,22.5,16.3,9.3,7.0,19.3,8.3,34.3,86.0,39.8,9.0,26.0,34.6,16.3,21.8,74.7,12.5,30.8,43.3,21.0,16.3,8.3,4.8,7.0,19.5,93.8
10,Pre All-Star,52,48.2,107.0,40,12,0.769,39.6,83.0,47.7,9.1,22.5,40.7,18.7,23.2,80.7,9.3,34.1,43.4,24.0,13.2,8.0,5.8,18.5,8.3,36.8,83.3,44.2,8.4,24.9,33.8,16.8,21.5,77.9,9.8,31.5,41.3,21.3,14.5,7.6,4.2,5.8,20.1,98.8
11,0 Days Rest,9,48.0,104.4,8,1,0.889,37.3,76.6,48.8,8.9,20.9,42.6,20.9,25.2,82.8,7.4,33.1,40.6,19.7,13.7,6.6,5.2,18.4,6.6,37.3,83.9,44.5,9.1,27.1,33.6,14.1,18.8,75.1,10.1,29.2,39.3,18.6,13.3,7.4,3.9,5.2,21.7,97.9
12,1 Days Rest,31,48.3,108.1,24,7,0.774,40.4,84.1,48.0,9.5,22.8,41.4,17.8,22.5,79.3,9.1,34.9,44.0,25.3,12.9,8.0,6.5,18.6,9.8,36.3,84.1,43.2,8.1,24.5,33.2,17.5,22.4,78.5,10.1,32.2,42.4,21.2,14.5,7.3,4.0,6.5,19.7,98.3
