,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,DATE,OPPONENT,ARENA
0,"FEB 06, 2017 - NYK vs. LAL",L,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,2017-02-06 00:00:00,LAL,HOME
1,"FEB 04, 2017 - NYK vs. CLE",L,6,0,0,2,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,-6,2017-02-04 00:00:00,CLE,HOME
2,"FEB 01, 2017 - NYK @ BKN",W,22,12,4,10,40.0,2,5,40.0,2,2,100.0,0,2,2,0,0,1,0,3,13,2017-02-01 00:00:00,BKN,AWAY
3,"JAN 31, 2017 - NYK @ WAS",L,5,3,0,2,0.0,0,1,0.0,3,4,75.0,0,0,0,3,2,0,0,0,2,2017-01-31 00:00:00,WAS,AWAY
4,"JAN 25, 2017 - NYK @ DAL",L,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,2017-01-25 00:00:00,DAL,AWAY
5,"JAN 15, 2017 - NYK @ TOR",L,7,7,2,3,66.7,2,3,66.7,1,2,50.0,0,1,1,2,1,0,0,1,4,2017-01-15 00:00:00,TOR,AWAY
6,"JAN 09, 2017 - NYK vs. NOP",L,10,8,2,5,40.0,1,2,50.0,3,3,100.0,0,0,0,1,1,0,1,0,12,2017-01-09 00:00:00,NOP,HOME
7,"DEC 31, 2016 - NYK @ HOU",L,4,0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,2016-12-31 00:00:00,HOU,AWAY
8,"DEC 30, 2016 - NYK @ NOP",L,22,3,1,2,50.0,1,2,50.0,0,0,0.0,0,2,2,2,0,1,0,2,-4,2016-12-30 00:00:00,NOP,AWAY
9,"DEC 28, 2016 - NYK @ ATL",L,27,2,1,7,14.3,0,3,0.0,0,0,0.0,1,4,5,1,1,0,0,1,-8,2016-12-28 00:00:00,ATL,AWAY
10,"DEC 22, 2016 - NYK vs. ORL",W,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,2016-12-22 00:00:00,ORL,HOME
11,"DEC 17, 2016 - NYK @ DEN",L,2,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,2016-12-17 00:00:00,DEN,AWAY
12,"DEC 15, 2016 - NYK @ GSW",L,2,0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,2016-12-15 00:00:00,GSW,AWAY
13,"DEC 09, 2016 - NYK @ SAC",W,9,2,1,1,100.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,3,4,-4,2016-12-09 00:00:00,SAC,AWAY
14,"DEC 07, 2016 - NYK vs. CLE",L,9,0,0,2,0.0,0,1,0.0,0,0,0.0,0,2,2,3,0,0,1,4,-6,2016-12-07 00:00:00,CLE,HOME
15,"DEC 04, 2016 - NYK vs. SAC",W,16,5,2,2,100.0,1,1,100.0,0,0,0.0,1,3,4,2,1,0,0,1,8,2016-12-04 00:00:00,SAC,HOME
16,"DEC 02, 2016 - NYK vs. MIN",W,11,6,2,3,66.7,2,3,66.7,0,0,0.0,0,0,0,2,2,0,0,0,-9,2016-12-02 00:00:00,MIN,HOME
17,"NOV 30, 2016 - NYK @ MIN",W,11,5,2,4,50.0,1,2,50.0,0,0,0.0,1,2,3,1,0,0,0,1,10,2016-11-30 00:00:00,MIN,AWAY
18,"NOV 26, 2016 - NYK @ CHA",L,6,0,0,2,0.0,0,2,0.0,0,0,0.0,0,1,1,0,0,0,0,0,7,2016-11-26 00:00:00,CHA,AWAY
19,"NOV 25, 2016 - NYK vs. CHA",W,4,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,4,2016-11-25 00:00:00,CHA,HOME
20,"NOV 17, 2016 - NYK @ WAS",L,2,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,-5,2016-11-17 00:00:00,WAS,AWAY
21,"NOV 14, 2016 - NYK vs. DAL",W,12,4,1,2,50.0,0,0,0.0,2,2,100.0,0,2,2,1,0,0,1,0,-1,2016-11-14 00:00:00,DAL,HOME
22,"NOV 11, 2016 - NYK @ BOS",L,9,0,0,3,0.0,0,2,0.0,0,0,0.0,0,1,1,0,0,0,0,1,-7,2016-11-11 00:00:00,BOS,AWAY
23,"NOV 09, 2016 - NYK vs. BKN",W,13,3,1,5,20.0,1,4,25.0,0,0,0.0,0,5,5,1,1,0,2,2,23,2016-11-09 00:00:00,BKN,HOME
24,"NOV 04, 2016 - NYK @ CHI",W,1,0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,-2,2016-11-04 00:00:00,CHI,AWAY
25,"NOV 02, 2016 - NYK vs. HOU",L,10,2,1,3,33.3,0,1,0.0,0,0,0.0,0,2,2,1,0,0,1,1,-3,2016-11-02 00:00:00,HOU,HOME
26,"NOV 01, 2016 - NYK @ DET",L,5,2,1,2,50.0,0,0,0.0,0,0,0.0,0,2,2,1,0,0,0,0,-3,2016-11-01 00:00:00,DET,AWAY
27,"OCT 25, 2016 - NYK @ CLE",L,3,1,0,1,0.0,0,1,0.0,1,2,50.0,0,0,0,1,0,0,1,1,-5,2016-10-25 00:00:00,CLE,AWAY
