BREAKDOWN,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-
2016-17,52,26.3,13.7,4.6,10.9,42.0,1.6,4.4,35.5,2.9,3.5,83.6,0.3,3.8,4.1,2.3,2.3,0.7,0.1,1.9,3,0,-4.6
Home,28,27.6,15.4,5.1,11.8,43.8,1.9,4.8,39.6,3.2,3.8,85.7,0.3,4.5,4.8,2.2,2.7,0.6,0.1,1.9,3,0,-4.1
Road,24,24.9,11.8,4.0,10.0,39.6,1.2,4.0,29.9,2.6,3.3,80.8,0.3,2.9,3.2,2.5,1.8,0.8,0.0,2.0,0,0,-5.2
Wins,8,31.9,22.5,7.5,14.8,50.8,3.0,5.8,52.2,4.5,5.1,87.8,0.3,7.0,7.3,3.1,3.4,0.9,0.0,2.4,2,0,10.4
Losses,44,25.3,12.1,4.1,10.3,39.7,1.3,4.2,31.4,2.7,3.2,82.4,0.3,3.2,3.5,2.2,2.1,0.7,0.1,1.8,1,0,-7.3
October,4,24.1,14.8,5.0,11.5,43.5,1.5,4.5,33.3,3.3,3.5,92.9,0.5,2.3,2.8,1.0,1.5,0.8,0.0,1.3,0,0,4.8
November,13,27.8,16.5,5.6,13.5,41.7,1.7,5.0,33.8,3.6,4.8,75.8,0.4,5.0,5.4,3.0,3.0,0.8,0.2,2.1,2,0,-3.8
December,15,28.6,14.9,4.6,10.2,45.1,1.7,4.4,37.9,4.0,4.5,88.2,0.3,3.5,3.8,2.8,2.5,0.8,0.0,2.3,0,0,-6.5
January,15,24.6,10.9,4.0,10.3,38.7,1.3,3.9,32.2,1.6,1.9,85.7,0.1,3.6,3.7,1.9,1.5,0.7,0.1,1.6,1,0,-6.9
February,5,22.7,10.6,3.4,8.0,42.5,2.0,4.6,43.5,1.8,2.2,81.8,0.2,3.2,3.4,1.8,2.6,0.2,0.2,2.0,0,0,-1.8
Pre All-Star,52,26.3,13.7,4.6,10.9,42.0,1.6,4.4,35.5,2.9,3.5,83.6,0.3,3.8,4.1,2.3,2.3,0.7,0.1,1.9,3,0,-4.6
Starters,24,28.6,15.3,5.0,11.7,42.9,1.8,5.0,37.0,3.4,4.1,83.7,0.4,4.1,4.5,3.0,2.7,0.8,0.0,2.3,1,0,-6.0
Bench,28,24.4,12.4,4.3,10.3,41.2,1.4,4.0,33.9,2.5,3.0,83.5,0.2,3.5,3.7,1.8,1.9,0.6,0.2,1.6,2,0,-3.5
0 Days Rest,8,22.1,9.3,3.4,8.3,40.9,0.8,2.8,27.3,1.8,2.5,70.0,0.1,2.6,2.8,1.8,1.3,0.3,0.0,2.1,0,0,-9.3
1 Days Rest,34,27.2,14.6,4.8,11.4,42.2,1.8,4.8,38.0,3.2,3.7,86.5,0.3,3.9,4.3,2.3,2.5,0.8,0.0,2.0,3,0,-4.1
2 Days Rest,7,27.4,14.6,5.0,11.9,42.2,1.4,4.4,32.3,3.1,4.1,75.9,0.3,4.1,4.4,2.9,2.1,0.4,0.6,1.6,0,0,-2.6
3 Days Rest,2,27.5,13.5,4.5,10.5,42.9,1.5,4.5,33.3,3.0,3.0,100,0.0,4.5,4.5,4.0,4.0,1.5,0.0,2.0,0,0,-1.5
5 Days Rest,1,22.2,13.0,5.0,13.0,38.5,1.0,6.0,16.7,2.0,2.0,100,1.0,3.0,4.0,2.0,2.0,0.0,0.0,0.0,0,0,-7.0
