BREAKDOWN,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-
2016-17,54,30.7,15.2,6.1,12.7,48.5,1.5,3.9,38.7,1.4,1.6,84.3,1.7,5.1,6.9,1.1,1.2,0.6,1.6,2.5,8,0,-3.0
Home,26,30.1,14.5,5.8,12.6,46.5,1.5,3.7,40.6,1.3,1.6,80.5,1.8,5.3,7.1,0.8,1.2,0.6,1.8,2.6,4,0,-3.0
Road,28,31.2,15.9,6.4,12.8,50.4,1.5,4.1,37.1,1.5,1.7,87.5,1.7,4.9,6.6,1.3,1.2,0.6,1.4,2.4,4,0,-3.0
Wins,20,30.8,17.9,7.2,13.1,55.0,1.8,4.1,43.2,1.8,2.1,85.4,1.6,5.6,7.1,1.2,1.2,0.7,1.8,2.7,4,0,7.2
Losses,34,30.6,13.6,5.5,12.4,44.5,1.4,3.9,35.9,1.2,1.4,83.3,1.9,4.9,6.7,1.0,1.2,0.6,1.5,2.4,4,0,-8.9
October,3,28.8,12.3,5.0,11.7,42.9,0.7,1.3,50.0,1.7,2.3,71.4,2.3,3.7,6.0,0.3,0.7,0.3,0.7,2.3,0,0,-15.7
November,15,30.8,15.0,5.9,12.1,48.9,1.5,3.3,44.9,1.7,1.8,92.6,1.7,5.1,6.9,0.9,1.6,0.5,1.8,2.6,0,0,-1.0
December,16,30.3,16.4,6.7,12.9,51.7,1.7,4.4,38.0,1.4,1.8,75.9,1.6,5.4,7.0,1.6,0.8,0.6,2.1,2.4,3,0,0.3
January,15,30.3,13.8,5.7,12.6,45.5,1.5,4.4,33.3,0.9,1.1,81.3,1.9,5.0,6.9,0.9,1.3,0.8,1.1,2.7,4,0,-5.7
February,5,34.0,17.8,7.0,14.2,49.3,1.8,4.4,40.9,2.0,2.0,100,1.4,5.4,6.8,1.0,1.2,0.4,2.0,2.2,1,0,-3.6
Pre All-Star,54,30.7,15.2,6.1,12.7,48.5,1.5,3.9,38.7,1.4,1.6,84.3,1.7,5.1,6.9,1.1,1.2,0.6,1.6,2.5,8,0,-3.0
Starters,54,30.7,15.2,6.1,12.7,48.5,1.5,3.9,38.7,1.4,1.6,84.3,1.7,5.1,6.9,1.1,1.2,0.6,1.6,2.5,8,0,-3.0
0 Days Rest,11,30.1,14.1,5.7,13.1,43.8,1.4,4.4,31.3,1.3,1.7,73.7,2.2,4.9,7.1,1.3,1.0,0.6,1.2,3.1,2,0,-0.3
1 Days Rest,34,30.8,15.0,6.0,12.2,49.4,1.5,3.6,41.1,1.4,1.6,87.3,1.7,5.3,7.0,1.0,1.3,0.6,1.9,2.3,5,0,-4.5
2 Days Rest,6,30.4,18.8,7.7,13.5,56.8,1.8,4.2,44.0,1.7,1.8,90.9,1.2,3.8,5.0,1.2,1.2,0.5,1.0,2.7,0,0,2.5
3 Days Rest,1,31.6,17.0,8.0,17.0,47.1,0.0,5.0,0.0,1.0,2.0,50.0,2.0,4.0,6.0,1.0,0.0,1.0,2.0,2.0,0,0,-21.0
4 Days Rest,1,28.5,13.0,4.0,10.0,40.0,3.0,6.0,50.0,2.0,2.0,100,1.0,9.0,10.0,1.0,1.0,0.0,1.0,4.0,1,0,16.0
5 Days Rest,1,36.3,14.0,6.0,17.0,35.3,2.0,4.0,50.0,0.0,0.0,0.0,2.0,6.0,8.0,0.0,0.0,0.0,1.0,3.0,0,0,-16.0
