,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,DATE,OPPONENT,ARENA
0,"FEB 10, 2017 - MIN vs. NOP",L,22,5,2,8,25.0,0,3,0.0,1,2,50.0,1,1,2,0,0,0,0,0,-14,2017-02-10 00:00:00,NOP,HOME
1,"FEB 08, 2017 - MIN vs. TOR",W,26,22,8,13,61.5,2,5,40.0,4,6,66.7,0,2,2,2,0,0,0,2,1,2017-02-08 00:00:00,TOR,HOME
2,"FEB 06, 2017 - MIN vs. MIA",L,21,12,4,11,36.4,0,0,0.0,4,4,100.0,1,2,3,1,0,0,1,1,0,2017-02-06 00:00:00,MIA,HOME
3,"FEB 04, 2017 - MIN vs. MEM",L,26,11,5,11,45.5,1,3,33.3,0,1,0.0,3,1,4,0,0,0,0,4,3,2017-02-04 00:00:00,MEM,HOME
4,"FEB 03, 2017 - MIN @ DET",L,23,15,6,11,54.5,3,4,75.0,0,0,0.0,0,0,0,0,1,0,1,3,-1,2017-02-03 00:00:00,DET,AWAY
5,"FEB 01, 2017 - MIN @ CLE",L,31,16,7,16,43.8,2,3,66.7,0,0,0.0,3,3,6,2,1,0,0,1,-24,2017-02-01 00:00:00,CLE,AWAY
6,"JAN 30, 2017 - MIN vs. ORL",W,22,10,4,10,40.0,2,5,40.0,0,0,0.0,0,5,5,1,0,0,0,0,9,2017-01-30 00:00:00,ORL,HOME
7,"JAN 28, 2017 - MIN vs. BKN",W,28,18,6,11,54.5,2,3,66.7,4,4,100.0,5,2,7,1,0,1,0,3,16,2017-01-28 00:00:00,BKN,HOME
8,"JAN 26, 2017 - MIN vs. IND",L,20,8,2,5,40.0,0,0,0.0,4,4,100.0,1,1,2,0,1,0,0,1,-12,2017-01-26 00:00:00,IND,HOME
9,"JAN 24, 2017 - MIN @ PHX",W,27,16,6,9,66.7,2,3,66.7,2,3,66.7,0,3,3,1,0,0,0,0,-7,2017-01-24 00:00:00,PHX,AWAY
10,"JAN 22, 2017 - MIN vs. DEN",W,33,20,9,14,64.3,2,5,40.0,0,0,0.0,3,2,5,1,1,0,2,1,8,2017-01-22 00:00:00,DEN,HOME
11,"JAN 19, 2017 - MIN @ LAC",W,18,7,2,5,40.0,1,1,100.0,2,4,50.0,1,3,4,0,0,0,0,0,3,2017-01-19 00:00:00,LAC,AWAY
12,"JAN 17, 2017 - MIN @ SAS",L,23,15,4,6,66.7,2,3,66.7,5,5,100.0,1,3,4,0,0,0,2,3,-9,2017-01-17 00:00:00,SAS,AWAY
13,"JAN 15, 2017 - MIN @ DAL",L,12,0,0,6,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,1,-20,2017-01-15 00:00:00,DAL,AWAY
14,"JAN 13, 2017 - MIN vs. OKC",W,23,7,3,6,50.0,1,2,50.0,0,0,0.0,0,1,1,0,0,0,1,0,5,2017-01-13 00:00:00,OKC,HOME
15,"JAN 11, 2017 - MIN vs. HOU",W,30,20,7,11,63.6,2,3,66.7,4,4,100.0,1,6,7,1,0,0,0,1,13,2017-01-11 00:00:00,HOU,HOME
16,"JAN 09, 2017 - MIN vs. DAL",W,20,11,5,9,55.6,1,2,50.0,0,0,0.0,0,2,2,0,0,0,1,2,17,2017-01-09 00:00:00,DAL,HOME
17,"JAN 07, 2017 - MIN vs. UTA",L,18,5,2,3,66.7,1,2,50.0,0,0,0.0,0,3,3,0,0,0,0,1,1,2017-01-07 00:00:00,UTA,HOME
18,"JAN 03, 2017 - MIN @ PHI",L,19,10,3,6,50.0,1,1,100.0,3,4,75.0,1,4,5,0,1,0,2,2,-9,2017-01-03 00:00:00,PHI,AWAY
19,"JAN 01, 2017 - MIN vs. POR",L,23,12,5,11,45.5,2,4,50.0,0,0,0.0,1,5,6,0,1,0,2,3,6,2017-01-01 00:00:00,POR,HOME
20,"DEC 30, 2016 - MIN vs. MIL",W,18,22,8,13,61.5,4,5,80.0,2,2,100.0,0,1,1,0,0,0,2,1,8,2016-12-30 00:00:00,MIL,HOME
21,"DEC 28, 2016 - MIN @ DEN",L,19,5,2,4,50.0,1,1,100.0,0,0,0.0,1,1,2,0,0,0,0,3,-4,2016-12-28 00:00:00,DEN,AWAY
22,"DEC 26, 2016 - MIN vs. ATL",W,29,12,4,13,30.8,1,3,33.3,3,4,75.0,2,1,3,0,1,0,3,2,-4,2016-12-26 00:00:00,ATL,HOME
23,"DEC 25, 2016 - MIN @ OKC",L,25,15,5,8,62.5,0,1,0.0,5,5,100.0,0,1,1,0,1,1,0,1,0,2016-12-25 00:00:00,OKC,AWAY
24,"DEC 23, 2016 - MIN vs. SAC",L,17,6,1,1,100.0,1,1,100.0,3,4,75.0,0,1,1,0,0,0,1,2,4,2016-12-23 00:00:00,SAC,HOME
25,"DEC 21, 2016 - MIN @ ATL",W,19,7,3,10,30.0,1,3,33.3,0,0,0.0,3,2,5,0,1,0,1,0,8,2016-12-21 00:00:00,ATL,AWAY
26,"DEC 19, 2016 - MIN vs. PHX",W,21,8,3,8,37.5,0,1,0.0,2,2,100.0,1,1,2,2,0,0,1,2,-3,2016-12-19 00:00:00,PHX,HOME
27,"DEC 17, 2016 - MIN vs. HOU",L,17,8,3,7,42.9,0,1,0.0,2,4,50.0,2,4,6,1,0,1,2,0,0,2016-12-17 00:00:00,HOU,HOME
28,"DEC 13, 2016 - MIN @ CHI",W,13,5,2,5,40.0,0,0,0.0,1,2,50.0,1,0,1,0,0,0,0,0,-5,2016-12-13 00:00:00,CHI,AWAY
29,"DEC 11, 2016 - MIN vs. GSW",L,15,6,1,5,20.0,1,3,33.3,3,4,75.0,2,3,5,2,0,0,0,0,-1,2016-12-11 00:00:00,GSW,HOME
30,"DEC 09, 2016 - MIN vs. DET",L,17,1,0,2,0.0,0,1,0.0,1,2,50.0,1,2,3,0,0,0,0,1,-19,2016-12-09 00:00:00,DET,HOME
31,"DEC 08, 2016 - MIN @ TOR",L,20,3,1,3,33.3,0,0,0.0,1,2,50.0,2,0,2,0,0,0,0,1,8,2016-12-08 00:00:00,TOR,AWAY
32,"DEC 06, 2016 - MIN vs. SAS",L,20,2,1,6,16.7,0,1,0.0,0,0,0.0,1,2,3,0,0,0,1,1,-10,2016-12-06 00:00:00,SAS,HOME
33,"DEC 03, 2016 - MIN @ CHA",W,25,12,5,10,50.0,0,1,0.0,2,3,66.7,2,4,6,1,0,0,0,1,10,2016-12-03 00:00:00,CHA,AWAY
34,"DEC 02, 2016 - MIN @ NYK",L,21,14,6,10,60.0,2,5,40.0,0,0,0.0,0,2,2,1,0,0,2,1,13,2016-12-02 00:00:00,NYK,AWAY
35,"NOV 30, 2016 - MIN vs. NYK",L,8,3,1,4,25.0,0,0,0.0,1,2,50.0,1,0,1,0,0,0,0,1,-13,2016-11-30 00:00:00,NYK,HOME
36,"NOV 28, 2016 - MIN vs. UTA",L,17,10,3,6,50.0,0,1,0.0,4,4,100.0,0,1,1,0,0,0,0,0,-12,2016-11-28 00:00:00,UTA,HOME
37,"NOV 26, 2016 - MIN @ GSW",L,9,4,0,2,0.0,0,2,0.0,4,4,100.0,0,1,1,1,0,0,1,1,2,2016-11-26 00:00:00,GSW,AWAY
38,"NOV 25, 2016 - MIN @ PHX",W,7,0,0,3,0.0,0,1,0.0,0,0,0.0,1,3,4,0,0,0,0,1,-6,2016-11-25 00:00:00,PHX,AWAY
39,"NOV 23, 2016 - MIN @ NOP",L,17,11,4,6,66.7,0,1,0.0,3,5,60.0,1,1,2,0,1,0,1,0,2,2016-11-23 00:00:00,NOP,AWAY
40,"NOV 21, 2016 - MIN vs. BOS",L,16,2,1,4,25.0,0,2,0.0,0,0,0.0,0,2,2,1,0,0,3,3,7,2016-11-21 00:00:00,BOS,HOME
41,"NOV 19, 2016 - MIN @ MEM",L,18,4,2,2,100.0,0,0,0.0,0,0,0.0,0,2,2,1,1,0,0,1,-8,2016-11-19 00:00:00,MEM,AWAY
42,"NOV 12, 2016 - MIN vs. LAC",L,15,4,1,2,50.0,0,0,0.0,2,2,100.0,0,1,1,0,0,0,1,0,0,2016-11-12 00:00:00,LAC,HOME
43,"NOV 09, 2016 - MIN @ ORL",W,19,13,4,6,66.7,1,1,100.0,4,7,57.1,0,1,1,0,1,0,1,3,12,2016-11-09 00:00:00,ORL,AWAY
44,"NOV 08, 2016 - MIN @ BKN",L,24,7,3,12,25.0,1,4,25.0,0,0,0.0,2,2,4,0,0,0,1,3,-5,2016-11-08 00:00:00,BKN,AWAY
45,"NOV 05, 2016 - MIN @ OKC",L,21,15,6,9,66.7,0,0,0.0,3,3,100.0,3,1,4,0,0,1,1,1,7,2016-11-05 00:00:00,OKC,AWAY
46,"NOV 03, 2016 - MIN vs. DEN",L,13,5,2,5,40.0,1,1,100.0,0,0,0.0,1,0,1,0,1,0,0,0,-5,2016-11-03 00:00:00,DEN,HOME
47,"NOV 01, 2016 - MIN vs. MEM",W,19,8,2,6,33.3,0,0,0.0,4,4,100.0,2,2,4,1,0,0,0,0,-2,2016-11-01 00:00:00,MEM,HOME
48,"OCT 29, 2016 - MIN @ SAC",L,11,9,3,3,100.0,0,0,0.0,3,3,100.0,0,1,1,1,0,0,0,0,4,2016-10-29 00:00:00,SAC,AWAY
