BREAKDOWN,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-
2016-17,23,10.6,3.0,1.0,2.7,36.5,0.3,1.1,23.1,0.8,0.9,85.7,0.2,1.1,1.3,0.7,0.1,0.3,0.1,0.7,0,0,-1.8
Home,11,7.3,1.2,0.4,1.8,20.0,0.1,0.7,12.5,0.4,0.5,80.0,0.2,0.4,0.5,0.8,0.2,0.2,0.0,0.2,0,0,-1.8
Road,12,13.6,4.8,1.6,3.6,44.2,0.4,1.5,27.8,1.2,1.3,87.5,0.2,1.8,2.0,0.5,0.1,0.5,0.2,1.1,0,0,-1.8
Wins,13,9.2,2.2,0.7,2.2,32.1,0.2,0.8,27.3,0.6,0.8,80.0,0.2,1.1,1.2,0.8,0.2,0.3,0.2,0.5,0,0,-0.9
Losses,10,12.4,4.1,1.4,3.5,40.0,0.3,1.5,20.0,1.0,1.1,90.9,0.2,1.2,1.4,0.4,0.1,0.4,0.0,0.9,0,0,-2.9
October,2,2.8,3.5,1.5,2.0,75.0,0.5,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,2.5
November,5,14.4,5.0,1.8,4.6,39.1,0.2,1.6,12.5,1.2,1.4,85.7,0.4,0.6,1.0,0.6,0.2,0.4,0.0,1.0,0,0,-0.8
December,4,18.4,5.3,1.3,3.5,35.7,0.3,1.3,20.0,2.5,2.8,90.9,0.0,1.3,1.3,1.5,0.3,0.3,0.3,1.0,0,0,-0.8
January,12,7.7,1.4,0.5,1.8,27.3,0.3,0.9,27.3,0.2,0.3,66.7,0.2,1.5,1.7,0.5,0.1,0.3,0.1,0.5,0,0,-3.3
Pre All-Star,23,10.6,3.0,1.0,2.7,36.5,0.3,1.1,23.1,0.8,0.9,85.7,0.2,1.1,1.3,0.7,0.1,0.3,0.1,0.7,0,0,-1.8
Starters,3,26.7,9.7,3.0,7.3,40.9,0.7,2.0,33.3,3.0,3.3,90.0,0.7,1.0,1.7,1.3,0.7,1.0,0.0,2.0,0,0,2.3
Bench,20,8.2,2.1,0.7,2.1,34.1,0.2,1.0,20.0,0.5,0.6,81.8,0.1,1.2,1.3,0.6,0.1,0.3,0.1,0.5,0,0,-2.4
0 Days Rest,3,17.6,6.7,2.3,4.0,58.3,0.7,1.0,66.7,1.3,1.7,80.0,0.3,1.7,2.0,0.3,0.0,0.0,0.0,1.3,0,0,-4.3
1 Days Rest,7,13.6,3.4,1.0,3.9,25.9,0.3,1.9,15.4,1.1,1.1,100,0.1,1.6,1.7,0.9,0.1,0.4,0.0,0.9,0,0,-4.1
2 Days Rest,4,7.1,1.0,0.3,1.3,20.0,0.3,0.8,33.3,0.3,0.5,50.0,0.3,1.0,1.3,1.0,0.0,0.3,0.3,0.3,0,0,-2.8
3 Days Rest,3,9.5,2.0,0.7,3.0,22.2,0.0,1.3,0.0,0.7,0.7,100,0.3,0.7,1.0,0.3,0.7,0.7,0.0,1.0,0,0,-3.7
4 Days Rest,3,10.4,2.3,0.7,1.3,50.0,0.0,0.0,0.0,1.0,1.3,75.0,0.0,1.3,1.3,0.7,0.0,0.0,0.3,0.3,0,0,4.0
6+ Days Rest,3,2.8,3.0,1.3,2.0,66.7,0.3,1.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.7,0.0,0.0,0,0,3.7
