,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,DATE,OPPONENT,ARENA
0,"FEB 08, 2017 - TOR @ MIN",L,26,16,7,7,100.0,0,0,0.0,2,2,100.0,1,4,5,1,0,0,0,2,4,2017-02-08 00:00:00,MIN,AWAY
1,"FEB 06, 2017 - TOR vs. LAC",W,32,21,9,13,69.2,0,0,0.0,3,4,75.0,3,9,12,2,0,1,1,1,2,2017-02-06 00:00:00,LAC,HOME
2,"FEB 05, 2017 - TOR @ BKN",W,26,22,9,17,52.9,0,0,0.0,4,4,100.0,0,5,5,0,1,0,2,4,13,2017-02-05 00:00:00,BKN,AWAY
3,"FEB 03, 2017 - TOR @ ORL",L,35,18,7,17,41.2,0,0,0.0,4,6,66.7,2,9,11,1,1,1,0,1,-9,2017-02-03 00:00:00,ORL,AWAY
4,"FEB 01, 2017 - TOR @ BOS",L,12,3,1,1,100.0,0,0,0.0,1,2,50.0,0,3,3,1,0,1,2,4,-10,2017-02-01 00:00:00,BOS,AWAY
5,"JAN 31, 2017 - TOR vs. NOP",W,32,20,9,17,52.9,0,0,0.0,2,2,100.0,5,7,12,0,0,0,0,5,2,2017-01-31 00:00:00,NOP,HOME
6,"JAN 29, 2017 - TOR vs. ORL",L,28,12,4,6,66.7,0,0,0.0,4,5,80.0,1,8,9,3,0,0,1,2,2,2017-01-29 00:00:00,ORL,HOME
7,"JAN 27, 2017 - TOR vs. MIL",W,24,8,4,10,40.0,0,0,0.0,0,0,0.0,1,10,11,1,1,2,2,1,19,2017-01-27 00:00:00,MIL,HOME
8,"JAN 25, 2017 - TOR @ MEM",L,26,6,2,3,66.7,0,0,0.0,2,2,100.0,2,10,12,1,0,1,3,5,3,2017-01-25 00:00:00,MEM,AWAY
9,"JAN 24, 2017 - TOR vs. SAS",L,29,9,2,7,28.6,0,0,0.0,5,6,83.3,3,10,13,2,1,2,4,5,-2,2017-01-24 00:00:00,SAS,HOME
10,"JAN 22, 2017 - TOR vs. PHX",L,31,16,6,10,60.0,0,0,0.0,4,5,80.0,4,8,12,2,1,3,1,3,-1,2017-01-22 00:00:00,PHX,HOME
11,"JAN 20, 2017 - TOR @ CHA",L,25,11,5,8,62.5,0,0,0.0,1,1,100.0,3,3,6,1,1,1,2,3,-10,2017-01-20 00:00:00,CHA,AWAY
12,"JAN 18, 2017 - TOR @ PHI",L,30,10,5,11,45.5,0,0,0.0,0,0,0.0,5,10,15,1,0,0,0,3,1,2017-01-18 00:00:00,PHI,AWAY
13,"JAN 17, 2017 - TOR @ BKN",W,29,7,3,7,42.9,0,0,0.0,1,2,50.0,1,9,10,0,1,0,2,3,1,2017-01-17 00:00:00,BKN,AWAY
14,"JAN 15, 2017 - TOR vs. NYK",W,28,12,6,11,54.5,0,0,0.0,0,0,0.0,5,11,16,1,0,0,2,3,20,2017-01-15 00:00:00,NYK,HOME
15,"JAN 13, 2017 - TOR vs. BKN",W,25,14,4,9,44.4,0,0,0.0,6,6,100.0,3,7,10,1,1,1,0,2,5,2017-01-13 00:00:00,BKN,HOME
16,"JAN 10, 2017 - TOR vs. BOS",W,28,18,6,18,33.3,0,0,0.0,6,6,100.0,11,12,23,0,0,2,3,4,17,2017-01-10 00:00:00,BOS,HOME
17,"JAN 08, 2017 - TOR vs. HOU",L,23,8,4,4,100.0,0,0,0.0,0,0,0.0,0,5,5,0,0,1,1,3,-3,2017-01-08 00:00:00,HOU,HOME
18,"JAN 07, 2017 - TOR @ CHI",L,33,14,7,11,63.6,0,0,0.0,0,0,0.0,1,6,7,0,0,2,1,5,0,2017-01-07 00:00:00,CHI,AWAY
19,"JAN 05, 2017 - TOR vs. UTA",W,31,18,7,11,63.6,0,0,0.0,4,4,100.0,8,5,13,0,0,0,0,3,7,2017-01-05 00:00:00,UTA,HOME
20,"JAN 03, 2017 - TOR @ SAS",L,22,2,1,5,20.0,0,0,0.0,0,0,0.0,1,5,6,0,0,0,1,2,-20,2017-01-03 00:00:00,SAS,AWAY
21,"JAN 01, 2017 - TOR @ LAL",W,31,14,6,7,85.7,0,0,0.0,2,2,100.0,1,8,9,0,2,0,3,3,1,2017-01-01 00:00:00,LAL,AWAY
22,"DEC 29, 2016 - TOR @ PHX",L,19,8,2,4,50.0,0,0,0.0,4,4,100.0,3,7,10,0,1,0,3,3,-9,2016-12-29 00:00:00,PHX,AWAY
