,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,DATE,OPPONENT,ARENA
0,"JAN 22, 2017 - LAL @ DAL",L,6,2,1,1,100.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,2,2,-8,2017-01-22 00:00:00,DAL,AWAY
1,"JAN 20, 2017 - LAL vs. IND",W,2,0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,0,1,0,2017-01-20 00:00:00,IND,HOME
2,"JAN 17, 2017 - LAL vs. DEN",L,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,-2,2017-01-17 00:00:00,DEN,HOME
3,"JAN 14, 2017 - LAL @ LAC",L,9,2,1,4,25.0,0,0,0.0,0,2,0.0,0,3,3,0,0,0,0,1,-3,2017-01-14 00:00:00,LAC,AWAY
4,"JAN 12, 2017 - LAL @ SAS",L,10,4,2,2,100.0,0,0,0.0,0,0,0.0,1,2,3,2,0,0,0,2,-15,2017-01-12 00:00:00,SAS,AWAY
5,"JAN 10, 2017 - LAL vs. POR",L,16,8,4,6,66.7,0,0,0.0,0,0,0.0,1,1,2,2,0,1,1,2,-9,2017-01-10 00:00:00,POR,HOME
6,"JAN 08, 2017 - LAL vs. ORL",W,10,4,2,5,40.0,0,0,0.0,0,0,0.0,2,4,6,0,1,1,1,2,0,2017-01-08 00:00:00,ORL,HOME
7,"JAN 06, 2017 - LAL vs. MIA",W,17,7,3,5,60.0,0,0,0.0,1,6,16.7,3,6,9,1,2,0,2,4,0,2017-01-06 00:00:00,MIA,HOME
8,"JAN 05, 2017 - LAL @ POR",L,15,6,3,5,60.0,0,0,0.0,0,0,0.0,3,2,5,2,2,0,0,2,5,2017-01-05 00:00:00,POR,AWAY
9,"JAN 03, 2017 - LAL vs. MEM",W,4,0,0,2,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,1,2,-7,2017-01-03 00:00:00,MEM,HOME
10,"JAN 01, 2017 - LAL vs. TOR",L,17,12,6,9,66.7,0,0,0.0,0,0,0.0,7,2,9,2,1,0,1,2,-5,2017-01-01 00:00:00,TOR,HOME
