,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,DATE,OPPONENT,ARENA
0,"FEB 10, 2017 - SAS @ DET",W,31,2,1,4,25.0,0,1,0.0,0,0,0.0,0,1,1,12,0,0,2,0,9,2017-02-10 00:00:00,DET,AWAY
1,"FEB 08, 2017 - SAS @ PHI",W,30,18,7,12,58.3,1,1,100.0,3,3,100.0,0,1,1,5,0,0,0,2,7,2017-02-08 00:00:00,PHI,AWAY
2,"FEB 06, 2017 - SAS @ MEM",L,29,8,3,7,42.9,0,0,0.0,2,2,100.0,0,2,2,2,1,0,2,1,-17,2017-02-06 00:00:00,MEM,AWAY
3,"FEB 04, 2017 - SAS vs. DEN",W,23,18,8,8,100.0,0,0,0.0,2,2,100.0,0,0,0,4,3,0,3,2,19,2017-02-04 00:00:00,DEN,HOME
4,"FEB 02, 2017 - SAS vs. PHI",W,26,1,0,5,0.0,0,0,0.0,1,2,50.0,0,4,4,6,1,0,0,1,7,2017-02-02 00:00:00,PHI,HOME
5,"JAN 31, 2017 - SAS vs. OKC",W,25,3,0,3,0.0,0,1,0.0,3,4,75.0,0,6,6,4,1,0,2,4,8,2017-01-31 00:00:00,OKC,HOME
6,"JAN 29, 2017 - SAS vs. DAL",L,23,16,8,12,66.7,0,0,0.0,0,1,0.0,0,0,0,4,0,0,1,2,-13,2017-01-29 00:00:00,DAL,HOME
7,"JAN 27, 2017 - SAS @ NOP",L,22,7,2,7,28.6,0,1,0.0,3,4,75.0,0,1,1,3,1,1,2,1,-1,2017-01-27 00:00:00,NOP,AWAY
8,"JAN 17, 2017 - SAS vs. MIN",W,29,14,6,13,46.2,0,0,0.0,2,3,66.7,0,0,0,5,0,0,1,5,-3,2017-01-17 00:00:00,MIN,HOME
9,"JAN 14, 2017 - SAS @ PHX",L,31,14,5,10,50.0,2,3,66.7,2,4,50.0,1,0,1,2,1,0,2,1,-9,2017-01-14 00:00:00,PHX,AWAY
10,"JAN 12, 2017 - SAS vs. LAL",W,21,13,6,10,60.0,0,0,0.0,1,1,100.0,0,2,2,6,0,0,0,1,17,2017-01-12 00:00:00,LAL,HOME
11,"JAN 10, 2017 - SAS vs. MIL",L,33,14,7,15,46.7,0,1,0.0,0,0,0.0,0,3,3,7,1,0,2,1,-5,2017-01-10 00:00:00,MIL,HOME
