BREAKDOWN,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-
2016-17,50,28.7,8.0,2.9,6.4,45.0,1.7,4.3,38.7,0.5,0.6,75.0,0.3,3.0,3.3,1.2,0.6,0.5,0.2,1.7,1,0,-1.5
Home,25,29.9,8.3,3.1,6.6,47.0,1.6,4.3,38.3,0.4,0.6,78.6,0.1,2.9,3.0,1.0,0.6,0.4,0.3,1.7,0,0,-1.8
Road,25,27.5,7.6,2.7,6.2,42.9,1.7,4.4,39.1,0.5,0.7,72.2,0.4,3.1,3.5,1.4,0.7,0.5,0.1,1.6,1,0,-1.2
Wins,22,27.1,8.5,3.1,6.8,46.0,1.6,4.3,37.9,0.6,0.8,77.8,0.3,3.0,3.3,1.2,0.7,0.4,0.2,1.5,1,0,6.0
Losses,28,29.9,7.5,2.7,6.1,44.2,1.7,4.4,39.3,0.4,0.5,71.4,0.3,3.0,3.3,1.2,0.6,0.5,0.3,1.8,0,0,-7.4
October,2,23.2,5.0,2.5,7.0,35.7,0.0,2.5,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.5,0.5,0.5,0.0,2.5,0,0,-5.5
November,13,30.1,9.5,3.6,8.5,42.7,1.8,6.1,30.4,0.4,0.6,62.5,0.5,3.8,4.4,1.2,0.9,0.5,0.1,1.6,1,0,0.5
December,16,29.1,8.4,2.9,6.8,43.1,1.8,4.5,40.3,0.7,0.8,84.6,0.3,3.3,3.6,1.5,0.4,0.3,0.3,1.6,0,0,0.0
January,15,28.8,7.3,2.6,4.7,55.7,1.7,3.3,52.0,0.3,0.4,83.3,0.0,2.3,2.3,1.2,0.5,0.7,0.3,1.7,0,0,-3.0
February,4,24.9,5.5,1.8,4.8,36.8,1.3,2.8,45.5,0.8,1.3,60.0,0.0,2.5,2.5,0.5,1.0,0.3,0.3,1.8,0,0,-6.5
Pre All-Star,50,28.7,8.0,2.9,6.4,45.0,1.7,4.3,38.7,0.5,0.6,75.0,0.3,3.0,3.3,1.2,0.6,0.5,0.2,1.7,1,0,-1.5
Starters,50,28.7,8.0,2.9,6.4,45.0,1.7,4.3,38.7,0.5,0.6,75.0,0.3,3.0,3.3,1.2,0.6,0.5,0.2,1.7,1,0,-1.5
0 Days Rest,11,28.1,6.9,2.5,5.6,43.5,1.5,3.5,44.7,0.5,0.5,83.3,0.5,2.7,3.2,1.1,0.8,0.2,0.2,2.2,0,0,-2.5
1 Days Rest,29,28.4,7.6,2.8,6.1,45.2,1.6,4.4,35.4,0.5,0.7,70.0,0.1,3.0,3.2,1.2,0.6,0.6,0.2,1.4,1,0,1.0
2 Days Rest,3,29.7,14.3,5.3,10.7,50.0,3.0,5.3,56.3,0.7,0.7,100,0.3,2.7,3.0,1.3,0.7,1.0,0.0,1.7,0,0,-3.7
3 Days Rest,6,32.2,9.0,3.2,7.3,43.2,2.2,5.5,39.4,0.5,0.7,75.0,0.5,3.8,4.3,1.5,0.7,0.3,0.3,1.3,0,0,-9.3
6+ Days Rest,1,20.6,6.0,3.0,7.0,42.9,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,4.0,0,0,-10.0
