BREAKDOWN,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-
2016-17,48,12.3,4.8,2.0,4.4,45.5,0.5,1.1,42.6,0.3,0.5,68.2,0.1,0.6,0.8,1.7,0.8,0.2,0.1,1.0,0,0,-2.2
Home,27,12.4,5.1,2.1,4.5,46.7,0.6,1.2,46.9,0.4,0.5,71.4,0.2,0.9,1.1,1.6,0.7,0.1,0.1,0.9,0,0,0.3
Road,21,12.2,4.4,1.9,4.3,44.0,0.4,1.0,36.4,0.2,0.4,62.5,0.0,0.4,0.4,1.9,0.9,0.2,0.0,1.1,0,0,-5.4
Wins,29,13.0,5.7,2.3,4.8,48.6,0.7,1.5,47.7,0.3,0.5,64.3,0.2,0.8,1.0,1.9,0.8,0.2,0.1,1.0,0,0,0.4
Losses,19,11.2,3.6,1.6,3.9,40.0,0.1,0.5,20.0,0.3,0.4,75.0,0.1,0.4,0.4,1.5,0.7,0.2,0.1,0.9,0,0,-6.2
October,2,17.0,5.5,2.5,5.5,45.5,0.0,1.0,0.0,0.5,1.5,33.3,0.0,0.5,0.5,1.5,1.0,0.5,0.5,0.0,0,0,-9.0
November,11,11.1,4.5,2.0,4.6,43.1,0.3,0.5,50.0,0.2,0.3,66.7,0.2,0.5,0.6,1.1,0.5,0.1,0.1,0.7,0,0,-3.7
December,15,12.9,6.0,2.3,4.5,50.0,0.8,1.5,52.2,0.7,0.9,76.9,0.1,0.3,0.5,1.3,0.8,0.3,0.1,1.1,0,0,-1.1
January,16,12.4,4.1,1.8,4.0,45.3,0.4,1.2,36.8,0.1,0.1,100,0.2,1.1,1.3,2.6,1.0,0.1,0.0,1.2,0,0,-2.3
February,4,10.7,4.0,1.8,4.8,36.8,0.3,1.0,25.0,0.3,0.5,50.0,0.0,0.8,0.8,1.8,0.5,0.0,0.5,0.8,0,0,1.5
Pre All-Star,48,12.3,4.8,2.0,4.4,45.5,0.5,1.1,42.6,0.3,0.5,68.2,0.1,0.6,0.8,1.7,0.8,0.2,0.1,1.0,0,0,-2.2
Bench,48,12.3,4.8,2.0,4.4,45.5,0.5,1.1,42.6,0.3,0.5,68.2,0.1,0.6,0.8,1.7,0.8,0.2,0.1,1.0,0,0,-2.2
0 Days Rest,8,9.9,3.3,1.5,3.6,41.4,0.3,0.8,33.3,0.0,0.0,0.0,0.1,0.1,0.3,2.0,0.6,0.1,0.0,0.6,0,0,-10.1
1 Days Rest,27,13.5,5.8,2.3,4.9,48.1,0.6,1.3,50.0,0.5,0.7,73.7,0.1,0.9,1.0,1.8,0.9,0.2,0.1,1.1,0,0,1.3
2 Days Rest,8,12.2,3.6,1.5,3.4,44.4,0.5,1.4,36.4,0.1,0.3,50.0,0.1,0.8,0.9,1.6,0.9,0.1,0.1,1.0,0,0,-4.5
3 Days Rest,2,8.2,2.0,1.0,4.5,22.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,1.0,0,0,-9.0
4 Days Rest,2,7.7,4.0,2.0,5.0,40.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.5,1.0,0.0,0.0,0.0,0.5,0,0,0.5
5 Days Rest,1,17.7,8.0,4.0,7.0,57.1,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0,0,-6.0
