BREAKDOWN,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-
2016-17,40,17.5,8.8,3.0,7.6,39.1,2.1,5.3,39.3,0.8,1.0,82.5,0.3,1.0,1.3,0.7,0.7,0.3,0.1,1.5,0,0,2.4
Home,19,18.7,9.4,3.3,8.1,40.5,2.0,5.1,39.2,0.9,1.2,77.3,0.4,1.2,1.6,0.6,0.7,0.3,0.2,1.9,0,0,3.1
Road,21,16.5,8.2,2.7,7.1,37.6,2.1,5.4,39.5,0.8,0.9,88.9,0.1,0.9,1.0,0.7,0.6,0.4,0.0,1.0,0,0,1.8
Wins,23,18.4,10.3,3.6,8.2,43.6,2.4,5.4,45.2,0.7,1.0,73.9,0.3,1.1,1.4,0.8,0.7,0.3,0.1,1.6,0,0,5.3
Losses,17,16.4,6.8,2.1,6.7,31.6,1.6,5.1,31.0,0.9,1.0,94.1,0.2,0.9,1.1,0.5,0.6,0.3,0.1,1.3,0,0,-1.5
October,1,12.1,4.0,1.0,5.0,20.0,0.0,3.0,0.0,2.0,2.0,100,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0,0,-1.0
November,7,13.9,4.0,1.3,5.0,25.7,1.0,3.7,26.9,0.4,0.4,100,0.3,1.0,1.3,0.6,0.6,0.3,0.1,0.3,0,0,-3.0
December,17,23.3,13.5,4.6,10.8,43.2,2.9,6.6,44.2,1.2,1.6,77.8,0.5,1.2,1.7,0.9,0.6,0.4,0.1,2.1,0,0,2.9
January,10,15.0,6.0,1.8,5.4,33.3,1.8,4.8,37.5,0.6,0.6,100,0.0,1.0,1.0,0.4,0.8,0.4,0.0,1.5,0,0,6.1
February,5,9.1,6.2,2.2,5.0,44.0,1.6,4.2,38.1,0.2,0.4,50.0,0.0,0.6,0.6,0.2,0.8,0.2,0.0,1.0,0,0,1.4
Pre All-Star,40,17.5,8.8,3.0,7.6,39.1,2.1,5.3,39.3,0.8,1.0,82.5,0.3,1.0,1.3,0.7,0.7,0.3,0.1,1.5,0,0,2.4
Starters,3,17.8,3.0,1.0,4.3,23.1,1.0,3.0,33.3,0.0,0.0,0.0,0.3,2.0,2.3,0.3,1.0,0.3,0.0,1.3,0,0,-7.0
Bench,37,17.5,9.3,3.1,7.8,39.8,2.2,5.5,39.6,0.9,1.1,82.5,0.2,0.9,1.2,0.7,0.6,0.3,0.1,1.5,0,0,3.1
0 Days Rest,7,21.6,11.9,4.1,10.9,38.2,2.4,7.7,31.5,1.1,1.4,80.0,0.1,1.0,1.1,0.6,0.4,0.3,0.0,2.7,0,0,0.6
1 Days Rest,22,18.6,10.3,3.5,8.0,43.4,2.5,5.3,47.4,0.9,1.0,82.6,0.4,1.2,1.5,0.7,0.8,0.4,0.1,1.5,0,0,3.6
2 Days Rest,7,14.4,4.7,1.4,5.6,25.6,1.3,4.6,28.1,0.6,0.7,80.0,0.1,1.1,1.3,0.7,0.6,0.3,0.1,0.4,0,0,1.3
4 Days Rest,1,8.2,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,-1.0
6+ Days Rest,3,10.9,3.3,1.0,3.3,30.0,0.7,2.3,28.6,0.7,0.7,100,0.0,0.0,0.0,0.3,0.0,0.0,0.0,1.3,0,0,1.3
