BREAKDOWN,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-
2016-17,24,17.4,5.3,2.1,5.1,41.8,0.4,1.7,24.4,0.6,1.0,60.0,0.3,1.6,1.8,0.8,1.1,1.0,0.4,1.8,0,0,-2.7
Home,14,17.5,4.0,1.7,4.6,37.5,0.4,1.5,23.8,0.2,0.5,42.9,0.2,1.9,2.1,0.7,1.1,1.1,0.6,1.9,0,0,-1.9
Road,10,17.3,7.1,2.7,5.8,46.6,0.5,2.0,25.0,1.2,1.8,66.7,0.3,1.2,1.5,0.9,1.2,0.8,0.1,1.6,0,0,-3.7
Wins,15,15.8,4.5,1.8,4.5,40.3,0.5,1.8,25.9,0.4,0.5,75.0,0.1,1.7,1.8,0.7,0.9,0.9,0.4,1.5,0,0,-2.7
Losses,9,20.1,6.7,2.7,6.1,43.6,0.3,1.6,21.4,1.0,1.9,52.9,0.4,1.4,1.9,0.9,1.6,1.1,0.3,2.2,0,0,-2.6
October,2,4.9,1.5,0.5,1.0,50.0,0.5,1.0,50.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,1.0,0,0,3.5
November,11,15.6,5.8,2.2,4.6,47.1,0.3,1.4,20.0,1.2,1.9,61.9,0.2,1.0,1.2,0.8,1.0,0.7,0.2,1.5,0,0,-3.0
December,11,21.5,5.5,2.4,6.3,37.7,0.5,2.2,25.0,0.2,0.2,100,0.4,2.5,2.8,0.8,1.5,1.3,0.6,2.1,0,0,-3.5
Pre All-Star,24,17.4,5.3,2.1,5.1,41.8,0.4,1.7,24.4,0.6,1.0,60.0,0.3,1.6,1.8,0.8,1.1,1.0,0.4,1.8,0,0,-2.7
Starters,13,27.3,8.5,3.4,8.2,41.1,0.6,2.8,22.2,1.2,1.6,71.4,0.4,2.5,2.9,1.3,1.8,1.5,0.6,2.5,0,0,-5.8
Bench,11,5.7,1.5,0.6,1.4,46.7,0.2,0.5,40.0,0.0,0.4,0.0,0.1,0.5,0.5,0.2,0.3,0.5,0.1,0.9,0,0,1.1
0 Days Rest,6,20.7,6.0,2.3,6.0,38.9,0.7,2.5,26.7,0.7,1.0,66.7,0.2,1.5,1.7,0.8,1.0,1.2,0.5,2.0,0,0,-3.8
1 Days Rest,11,19.0,5.8,2.3,5.2,43.9,0.3,1.6,16.7,1.0,1.4,73.3,0.2,1.8,2.0,1.0,1.5,1.2,0.5,1.6,0,0,-4.6
2 Days Rest,3,14.1,4.3,2.0,5.3,37.5,0.3,1.3,25.0,0.0,0.0,0.0,0.7,1.3,2.0,0.3,1.0,0.0,0.0,2.3,0,0,-1.3
3 Days Rest,2,12.3,4.5,2.0,5.0,40.0,0.5,1.0,50.0,0.0,1.0,0.0,0.5,2.5,3.0,0.0,0.5,0.5,0.5,1.5,0,0,2.5
6+ Days Rest,2,9.0,2.5,1.0,1.5,66.7,0.5,1.0,50.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.5,0.0,1.0,0,0,4.5
