BREAKDOWN,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-
2016-17,44,28.1,8.6,3.3,4.9,67.6,0.0,0.0,0.0,2.0,2.7,72.5,3.4,8.3,11.7,0.6,1.5,0.7,0.5,2.8,12,0,-2.2
Home,22,29.5,9.2,3.7,5.4,69.5,0.0,0.0,0.0,1.7,2.6,66.7,4.0,9.1,13.1,0.6,1.5,0.6,0.6,3.0,9,0,-1.3
Road,22,26.7,8.0,2.9,4.5,65.3,0.0,0.0,0.0,2.2,2.9,77.8,2.8,7.5,10.3,0.6,1.4,0.8,0.4,2.5,3,0,-3.1
Wins,13,31.1,8.5,3.2,5.4,58.6,0.0,0.0,0.0,2.2,2.9,76.3,3.8,11.0,14.8,0.9,1.5,0.8,0.6,2.4,3,0,7.2
Losses,31,26.9,8.6,3.4,4.7,71.9,0.0,0.0,0.0,1.9,2.6,70.7,3.2,7.2,10.4,0.5,1.5,0.6,0.5,2.9,9,0,-6.2
October,4,26.9,6.3,2.5,3.8,66.7,0.0,0.0,0.0,1.3,2.3,55.6,2.5,8.8,11.3,0.5,1.5,0.3,0.0,4.5,0,0,-0.3
November,7,27.0,7.7,3.4,4.6,75.0,0.0,0.0,0.0,0.9,1.1,75.0,2.4,9.6,12.0,0.4,1.3,0.9,0.9,2.4,2,0,-0.1
December,15,27.5,7.9,3.1,4.7,66.2,0.0,0.0,0.0,1.7,2.7,62.5,3.5,7.4,10.9,0.5,1.9,0.7,0.3,2.8,4,0,-4.5
January,13,30.8,10.9,4.2,6.2,66.7,0.0,0.0,0.0,2.6,3.2,81.0,4.4,8.8,13.2,0.8,1.0,0.8,0.7,2.2,5,0,0.2
February,5,25.5,7.8,2.2,3.4,64.7,0.0,0.0,0.0,3.4,4.2,81.0,2.6,7.4,10.0,0.6,1.6,0.8,0.6,3.0,1,0,-5.8
Pre All-Star,44,28.1,8.6,3.3,4.9,67.6,0.0,0.0,0.0,2.0,2.7,72.5,3.4,8.3,11.7,0.6,1.5,0.7,0.5,2.8,12,0,-2.2
Starters,43,28.5,8.7,3.3,5.0,67.1,0.0,0.0,0.0,2.0,2.8,72.5,3.4,8.4,11.8,0.6,1.5,0.7,0.5,2.7,12,0,-2.1
Bench,1,11.4,6.0,3.0,3.0,100,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,7.0,0.0,1.0,0.0,0.0,4.0,0,0,-5.0
0 Days Rest,6,28.1,7.8,3.2,4.5,70.4,0.0,0.0,0.0,1.5,2.2,69.2,3.5,8.5,12.0,1.7,1.7,0.8,0.5,3.5,1,0,4.7
1 Days Rest,28,29.4,8.7,3.2,4.7,68.7,0.0,0.0,0.0,2.3,3.0,74.1,3.1,9.0,12.1,0.4,1.4,0.8,0.5,2.6,8,0,-2.3
2 Days Rest,5,24.8,6.8,2.8,5.2,53.8,0.0,0.0,0.0,1.2,1.2,100,4.0,5.2,9.2,0.8,1.8,0.8,0.4,3.2,1,0,-7.8
3 Days Rest,1,37.7,14.0,5.0,8.0,62.5,0.0,0.0,0.0,4.0,6.0,66.7,7.0,12.0,19.0,0.0,2.0,0.0,1.0,1.0,1,0,-7.0
4 Days Rest,2,26.4,15.0,6.5,9.5,68.4,0.0,0.0,0.0,2.0,4.0,50.0,5.5,7.5,13.0,0.5,1.0,0.0,0.5,2.0,1,0,-5.0
6+ Days Rest,2,16.1,5.5,2.5,2.5,100,0.0,0.0,0.0,0.5,1.0,50.0,1.5,4.5,6.0,0.0,0.5,0.0,1.0,3.5,0,0,-3.0
