BREAKDOWN,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-
2016-17,48,30.7,15.6,6.0,13.4,45.1,1.5,4.3,34.6,2.1,2.9,73.0,1.5,5.2,6.8,2.1,1.7,0.8,0.4,2.4,6,0,-1.6
Home,25,30.8,15.6,6.2,13.6,45.6,1.4,4.2,32.4,1.8,2.6,70.8,1.7,5.6,7.3,2.6,1.6,0.8,0.4,2.2,5,0,0.7
Road,23,30.5,15.7,5.8,13.1,44.5,1.7,4.5,36.9,2.3,3.1,75.0,1.3,4.8,6.1,1.4,1.8,0.9,0.4,2.6,1,0,-4.0
Wins,22,30.2,15.0,5.6,12.6,44.2,1.2,3.9,31.8,2.6,3.2,82.9,1.5,5.0,6.5,2.4,1.7,1.0,0.5,2.2,2,0,6.2
Losses,26,31.1,16.1,6.4,14.0,45.7,1.7,4.7,36.6,1.6,2.6,62.7,1.5,5.4,7.0,1.8,1.7,0.7,0.3,2.5,4,0,-8.2
October,3,30.6,10.7,4.0,11.0,36.4,1.0,4.7,21.4,1.7,3.0,55.6,0.3,5.3,5.7,1.0,1.7,0.0,0.3,2.7,0,0,0.7
November,13,30.7,19.9,7.9,16.2,48.8,1.4,3.8,36.7,2.7,3.2,83.3,2.0,6.2,8.2,1.7,1.5,0.8,0.2,1.8,3,0,0.5
December,14,31.7,13.9,5.4,13.2,41.1,1.8,5.1,34.7,1.3,2.1,60.0,1.4,5.0,6.4,2.4,1.6,0.7,0.1,2.6,2,0,-4.2
January,13,28.4,14.5,5.5,11.8,47.1,1.5,4.0,38.5,1.9,2.4,80.6,1.5,4.6,6.2,2.1,1.5,0.9,0.7,2.2,0,0,-0.6
February,5,33.7,15.0,5.2,11.8,44.1,1.2,4.2,28.6,3.4,5.0,68.0,1.2,5.0,6.2,2.8,2.8,1.4,1.2,3.6,1,0,-3.4
Pre All-Star,48,30.7,15.6,6.0,13.4,45.1,1.5,4.3,34.6,2.1,2.9,73.0,1.5,5.2,6.8,2.1,1.7,0.8,0.4,2.4,6,0,-1.6
Starters,17,33.9,16.9,6.4,13.9,45.8,1.6,5.1,32.2,2.5,3.5,72.9,1.4,5.3,6.6,2.7,1.9,1.1,0.5,2.8,3,0,-2.4
Bench,31,28.9,14.9,5.8,13.1,44.7,1.4,3.9,36.4,1.8,2.5,73.1,1.6,5.2,6.8,1.7,1.6,0.7,0.4,2.2,3,0,-1.1
0 Days Rest,11,29.1,13.3,4.8,11.7,41.1,1.2,4.1,28.9,2.5,3.1,79.4,0.7,4.5,5.3,1.7,1.6,0.8,0.5,2.7,0,0,-10.3
1 Days Rest,22,32.2,17.1,6.4,14.1,45.5,1.8,4.6,38.2,2.5,3.4,73.3,1.9,5.3,7.2,2.2,1.5,0.8,0.5,2.1,4,0,1.2
2 Days Rest,9,31.8,17.8,7.3,15.0,48.9,1.6,4.2,36.8,1.6,2.7,58.3,1.8,5.7,7.4,2.2,2.2,1.0,0.3,2.7,2,0,0.1
3 Days Rest,3,22.0,9.7,4.3,9.0,48.1,1.0,3.0,33.3,0.0,0.0,0.0,1.7,3.7,5.3,1.7,1.7,0.7,0.0,2.7,0,0,-2.7
4 Days Rest,2,30.9,16.5,6.5,14.0,46.4,1.5,5.5,27.3,2.0,2.0,100,0.0,7.0,7.0,2.0,1.5,1.0,0.0,2.5,0,0,13.5
5 Days Rest,1,30.0,6.0,3.0,12.0,25.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,8.0,10.0,2.0,2.0,1.0,0.0,1.0,0,0,-9.0
