BREAKDOWN,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-
2016-17,47,37.2,18.9,6.9,15.1,45.9,2.6,6.6,38.7,2.5,3.0,83.6,0.4,3.0,3.4,3.0,1.8,0.9,0.2,2.2,0,0,-2.5
Home,23,37.6,19.2,6.7,14.7,45.9,2.8,7.0,40.1,2.9,3.5,82.7,0.5,3.2,3.7,3.1,2.1,0.9,0.3,2.3,0,0,1.5
Road,24,36.9,18.6,7.1,15.5,46.0,2.3,6.2,37.2,2.1,2.5,84.7,0.3,2.8,3.2,2.8,1.5,0.8,0.2,2.1,0,0,-6.3
Wins,16,36.7,17.4,6.4,13.9,45.7,2.8,6.5,42.3,1.9,2.4,81.6,0.5,3.0,3.5,2.6,1.6,1.1,0.4,1.9,0,0,7.5
Losses,31,37.5,19.7,7.2,15.7,46.0,2.5,6.6,36.9,2.8,3.3,84.3,0.4,3.0,3.4,3.2,1.9,0.8,0.1,2.4,0,0,-7.6
October,2,35.2,20.0,6.5,14.0,46.4,3.0,6.5,46.2,4.0,4.5,88.9,0.0,5.0,5.0,2.5,1.5,0.5,0.0,3.0,0,0,-3.5
November,15,36.9,19.7,7.3,15.8,46.0,2.4,6.7,36.0,2.8,3.1,89.4,0.4,2.5,2.9,2.7,1.8,0.9,0.2,2.0,0,0,-2.7
December,15,38.7,22.7,8.2,16.7,49.0,3.5,7.6,46.5,2.7,3.2,85.4,0.5,2.3,2.8,3.7,2.3,0.7,0.3,2.3,0,0,-1.6
January,13,36.6,14.2,5.2,12.5,41.7,1.9,5.8,33.3,1.8,2.5,72.7,0.4,4.1,4.5,2.4,1.5,1.1,0.2,2.2,0,0,-1.3
February,2,34.4,14.0,6.5,15.5,41.9,0.0,4.0,0.0,1.0,1.5,66.7,0.5,3.0,3.5,4.0,1.0,0.5,0.0,2.0,0,0,-14.5
Pre All-Star,47,37.2,18.9,6.9,15.1,45.9,2.6,6.6,38.7,2.5,3.0,83.6,0.4,3.0,3.4,3.0,1.8,0.9,0.2,2.2,0,0,-2.5
Starters,47,37.2,18.9,6.9,15.1,45.9,2.6,6.6,38.7,2.5,3.0,83.6,0.4,3.0,3.4,3.0,1.8,0.9,0.2,2.2,0,0,-2.5
0 Days Rest,6,37.3,24.0,9.5,19.2,49.6,4.0,8.5,47.1,1.0,1.5,66.7,0.7,3.0,3.7,3.5,2.2,1.2,0.2,1.7,0,0,0.5
1 Days Rest,30,37.6,18.4,6.7,14.6,45.7,2.2,6.3,34.9,2.8,3.4,84.2,0.5,2.9,3.4,3.1,1.7,0.9,0.3,2.3,0,0,-3.1
2 Days Rest,8,35.8,17.5,6.4,14.6,43.6,2.6,6.6,39.6,2.1,2.3,94.4,0.0,3.3,3.3,2.1,1.1,0.5,0.1,2.0,0,0,-2.6
3 Days Rest,1,44.8,24.0,9.0,18.0,50.0,3.0,7.0,42.9,3.0,5.0,60.0,0.0,2.0,2.0,6.0,8.0,1.0,0.0,4.0,0,0,-1.0
4 Days Rest,1,33.8,19.0,6.0,14.0,42.9,3.0,6.0,50.0,4.0,5.0,80.0,0.0,5.0,5.0,3.0,2.0,1.0,0.0,3.0,0,0,-4.0
5 Days Rest,1,33.7,11.0,3.0,8.0,37.5,3.0,4.0,75.0,2.0,2.0,100,0.0,5.0,5.0,1.0,1.0,1.0,0.0,1.0,0,0,-1.0
