,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,DATE,OPPONENT,ARENA
0,"FEB 03, 2017 - MIN @ DET",L,32,20,9,13,69.2,0,2,0.0,2,3,66.7,1,3,4,4,0,0,2,1,-4,2017-02-03 00:00:00,DET,AWAY
1,"FEB 01, 2017 - MIN @ CLE",L,37,8,4,18,22.2,0,6,0.0,0,0,0.0,0,3,3,4,1,0,0,3,-25,2017-02-01 00:00:00,CLE,AWAY
2,"JAN 30, 2017 - MIN vs. ORL",W,43,11,3,9,33.3,1,6,16.7,4,5,80.0,0,3,3,0,1,0,0,4,3,2017-01-30 00:00:00,ORL,HOME
3,"JAN 28, 2017 - MIN vs. BKN",W,37,20,6,11,54.5,3,6,50.0,5,7,71.4,1,6,7,2,2,1,1,1,8,2017-01-28 00:00:00,BKN,HOME
4,"JAN 26, 2017 - MIN vs. IND",L,42,23,7,17,41.2,3,9,33.3,6,7,85.7,0,3,3,5,1,1,2,3,2,2017-01-26 00:00:00,IND,HOME
5,"JAN 24, 2017 - MIN @ PHX",W,34,11,5,9,55.6,1,4,25.0,0,2,0.0,0,1,1,4,2,0,2,2,4,2017-01-24 00:00:00,PHX,AWAY
6,"JAN 22, 2017 - MIN vs. DEN",W,33,4,2,8,25.0,0,3,0.0,0,0,0.0,0,2,2,1,2,0,0,0,-7,2017-01-22 00:00:00,DEN,HOME
7,"JAN 19, 2017 - MIN @ LAC",W,40,9,3,13,23.1,1,6,16.7,2,2,100.0,0,6,6,2,1,0,2,2,-3,2017-01-19 00:00:00,LAC,AWAY
8,"JAN 17, 2017 - MIN @ SAS",L,35,18,8,14,57.1,2,5,40.0,0,0,0.0,0,4,4,2,0,0,1,3,1,2017-01-17 00:00:00,SAS,AWAY
9,"JAN 15, 2017 - MIN @ DAL",L,34,11,3,8,37.5,3,4,75.0,2,2,100.0,0,5,5,1,1,0,1,1,-1,2017-01-15 00:00:00,DAL,AWAY
10,"JAN 09, 2017 - MIN vs. DAL",W,29,5,2,7,28.6,1,4,25.0,0,0,0.0,0,6,6,5,1,0,2,2,-4,2017-01-09 00:00:00,DAL,HOME
11,"JAN 07, 2017 - MIN vs. UTA",L,38,24,10,21,47.6,3,9,33.3,1,1,100.0,3,6,9,4,1,0,2,2,-8,2017-01-07 00:00:00,UTA,HOME
