BREAKDOWN,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-
2016-17,47,24.4,14.2,6.1,13.3,45.6,0.3,1.3,26.2,1.7,2.2,74.3,2.4,5.9,8.3,1.7,1.2,0.5,0.1,2.0,13,0,2.0
Home,22,23.9,14.2,6.0,13.0,46.0,0.4,1.4,30.0,1.8,2.7,66.1,2.5,6.3,8.9,1.7,1.2,0.4,0.1,2.0,7,0,2.3
Road,25,24.8,14.2,6.2,13.6,45.3,0.3,1.2,22.6,1.6,1.8,84.8,2.2,5.5,7.7,1.8,1.3,0.7,0.2,2.1,6,0,1.7
Wins,28,24.3,15.3,6.6,13.8,47.8,0.4,1.4,28.2,1.7,2.4,71.2,2.4,5.9,8.3,1.7,1.3,0.5,0.1,2.2,8,0,5.1
Losses,19,24.6,12.5,5.3,12.6,42.1,0.3,1.2,22.7,1.6,2.1,79.5,2.4,5.8,8.2,1.7,1.2,0.6,0.2,1.8,5,0,-2.6
October,3,23.7,18.0,7.3,14.0,52.4,0.7,1.3,50.0,2.7,3.7,72.7,1.3,8.0,9.3,1.3,2.3,1.0,0.0,2.3,1,0,0.0
November,12,21.9,13.3,5.8,12.4,46.3,0.2,0.9,18.2,1.6,2.1,76.0,1.9,5.6,7.5,0.9,1.1,0.3,0.2,2.0,2,0,-0.8
December,14,22.9,12.4,5.5,13.1,41.8,0.2,1.4,15.0,1.2,1.6,73.9,2.6,4.9,7.5,2.6,0.9,0.5,0.2,1.9,3,0,2.4
January,14,27.6,16.1,6.9,14.1,48.5,0.6,1.5,42.9,1.7,2.4,70.6,2.7,6.8,9.5,1.6,1.3,0.6,0.1,1.6,6,0,5.1
February,4,26.3,13.5,5.5,13.5,40.7,0.0,1.3,0.0,2.5,3.0,83.3,2.8,5.3,8.0,1.8,1.8,0.5,0.3,3.8,1,0,-1.0
Pre All-Star,47,24.4,14.2,6.1,13.3,45.6,0.3,1.3,26.2,1.7,2.2,74.3,2.4,5.9,8.3,1.7,1.2,0.5,0.1,2.0,13,0,2.0
Starters,3,33.6,14.3,6.3,13.3,47.5,0.3,2.0,16.7,1.3,3.0,44.4,2.0,5.7,7.7,2.3,1.0,1.0,0.7,2.7,0,0,-8.0
Bench,44,23.8,14.2,6.1,13.3,45.5,0.3,1.3,27.3,1.7,2.2,77.1,2.4,5.9,8.3,1.7,1.3,0.5,0.1,2.0,13,0,2.6
0 Days Rest,10,24.1,13.9,5.8,14.0,41.4,0.1,1.5,6.7,2.2,3.0,73.3,2.3,5.4,7.7,1.5,1.4,0.7,0.1,2.1,2,0,-1.1
1 Days Rest,27,24.0,14.6,6.3,13.1,48.4,0.4,1.2,30.3,1.5,1.9,78.8,2.4,5.9,8.3,1.9,1.3,0.4,0.1,2.3,9,0,4.9
2 Days Rest,6,25.1,12.5,5.3,13.8,38.6,0.5,1.3,37.5,1.3,1.5,88.9,2.3,5.3,7.7,1.5,1.0,0.7,0.3,1.5,0,0,-3.3
3 Days Rest,2,30.7,14.0,6.5,11.5,56.5,0.5,1.5,33.3,0.5,2.0,25.0,1.0,6.5,7.5,2.0,0.5,1.5,0.0,1.0,0,0,-6.5
6+ Days Rest,2,23.2,15.5,6.0,14.0,42.9,0.5,1.0,50.0,3.0,5.0,60.0,3.5,9.0,12.5,1.0,1.0,0.0,0.0,0.5,2,0,2.5
