TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
Golden State Warriors,52,44,8,.846,48.4,118.3,43.8,87.6,50.1,12.3,31.5,38.9,18.3,23.2,79.2,9.0,36.1,45.1,31.2,15.0,9.4,6.5,3.8,19.2,20.0,13.2
San Antonio Spurs,52,40,12,.769,48.2,107.0,39.6,83.0,47.7,9.1,22.5,40.7,18.7,23.2,80.7,9.3,34.1,43.4,24.0,13.2,8.0,5.8,4.2,18.5,20.1,8.3
Houston Rockets,56,39,17,.696,48.4,114.2,40.4,86.8,46.5,14.4,39.9,36.2,19.0,24.9,76.1,10.5,33.4,43.8,25.5,15.4,8.3,4.6,5.0,20.0,20.1,6.3
Cleveland Cavaliers,52,36,16,.692,48.4,111.0,39.6,85.6,46.3,13.0,33.5,38.8,18.8,25.0,75.2,10.0,34.1,44.1,22.1,14.0,7.3,4.1,4.9,18.0,21.5,5.1
Boston Celtics,53,34,19,.642,48.3,108.2,39.0,86.0,45.3,12.1,33.2,36.5,18.2,22.2,82.0,9.4,32.1,41.5,25.2,12.6,7.5,4.3,5.1,20.3,19.7,2.4
Utah Jazz,54,34,20,.630,48.2,100.5,36.6,78.4,46.7,9.6,26.2,36.7,17.7,23.4,75.4,8.9,34.0,42.9,19.7,13.6,6.7,4.9,3.6,19.2,20.4,4.8
LA Clippers,53,32,21,.604,48.2,108.5,39.4,84.0,46.9,10.3,27.3,37.9,19.4,25.9,74.8,9.5,34.0,43.5,22.5,13.1,7.6,4.7,3.4,20.4,22.3,3.3
Memphis Grizzlies,55,33,22,.600,48.7,100.7,36.3,83.9,43.2,9.2,25.9,35.6,18.9,24.1,78.6,10.9,32.5,43.3,20.7,12.9,8.4,4.7,5.1,23.7,21.2,1.5
Washington Wizards,52,31,21,.596,48.5,107.7,41.3,86.8,47.5,8.8,23.8,36.9,16.4,20.9,78.6,10.3,32.9,43.2,23.5,14.3,8.6,4.2,4.3,21.4,19.6,2.2
Toronto Raptors,54,32,22,.593,48.3,109.2,39.7,85.5,46.5,9.3,25.0,37.1,20.5,25.4,80.6,10.9,31.9,42.8,18.7,12.1,8.6,4.9,4.7,21.0,20.5,4.5
Atlanta Hawks,53,31,22,.585,48.6,104.0,38.9,85.3,45.6,8.9,26.0,34.3,17.2,23.7,72.8,10.3,33.7,44.0,24.2,15.4,8.4,4.9,5.2,17.9,21.1,-0.3
Oklahoma City Thunder,54,31,23,.574,48.4,105.7,39.2,87.1,45.1,8.4,26.0,32.2,18.9,25.4,74.4,11.7,34.5,46.2,21.1,15.1,7.7,5.2,5.3,20.6,20.9,0.4
