source_name,review_date,critic_name,review_detail
Vox," February 7, 2017",Alissa Wilkinson," Watching Cameraperson, we take Johnson's rich images into ourselves. Having watched them, experienced them, they become entangled with us, too."
Film Ireland Magazine," February 2, 2017",Michael O'Sullivan," At a time when the truth becomes questionable and dubious to the public at large, Cameraperson feels not only timely but relevant to the ongoing determination."
Sunday Times (UK)," January 30, 2017",Edward Porter," Fruitful themes and patterns emerge -- in, for instance, the way it intertwines Johnson's family life and the arduous scenes she witnesses during her work"
Observer (UK)," January 29, 2017",Wendy Ide," Although we only see Johnson's face once, briefly, it's a detailed self-portrait of an extraordinary woman."
Sight and Sound," January 27, 2017",Hannah McGill, Cameraperson is haunted - as one senses Johnson may be - by the question of whether and how much documentary filmmakers should intervene in the lives of their subjects.
Irish Times," January 27, 2017",Tara Brady, Cameraperson's scrapbook of outtakes and downtime surpasses any of Johnson's greatest hits. 
Times (UK)," January 27, 2017",Kate Muir, Kirsten Johnson has created a resonant and revealing kaleidoscope of her life behind the camera on films from Bosnian war documentaries to the Edward Snowden film Citizenfour and even a portrait of the philosopher Jacques Derrida.
Radio Times," January 26, 2017",Stephen Carty," This is, essentially, a very long outtakes reel."
Daily Express (UK)," January 26, 2017",Allan Hunter, A personal memoir that becomes a fascinating examination of the ethics and responsibilities of being a documentary film-maker.
Guardian," January 26, 2017",Peter Bradshaw," Cameraperson is an absorbing, challenging creation."
CineVue," January 24, 2017",Matthew Anderson, Cameraperson is a film that somehow encompasses all of humanity and life from its first moments to very last.
Total Film," January 23, 2017",Tom Dawson," Johnson's compassion shines through, while the images raise vital ethical questions about the responsibilities of the nonfiction filmmaker."
Time Out," January 23, 2017",Cath Clarke, A thoughtful examination of the role of the documentary-maker. 
The List," January 23, 2017",Allan Hunter," What starts out as a personal memoir builds into a thoughtful, compelling examination of the sense of responsibility that is an intrinsic part of being a documentary filmmaker."
Doddle," January 20, 2017",Kimberly Gadette," presents a searing, cinematic globetrot that looks at the vestiges of war, poverty and abuse-yet offsets the despair with sparks of beauty, humor, kindness. It's the human condition both at its worst...and at its best."
Scotsman," January 19, 2017",Alistair Harkness, The effect is entrancing: an expressionistic portrait of the itinerant lifestyle her career dictates and a subtle exploration of the ethics and practices involved in documenting the world in a truthful way.
Combustible Celluloid," January 19, 2017",Jeffrey M. Anderson, Gives viewers a chance to sit back and ponder questions and thoughts about the nature of being human and our relationship with the world.
Laramie Movie Scope," January 19, 2017",Robert Roten," Although the clips of films show places thousands of miles apart, there is a common theme, of people, places and events. There is one person behind the camera who ties it all together into one story."
It's Just Movies," January 17, 2017",Ron Wilkinson," Seemingly the least exciting parts of the film maker's past work, the movie demands the viewer imagine."
The Skinny," January 16, 2017",Patrick Gamble," An enthralling journey of shifting perspectives of the world, Cameraperson dismantles the myth of the objective documentary."
The Playlist," January 29, 2016",Katie Walsh," ""Cameraperson"" makes a strong argument to assert the person behind the camera - who they are, how they live, and how they interact with others as a crucial focal point in the process of filmmaking."
Variety," January 26, 2016",Nick Schager, Cinematographer Kirsten Johnson delivers a uniquely insightful memoir-cum-critical-treatise on the nature and ethics of her craft.
Guardian," January 26, 2016",Jordan Hoffman, It is a remarkable document about the creative process in the service of a specific goal. It may even tap into a richer vein: what it's like to live on planet Earth.
Rolling Stone," September 9, 2016",David Fear," The movie is an extraordinary self-portrait and an existential statement: I shoot, therefore I am."
Christianity Today," September 8, 2016",Alissa Wilkinson," Cameraperson is a marvelous film, and I plan to watch it again and again."
New York Times," September 8, 2016",A.O. Scott, A unique and affecting memoir.
Paste Magazine," September 8, 2016",Kenji Fujishima," The impression all of these clips in toto is of a life fully lived, of an artist who has seen much in her life and wants to share all she has learned with the rest of the world. But Cameraperson adds up to so much more than just a personal remembrance."
Metro," September 8, 2016",Matt Prigge," Like Robert Greene's ""Kate Plays Christine,"" it's a doc about docs that tacitly raises important questions about what we get from non-fiction films."
AV Club," September 7, 2016",Mike D'Angelo," Cameraperson offers enough singular, rarely seen moments to compensate for the overall messiness."
Hollywood Reporter," September 6, 2016",John DeFore," Personal footage interacts intriguingly with reportage here, sometimes making it more than the greatest-hits montage it initially seems."
Brooklyn Magazine," September 6, 2016",Nicolas Rapold," A celebration of female camaraderie, and a hit-after-hit close-up record of a great cinematographer at the height of her empathic powers."
New Yorker," September 5, 2016",Richard Brody," Somewhat less than the sum of its parts, yet those parts are, in themselves, transfixing."
Little White Lies," August 2, 2016",Matthew Eng," Confidently made, with a roaming spirit that make it one of the most engaging films of the year."
rec.arts.movies.reviews," July 28, 2016",Louis Proyect," A selection from 24 films by an outstanding cameraperson and human being. With all due respect to Shelly, it is documentarians who are ""the unacknowledged legislators of the world""."
Screen International," June 15, 2016",Allan Hunter," A perceptive, thought-provoking examination of the responsibilities and obligations of the documentary form."
Cinema Movil," April 7, 2016",Gonzalo Lira Galván," The film doesn't just work for those interested in making documentaries, but also to get to know the life and work of some of the greatest documentarians working today. [Full review in Spanish]"
Sight and Sound," March 17, 2016",Jordan Cronk," Cameraperson's unique formal conception and restlessly interrogative assemblage forms a striking and, dare I say, original vision."
Slant Magazine," March 15, 2016",Sam C. Mac, One gets the sense that power and meaning have been accumulated at a pace appropriately representative of Kirsten Johnson's own experiences.
Austin Chronicle," March 15, 2016",Marjorie Baumgarten," Johnson doesn't purport to have the answers, but instead shows us that probing the questions and the morality is an integral part of the job."
Consequence of Sound," March 12, 2016",Randall Colburn, A sumptuous and affecting visual memoir that doubles as an exploration of memory.
The Film Stage," February 19, 2016",Dan Schindel," Cameraperson is hypnotic, a montage of seemingly disconnected vignettes that slowly demonstrate commonalities among disparate figures around the globe. "
Nonfics," February 2, 2016",Daniel Walber," This is what nonfiction cinema should be, a living dialog that complicates the position of the camera person in invigorating, sometimes emotionally taxing ways. This mediation, for lack of a better term, is art."
Film School Rejects," February 2, 2016",Christopher Campbell, A clever and fascinating self-portrait. 
East Bay Express," October 14, 2016",Kelly Vance," The images she captures form the antithesis of the cold, uncaring, unblinking eye."
Salt Lake Tribune," October 13, 2016",Sean P. Means," In Cameraperson, Johnson beautifully captures her odd life, finding in these disparate stories of other people a through-line to her own life as an observer who never forgets her own humanity. "
Blu-ray.com," October 13, 2016",Brian Orndorf," Even those unaware of Johnson's work are gifted an unusual break from the documentary norm, exposed to slices of life that reinforce the fragility and the oddity of the human experience."
Minneapolis Star Tribune," October 13, 2016",Colin Covert," Johnson offers a portrait of her life and work side by side, each challenging and rewarding the other."
Washington Post," October 13, 2016",Ann Hornaday," ""Cameraperson"" testifies to a world in which it would be clear to see that we're all connected, if only we took the time to look at one another with reverence and simply listen."
Washington City Paper," October 13, 2016",Noah Gittell, Turns out the person behind the camera is just like the rest of us.
The Nation," October 11, 2016",Stuart Klawans," Cameraperson becomes one of those rare films that snap you wide awake as soon as you begin to watch, and listen."
Willamette Week," October 5, 2016",Ben Ferguson," Cameraperson still commands your attention, hooking you with loose, tender moments."
