source_name,review_date,critic_name,review_detail
Film Ireland Magazine," January 3, 2017",Deirdre Molumby," Tim Miller delivers a feat for his directorial debut, and on the superhero movie rating scale - which we can safely say has certainly had its ups and downs - Deadpool is pretty fresh."
Washington City Paper," January 2, 2017",Alan Zilberman," A more rebellious Deadpool would comment on how its climax looks just like every other Marvel climax, but instead there's safety to the tone that veers only from amusing to dull."
MetroActive," December 31, 2016",Richard von Busack," There isn't an aspect of superhero lore that isn't rubbished by the Apatow-meets-Spider-Man comedy Deadpool. By the lights of this decade's movie making, that's a lot of rubbishing."
Salt Lake Tribune," December 30, 2016",Sean P. Means," Things drag in the movie's overly serious middle section, but Reynolds' gift for rapid-fire putdowns adds spice to the frenetic action."
Columbus Alive," December 30, 2016",Brad Keefe," Deadpool boasts some great stylish action, and is probably the funniest movie of the young year."
Financial Times," December 27, 2016",Nigel Andrews, Deadpool tries so hard and is so trying.
AskMen.com," December 12, 2016",Rick Mele, [Deadpool] the (anti)hero we didn't even know we needed.
Brooklyn Magazine," November 15, 2016",Jesse Hassenger, Much of Deadpool is a disreputable delight.
Arkansas Democrat-Gazette," November 14, 2016",Dan Lybarger," Starting with a sarcastic run of opening credits and consistently infused with the title character's vitriolic outbursts, the first solo outing for Marvel's ""Merc with a Mouth"" gets by strictly on attitude."
The Vine," October 7, 2016",David Ross," An entertaining, refreshing action flick with enough genuine laughs to fill out the forgiving 108-minute run time."
The Mary Sue," September 20, 2016",Rebecca Pahle," Ryan Reynolds was born in a damn lab to play this role, and T.J. Miller is equally good as possibly the most realistic superhero sidekick ever."
CineXpress," August 18, 2016",Fico Cangiano, The funniest superhero movie I've ever seen. [Full review in Spanish]
RTÉ (Ireland)," July 19, 2016",Laura Delaney, Deadpool is the kind of movie that will just get more marvellous each time it is viewed.
Washington Free Beacon," July 14, 2016",Sonny Bunch," Ryan Reynolds, the king of charming smarminess, hits the big time."
Digital Spy," July 11, 2016",Hugh Armitage," Deadpool does an impressive job of bringing its insane and loveable anti-hero to life, with energy and a level of detail that marks it apart."
Antagony & Ecstasy," July 10, 2016",Tim Brayton, The thing you walk into it expecting it to be is completely and in all ways the thing that it is. This can be taken as both a good thing and a bad thing.
MediaMikes," June 21, 2016",Michael A. Smith," A superhero film is only as good as the actor playing him and, if ever an actor was meant to play Deadpool, it is Ryan Reynolds."
The Herald (Ireland)," June 13, 2016",Chris Wasser," Bloody and violent in all the right places and outrageously funny/filthy in all the wrong ones, too."
Matt's Movie Reviews," June 11, 2016",Matthew Pejkovic," A better, sharper, raunchier, and unapologetically entertaining movie experience that is up there with the best hard-core comic book movies."
Japan Times," June 1, 2016",James Hadfield," Deadpool is fleet, flippant and genuinely funny, peppered with pop-culture references, Marvel in-jokes and fourth-wall-breaking quips to the audience."
Cinema em Cena," February 6, 2016",Pablo Villaça," Next to Deadpool, Tony Stark is that annoying uncle who loves to tell old knock-knock jokes. [Full review in Portuguese.]"
TheWrap," February 6, 2016",Alonso Duralde," It's a film that's amused with itself, but thanks to a screwball screenplay by Rhett Rheese and Paul Wernick and a charmingly snarky lead turn by Ryan Reynolds, that amusement is both thoroughly earned and completely contagious. "
HitFix," February 6, 2016",Drew McWeeny, I'll just marvel at the fact that Fox finally grew the jooblies to let this film happen.
Slant Magazine," February 6, 2016",Kenji Fujishima, The whiplash contrasts between snideness and sincerity are deeply rooted in the main character's psychology. 
We Got This Covered," February 6, 2016",Matt Donato," With Fox's Deadpool movie, a new superhero icon has been born, and he just tea-bagged us all."
CinemaBlend.com," February 6, 2016",Eric Eisenberg, Deadpool is a blissfully unique and hilarious action-packed blockbuster that stands as one of the best big-screen superhero origin stories that we've had the pleasure of seeing. 
ChrisStuckmann.com," February 6, 2016",Chris Stuckmann," Justice has finally been done to the ""Merc with a Mouth."" Is it the next Citizen Kane? No. Is it the perfect Deadpool movie? You bet."
Examiner.com," February 6, 2016",Travis Hopson," While there have been other R-rated comic book movies and even superhero sex scenes (hello ""Watchmen""!), none revel in it quite like ""Deadpool"" does."
The Mary Sue," February 7, 2016",Lesley Coffin," The cynicism is so blatant and unpleasant, but seemingly pointed at nothing, that I found it draining to watch."
