source_name,review_date,critic_name,review_detail
Japan Times," January 18, 2017",Kaori Shoji," OK, so Dr. Strange is not as soulful as expected. But in this particular reality, I'll take what I can get."
Film Experience," January 2, 2017",Nathaniel Rogers, Doctor Strange's last act is so trippy and exciting that you can almost forgive that generic story.
Washington City Paper," January 2, 2017",Matt Cohen," Though Doctor Strange's impressive visual effects and head-spinning mythology might seem a bit much for Marvel's typical filmgoing crowd, its story is rudimentary enough to keep the more far-reaching elements relatively grounded."
MetroActive," December 31, 2016",Richard von Busack, The movie is very much Harry Potter for adults.
Hindustan Times," December 31, 2016",Rashid Irani, [An] underwhelming panel-to-screen Marvel adaptation.
Daily Star," December 31, 2016",Andy Lea, This summer's superhero films may have fallen a bit flat but this one is magic.
Globe and Mail," December 31, 2016",Barry Hertz," Doctor Strange, intended to be a mind-bending, rule-breaking rebuke to the squares of superhero cinema, turns out to be a rebel in name only -- the textbook definition of a bad trip."
TIME Magazine," December 31, 2016",Stephanie Zacharek," Cumberbatch, both a natural comedian and a subtle one, knows how to get a big laugh from nothing more than an arched eyebrow."
The Mary Sue," December 31, 2016",Jessica Lachenal, The overall experience of Doctor Strange is wonderfully fun... provided you don't try to dig a little deeper.
Columbus Alive," December 30, 2016",Brad Keefe," Doctor Strange is another win for Marvel, and proof that there are some new tricks to be found in superhero movies after all."
Cinema Movil," December 28, 2016",Oscar Uriel," A clear example of an amazing and commited cast, that take their work seriously, no matter how silly the premise is. [Full review in Spanish]"
The Sunday Age," December 27, 2016",Craig Mathieson," For all the talk of alternate dimensions and sightings of a bald Tilda Swinton, Scott Derrickson's film is a sturdy addition to the superhero saga that's been slotting in compatible pieces since Iron Man delivered its first wisecrack in 2008."
El Financiero," December 22, 2016",Daniel Krauze, Dr. Strange is not only entertaining and absurd. It's also an intelligent film. [Full review in Spanish]
Reel Film Reviews," December 22, 2016",David Nusair, Quite possibly the worst of the Marvel movies...
Sunday Times (UK)," December 17, 2016",Camilla Long," Strip away the thick rind of make-up and the comedy Hugh Laurie accent, and Strange is exactly like every role Cumberbatch has ever played."
Antagony & Ecstasy," December 17, 2016",Tim Brayton, It's not a tremendously rewarding piece of storytelling... But it's dang cool.
leonardmaltin.com," December 15, 2016",Leonard Maltin," My reaction to this movie is mixed, at best."
MovieCrypt.com," December 6, 2016",Kevin A. Ranson," Strange can do great things by the end of the movie, but he still has a lot to learn before he can take on the title of Sorcerer Supreme - and that should be fun to watch, too."
Matt's Movie Reviews," December 6, 2016",Matthew Pejkovic, Brings much in the way of tasty popcorn spirituality to match it's brilliant filmmaking.
Film Inquiry," December 5, 2016",Julia Smith," Dr Strange isn't just any old superhero, he's not gaudy and violent, he's smarter, he's gentler. He's basically a much nicer Sherlock... in a cape."
Variety," October 23, 2016",Peter Debruge," The key is an in-on-the-joke script, which Derrickson co-wrote with Jon Spaihts and C. Robert Cargill, that ingeniously navigates major plot potholes even as it saddles its actors with ludicrous dialogue. But what actors!"
The Playlist," October 23, 2016",Gregory Ellwood, A visual wonder... but you still feel the formula straining.
ScreenCrush," October 23, 2016",Matt Singer, Marvel's familiar formula with some really cool visuals.
The Daily Beast," October 23, 2016",Jen Yamato, More mature than its predecessors and the first blockbuster of the modern superhero era ideally viewed on a magic mushroom trip.
TheWrap," October 23, 2016",Alonso Duralde," Casts a few impressive spells of its own, not the least of which is the redemption of the visual-effects extravaganza. This funny, freaky adventure reminds us of how effective VFX can be when they've got some imagination behind them."
Uproxx," October 23, 2016",Mike Ryan," Doctor Strange is basically a reboot of Iron Man, only with a lot more prettier things to look at while you're stoned. It's a good strategy. And it works."
Independent (UK)," October 24, 2016",Jack Shepherd," Director Scott Derrickson creates a cinematic experience straight from the comic books, an incredible feat that needs to be seen on the big screen."
GQ Magazine [UK]," October 24, 2016",Helen O'Hara," Happily, it's [Marvel 's] most impressive visual film yet."
Entertainment Weekly," October 24, 2016",Chris Nashawaty, Doctor Strange is thrilling in the way a lot of other Marvel movies are. But what makes it unique is that it's also heady in a way most Marvel movies don't dare to be.
CraveOnline," October 24, 2016",William Bibbiani," At its best it's a consciousness-expanding head trip of fantastic proportions, and at its worst it's merely an entertaining superhero movie."
