source_name,review_date,critic_name,review_detail
The Sunday Age," January 27, 2017",Craig Mathieson," Pop, now a leonine elder statesman, is a salty, charming interview subject, but this is a surprisingly dry and conventional telling of the band's halcyon days (and eventual reformation)."
Eye for Film," January 20, 2017",Jennie Kermode," Despite all the hardships, the film is enchanting as a tale of people who, for the most part, did what they loved, and in some cases are still doing it."
ArtsHub," January 18, 2017",Sarah Ward," In what proves a primer and a tribute combined, it's the obvious affection and the unexpected moments alike that give Gimme Danger its entertaining edge. "
The Australian," January 6, 2017",Stephen Romei," Iggy is the star of the show. He comes across, still lean and long-haired and handsome (and almost fully clothed), as intelligent, caring -- and still vexed by what he sees as the corporate corruption of rock 'n' roll in the 70s."
Seven Days," January 1, 2017",Rick Kisonak," It took a while, but the world eventually caught up with the Stooges. What a difference 40 years can make."
MetroActive," January 1, 2017",Richard von Busack, Gimme Danger demonstrates reverence for a one-of-a-kind collective of musicians.
Irish Times," December 27, 2016",Donald Clarke," Without breaking many rules, Gimme Danger honours these admirable rule-breakers."
Financial Times," December 27, 2016",Danny Leigh," The director is a little too thrilled to be in the room with his hero, and real revelation is scarce. Still, we get that mega-clang."
East Bay Express," December 27, 2016",Kelly Vance, Long live Iggy.
The Age (Australia)," December 23, 2016",Jake Wilson," On balance, this is mostly for fans -- and even they may feel some of the mixed emotions that arise whenever a one-time rebel is ushered into the hall of fame."
FILMINK (Australia)," December 20, 2016",Erin Free," In the great pantheon of rock docos, this is an instant classic."
Under the Radar," December 15, 2016",J.A. Kordosh, A heartfelt testament to one of rock and roll's truly singular acts. 
El Mundo (Spain)," December 5, 2016",Alberto Bermejo," A documentary of a singer who has reinvented rock, and that it will please the unconditional fans. [Full review in Spanish]"
El Pais (Spain)," December 5, 2016",Javier Ocaña, A film with a devastating sense of humor and a reflective analysis of the musical and lysergic influences of Iggy Pop and The Stoodges. [Full review in Spanish]
Winnipeg Free Press," November 30, 2016",Jill Wilson, There's wistfulness to Gimme Danger that rubs up against the ferocity of the music and creates a frisson of sadness.
Sunday Independent (Ireland)," November 29, 2016",Aine O'Connor," It is a bit too detailed for non fans but as an art doc it works, and as an ode to Iggy and the Stooges it shines."
MLive.com," November 29, 2016",John Serba," Where Scorsese helms docs about George Harrison and Bob Dylan, a veteran indie auteur like Jarmusch profiles a group of proto-punk anti-heroes too ugly and loud for mass consumption. Seems about right."
Film Ireland Magazine," November 22, 2016",Stephen Porzio," Standard as it is, Gimme Danger succeeds at being a very enjoyable documentary that shines a light on a great, great band. Sometimes that's more than enough."
Sensacine," November 22, 2016",Paula Arantzazu Ruiz, A documentary which ultimate goal is to restore the legacy of a unique band and be an evidence that even punk warriors can also be memorable. [Full review in Spanish]
Cinemanía (Spain)," November 22, 2016",Irene Crespo," A documentary that abuses animation and old films scenes to replace the lack of archive images to complete Iggy's interview, main narrator of the history of the group and the only survivor of the original band. [Full review in Spanish]"
Flavorwire," September 18, 2016",Jason Bailey," For a story of music innovators and gleeful deconstructionists, 'Gimme Danger' is surprisingly conventional in its style and approach."
NOW Toronto," September 9, 2016",Norman Wilner," It's probably 20 minutes longer than it needs to be. But when you've got archival footage this electric, and present-day interviews with Iggy Pop that are almost as entertaining, you can't really blame him for overstuffing the package."
ColeSmithey.com," May 28, 2016",Cole Smithey," [CANNES 2016] Here's proof that Iggy is still God, and the Stooges were the baddest rock 'n' roll band around."
The Playlist," May 21, 2016",Nikola Grozdanovic," Even if you don't agree with Jarmusch's introductory claim that The Stooges are the greatest rock and roll band ever, there's still a lot of pleasure to be gleaned from Gimme Danger."
La Jornada," May 20, 2016",Leonardo Garcia Tsao," A good, but not great documentary. [Full review in Spanish]"
El Pais (Spain)," May 20, 2016",Carlos Boyero," The story of the legendary band is presented in an atractive way, making use of the historical and social changes of the time, making the musicians the voice of their generation. [Full review in Spanish]"
AV Club," May 19, 2016",Mike D'Angelo, Jarmusch clearly adores Iggy and wants to ensure that The Stooges receive their due as one of the most influential forces in music history.
Variety," May 19, 2016",Owen Gleiberman," ""Gimme Danger"" is a compelling and detailed diary of everything that made the Stooges what they were. The best reason to see the film is simply the chance it offers to wallow in the grungy glory of Iggy Pop ..."
Hollywood Reporter," May 19, 2016",David Rooney, Two seminal Stooges album titles - 'Fun House' and 'Raw Power' - give a solid indication of this film's appeal.
The Film Stage," May 19, 2016",Giovanni Marchini Camia," Enjoyable and informative, [but] nevertheless confirms that the director should stick to fiction."
Screen International," May 19, 2016",Jonathan Romney, Stooges fans will find plenty to enthuse about in the film's ample coverage of a little-documented career.
Seattle Times," November 2, 2016",Jeff Albertson, Pop proves to be as likable and riveting on screen as he is on stage.
San Francisco Chronicle," November 2, 2016",Mick LaSalle," Pop is an easy guy to watch for almost two hours - amusing, self-deprecating and instantly likable."
Cleveland Plain Dealer," November 2, 2016",John Petkovic, The art of creation is always a messy mix of pushes and pulls and contradictions. The Stooges were among the messiest.
Philadelphia Inquirer," November 1, 2016",Dan DeLuca, A journalistic valentine from Stooges fan Jim Jarmusch to his favorite band.
Reason Online," October 28, 2016",Kurt Loder, Tells the story of the Stooges in all of its calamity and eventual triumph. 
Nerdist," October 28, 2016",Kyle Anderson," I listened to the Stooges for a week straight following my viewing of Gimme Danger, and I'm guessing it'll do the same for you. Search out this movie... and destroy."
RogerEbert.com," October 28, 2016",Glenn Kenny," This is a history lesson that, conventional or not, rocks hard. It can't help it."
Detroit News," October 28, 2016",Adam Graham," The Detroit rockers may not have been ""the greatest rock and roll band ever,"" as the movie declares in its thesis statement, but Jarmusch treats the group as such, which is what you want from a celebration of a band."
TIME Magazine," October 27, 2016",Isaac Guzmán," Hanging back and being cooler than cool has long been a Jarmusch trademark, but when he gets too close to his idols it's an instinct that makes great artists look smaller than they really are."
Salon.com," October 27, 2016",Caryn Rose," Rock and roll is at its core and by default not meant to be neutral, but Jarmusch does an excellent job at steering the narrative as objectively as possible."
New York Times," October 27, 2016",Stephen Holden," ""Gimme Danger"" is ... plenty entertaining and includes many moments of foaming-at-the-mouth musical fury."
NPR," October 27, 2016",Andrew Lapin, The Stooges may be the biggest secret success story in music. Gimme Danger preserves their legacy better than any fan might have dared hope ...
Film Journal International," October 27, 2016",Edward Douglas, A personalized love letter to [Iggy Pop and the Stooges] and a fitting tribute to their legacy.
Paste Magazine," October 27, 2016",Kenji Fujishima, Anyone expecting anything formally inventive from this usually boldly iconoclastic filmmaker will be disappointed.
Metro," October 25, 2016",Matt Prigge," A shaggier affair than most, trading slickness for chumminess, including better stories than Iggy and company would hand strangers."
Slant Magazine," October 24, 2016",Elise Nakhnikian, The film reveals the erudition and shrewd self-awareness that Jim Osterberg drew on to become Iggy Pop.
Movie Mezzanine," October 7, 2016",Vikram Murthi," If Jarmusch has a goal with Gimme Danger beyond putting the history of The Stooges on film, it's to create the feeling of hanging out with Iggy on a nice afternoon while he tells stories for hours."
Collider," October 4, 2016",Chris Cabin," Of course, this is first and foremost a movie about Iggy Pop and The Stooges, and under that rubric, Gimme Danger cannot be considered anything less than a heartfelt, viscerally entertaining, and entirely successful feat. "
Consequence of Sound," October 4, 2016",Nico Lang," Gimme Danger checks the usual rock doc boxes, but it succeeds because of its smashing subject matter. The Stooges may not be the greatest musical act in history, but they are one of the most lively subjects for a documentary."
Maclean's Magazine," September 19, 2016",Brian D. Johnson," Jim Jarmusch assembled a collage of Iggy's exploits that's a bit shambling, yet in the spirit of its subject."
Cinemalogue.com," November 7, 2016",Todd Jorgenson," What it lacks in depth, this documentary compensates by capturing the eclectic spirit of its subject."
Uncut Magazine [UK]," November 4, 2016",Michael Bonner," Gimme Danger could benefit from some deeper contextualizing, but nevertheless it is a staggeringly good film."
National Post," November 4, 2016",Tina Hassannia," Gimme Danger, as incomplete and biased as it may be, offers the perfect template for Jarmusch's hyperbolic thesis. It presents a clear-headed and knowledgeable film that still knows how to have fun."
Georgia Straight," November 4, 2016",Mike Usinger, Gimme Danger is content to be a sanitized history lesson -- the last thing you'd expect from [this] band.
The ARTery," November 4, 2016",Sean Burns, There are worse ways to spend two hours than in the streetwalking cheetah with a heart full of napalm's laundry room.
Reeling Reviews," November 4, 2016",Laura Clifford," This is Jim Jarmusch's second documentary after 1997's poorly received ""Year of the Horse"" and while it's a messy, scattershot affair, the Indie auteur's love of the band is clearly evident"
Globe and Mail," November 4, 2016",Brad Wheeler," Chronologically charts the chaotic rise, fall and reunion of shirtless Iggy Pop and his grungy, volatile crew of iconoclastic Michigan punks who wowed the critics but disappointed the record companies."
Toronto Star," November 3, 2016",Peter Howell," A brainy and funny look at the creation and still-evolving legacy of a rock 'n' roll band Jarmusch considers the greatest of all time, even if RollingStone and snobby critics won't admit it."
SF Weekly," November 3, 2016",Sherilyn Connelly, One of the more entertaining boom-nostalgia docs of late.
Salt Lake Tribune," November 3, 2016",Sean P. Means," Both filmmaker and subjects keep the focus on the music -- with a wealth of performance footage that brings such classics as ""1969"" and ""I Want to Be Your Dog"" to life in all their ragged glory."
Chicago Sun-Times," November 3, 2016",Miriam Di Nunzio, Those who know every shred of the band's story will find the film a cool reminder of what the Stooges meant to rock 'n' roll. Those who know little of their music will find Pop an interesting and forthcoming individual.
Chicago Reader," November 3, 2016",J. R. Jones," Iggy Pop, the band's front man and the only member to graduate to a solo career, is a source of endless hilarity as he recalls the band's grungy beginnings and lurching journey through the music business."
Toronto Sun," November 3, 2016",Jim Slotek," Gimme Danger is more than carried by the colourfulness of its story and characters, and by the bold essay-like thesis that The Stooges -- now firmly ensconced in the Rock and Roll Hall of Fame -- were the greatest rock band of all time."
San Diego Reader," November 3, 2016",Scott Marks, Jarmusch's use of stock footage and snippets of old movies provides perfect backup for the personification of punk nihilism.
Boston Globe," November 3, 2016",Ty Burr," Against the steepest of odds, Iggy survives. Nearing 70, he looks healthier than ever, as if everything we know is wrong and wretched excess guarantees longevity."
Washington Post," November 3, 2016",Ann Hornaday," A bittersweet, elegiac tone can't help but suffuse a film animated by so many anarchic spirits who have since left the planet, but it leaves viewers with the exhilarating, inspiring reassurance that we still have Iggy."
Minneapolis Star Tribune," November 3, 2016",Chris Riemenschneider," If you're looking for a rock star to carry a movie mostly by himself ... Iggy (aka James Osterberg), now 69, is a good candidate."
Los Angeles Times," November 3, 2016",Sheri Linden," ""Gimme Danger"" is essentially a family album assembled by an enamored outsider."
Movie Nation," November 3, 2016",Roger Moore," A fine appreciation, but lacks the context and outside opinions to be definitive. "
Fort Worth Star-Telegram/DFW.com," November 3, 2016",Preston Jones," Diehard Stooges fans likely won't come away from Gimme Danger having learned anything particularly revelatory...but as a celebration of artistic tenacity, Jarmusch's appreciation for the band and its music serves as a handsomely made valentine."
Irish Independent," November 21, 2016",Paul Whitington," A sometimes impassioned but oddly meandering documentary, it tells the stories of the hugely influential 60s group through the recollections of Iggy Pop and fellow band members Ron and Scott Asheton. But as usual, Iggy's the main event."
Observer (UK)," November 20, 2016",Wendy Ide," With this punchy documentary, Jim Jarmusch makes a fairly persuasive case that the Stooges, fronted by snake-hipped rock legend Iggy Pop, were the greatest band of all time."
