source_name,review_date,critic_name,review_detail
Laramie Movie Scope," February 7, 2017",Robert Roten," The based on fact story is a can't miss emotional powerhouse, which manages to overcome some subplots that seem to be time-filling sidetracks."
El antepenúltimo mohicano," February 7, 2017",José Martín," One of the most beautiful and inspiring films of the year, the ones that seem to be thoughtfully detailed to sneak into the award races. [Full review in Spanish]"
LarsenOnFilm," February 5, 2017",Josh Larsen, ...delicate handling of material that easily could have been turned into feel-good slop.
ABC Radio Brisbane," February 4, 2017",Matthew Toomey, It's hard not to feel a tingle down your spine as the film's reaches its climax. My eyes were moist and I wasn't the only one in the audience with that same reaction.
Daily Film Fix," February 3, 2017",Jonathan W. Hickman," In a way, ""Lion"" is a better film than even ""Slumdog"" in that its intimate focus and emotionally engaging story should play deeper and resonate more broadly."
Impulse Gamer," February 1, 2017",Damien Straker," Some films are simply great stories and nothing more. Lion is one such example of this, although its treatment leaves a bit to be desired."
Matt's Movie Reviews," February 1, 2017",Matthew Pejkovic," Patel brilliantly portrays a young man adrift in a sea of uncertainty towards his identity, haunted by a past he barely survived and guilt ridden over loving a family he barely knew. "
El Mundo (Spain)," February 1, 2017",Luis Martínez," What may well have been a reflection on the moral poverty of the world, soon becomes an irritating melodrama. [Full review in Spanish]"
El Pais (Spain)," February 1, 2017",Javier Ocaña, A conventional film with strong tendencies towards being tearful and musical. [Full review in Spanish]
Cinemanía (Spain)," February 1, 2017",Andrea G. Bermejo," Lion's emotional strength lies in its honest approach to adoption, to the feeling of the adoptee and the one adopted, to the stuck pieces, to the inevitable emptiness of not knowing where we come from and who we are. [Full review in Spanish]"
Blog de cine," February 1, 2017",Mikel Zorrilla," An estimable film, especially during its first hour, and that has sufficient virtues that makes it worth to take a look at it. [Full review in Spanish]"
"Commercial Appeal (Memphis, TN)"," February 1, 2017",John Beifuss," The movie's first half is filled with tumult, menace and a vivid sense of place; the second half, which emphasizes the idea that the comfortable and well-educated Saroo is a 'lost' soul (literally), is tedious."
The Sunday Age," January 27, 2017",Craig Mathieson," The movie mostly succeeds in grounding the hard to believe in easy to comprehend circumstances and readily real emotion. It's not a great film, but it's effective in how it sets up and satisfies a life-changing tale."
