source_name,review_date,critic_name,review_detail
AwardsCircuit.com," December 31, 2016",Shane Slater," All these elements make for an impressive piece of cinema, finding poignancy within subtlety and beauty within the darkness."
Blog de cine," December 28, 2016",Alberto Abuín, An estimable film in spite of an end that pleads too much for hope. [Full review in Spanish]
Financial Times," December 27, 2016",Nigel Andrews," It's a striking story. But art, character and dramatic enhancement are absent from its telling here."
Irish Times," December 27, 2016",Tara Brady," Every drama and conflict is quickly, near magically, resolved."
El Mundo (Spain)," December 23, 2016",Alberto Bermejo, An austere film that portrays a very illustrative episode of history. [Full review in Spanish]
El Pais (Spain)," December 23, 2016",Javier Ocaña, A painful film aided by an excellent artistic direction that is probably the best work of Anne Fontaine. [Full review in Spanish]
Cinemanía (Spain)," December 20, 2016",Toni Vall," With this film, Anne Fontaine has achieved something a miracle, the miracle of extreme verisimilitude. [Full review in Spanish]"
Sunday Independent (Ireland)," November 29, 2016",Aine O'Connor," Heartbreaking and heart-warming, it examines faith, love, honour, shame and obedience versus free will."
Irish Independent," November 21, 2016",Paul Whitington," Anne Fontaine does a fine job overall of telling a story in which faith is pitted against moral pragmatism, and ordinary human decency."
It's Just Movies," November 14, 2016",Ron Wilkinson, Extreme opposites unite under the trauma of war to redefine themselves and their futures.
Observer (UK)," November 13, 2016",Wendy Ide," It's a striking, sober film - the restrained use of music contrasts the exquisite devotional song of the sisters with the ugliness of their situation; the black and white of the habits is echoed in the stark winter landscape outside the convent walls."
Little White Lies," November 11, 2016",Poppy Doran," The Innocents - tackling rape, war and religion - is an ambitious film. The gamble is worth it, though, making for a harrowing portrait of womanhood at war."
Independent (UK)," November 10, 2016",Geoffrey Macnab, This is a slow moving but insightful film without a hint of prurience about it.
MovieMail," November 10, 2016",Mike McCahill, Fontaine's film joins Chabrol's underseen A Story of Women as a rare work to seriously and successfully address the female experience of war from the inside out.
Times (UK)," November 10, 2016",Kate Muir, [Mathilde is] played by the captivating French actress Lou de Laâge.
Scotsman," November 10, 2016",Alistair Harkness, As quietly damning as it is tragically hopeful.
Radio Times," November 10, 2016",David Parkinson," While her sense of pace and place is assured, director Anne Fontaine continues to lay great emphasis on performance and Kulesza particularly repays her faith with a chilling display of misplaced piety."
Daily Express (UK)," November 10, 2016",Allan Hunter," Without sensationalism or melodrama, The Innocents builds into a heartbreaking history lesson with compelling performances throughout ..."
Guardian," November 10, 2016",Peter Bradshaw," It pales in comparison with, say, Paweł Pawlikowski's Ida. Yet it is fervently and strongly performed."
