source_name,review_date,critic_name,review_detail
HeyUGuys," January 13, 2017",Cassam Looch," A fresh, entertaining and unmistakably heart-warming film which is set to become a classic in its own right."
Film Ireland Magazine," January 3, 2017",Ellen Murray," Was a live-action remake of Disney's 1967 animated hit really necessary? No. That said, does Jon Favreau's re-interpretation make for good watching? Oh yes!"
Hindustan Times," December 31, 2016",Rashid Irani, Rudyard Kipling's beloved and much-filmed story gets a new millennium makeover in the latest iteration of The Jungle Book.
Black Girl Nerds," December 31, 2016",Joelle Smith," This is really the pitfall of The Jungle Book. It's beautiful, adequately performed, but I've seen this film already."
MetroActive," December 31, 2016",Richard von Busack," Favreau's experience directing the CGI-heavy Iron Man seems to have paid dividends here, as the animation is of the highest order."
The Asahi Shimbun GLOBE (Japan)," December 19, 2016",Claudia Puig, It's the very rare remake that's actually better than the original. The Jungle Book is that rarity. [Full review in Japanese]
Sunday Times (UK)," December 18, 2016",Camilla Long," Children will love this rippling CGI-scape, with newcomer Neel Sethi as a high-fiving Mowgli. Adults, though, will have seen it all before."
MovieCrypt.com," December 14, 2016",Kevin A. Ranson, Neel Sethi made (Mowgli) feel so natural that belief was instantly suspended... even Bill Murray's Baloo couldn't upstage Mowgli - not for a lack of trying.
Film Inquiry," December 7, 2016",Mike Daringer," The Jungle Book encompasses vivid illustrations of archetypal stories, and manages to be accessible and pleasurable for children of all ages. "
Movie Mezzanine," November 17, 2016",Josh Spiegel, [The Jungle Book] stumbles because the people involved aren't willing to fully commit to either making a near-shot-for-shot remake or going in a completely different direction.
Arkansas Democrat-Gazette," November 14, 2016",Piers Marchant," Favreau's film, virtually entirely CGI save for a human child lead, is a serviceable mix of action, computer-provided visual splendor, Disney-approved morality, and fine voice work from its star-studded cast."
Seanax.com," October 6, 2016",Sean Axmaker, ... offers far more than the bare necessities as it combines Kipling's stories and Walt Disney's 1967 animated musical adaptation for a marvelous new version of the classic story of a boy quite literally raised by wolves.
Matt's Movie Reviews," September 20, 2016",Matthew Pejkovic," Considering the amount of VFX heavy duds released at a constant rate, The Jungle Book is a triumph of its kind."
