date,attributes,rDev,name
"Jan 04, 2017",look: 1.75 | smell: 1.75 | taste: 2 | feel: 2 | overall: 2,-1%,Busch Light | Anheuser-Busch
"Dec 12, 2016",look: 4 | smell: 4.25 | taste: 5 | feel: 5 | overall: 4.5,+139%,Busch Light | Anheuser-Busch
"Sep 26, 2016",look: 2 | smell: 2 | taste: 2 | feel: 2.5 | overall: 2,+5.1%,Busch Light | Anheuser-Busch
"Sep 25, 2016",look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5,+156.4%,Busch Light | Anheuser-Busch
"Sep 17, 2016",look: 5 | smell: 2 | taste: 4 | feel: 5 | overall: 4.75,+96.4%,Busch Light | Anheuser-Busch
"Sep 11, 2016",look: 1 | smell: 4 | taste: 3 | feel: 5 | overall: 4.75,+88.2%,Busch Light | Anheuser-Busch
"Aug 13, 2016",look: 3 | smell: 1 | taste: 1 | feel: 3 | overall: 1.5,-27.2%,Busch Light | Anheuser-Busch
"Jul 12, 2016",look: 2 | smell: 2 | taste: 2 | feel: 1.5 | overall: 1.75,-2.6%,Busch Light | Anheuser-Busch
"Jun 01, 2016",look: 1 | smell: 1 | taste: 1.25 | feel: 1.25 | overall: 1.25,-39.5%,Busch Light | Anheuser-Busch
"May 29, 2016",look: 1.5 | smell: 2.25 | taste: 2 | feel: 1.75 | overall: 2,+3.1%,Busch Light | Anheuser-Busch
"May 14, 2016",look: 2.5 | smell: 2.5 | taste: 2.5 | feel: 2.5 | overall: 2.5,+28.2%,Busch Light | Anheuser-Busch
"Apr 22, 2016",look: 3.5 | smell: 1.5 | taste: 2 | feel: 2.5 | overall: 2,+3.6%,Busch Light | Anheuser-Busch
"Apr 18, 2016",look: 1.75 | smell: 1.75 | taste: 2 | feel: 1.75 | overall: 2,-2.6%,Busch Light | Anheuser-Busch
"Apr 11, 2016",look: 3.5 | smell: 3.5 | taste: 4 | feel: 4 | overall: 4.5,+102.6%,Busch Light | Anheuser-Busch
"Apr 05, 2016",look: 1.75 | smell: 1.75 | taste: 2 | feel: 1.75 | overall: 1.75,-5.1%,Busch Light | Anheuser-Busch
"Mar 28, 2016",look: 4.5 | smell: 3 | taste: 4 | feel: 3.5 | overall: 4,+91.8%,Busch Light | Anheuser-Busch
"Mar 17, 2016",look: 3 | smell: 1.75 | taste: 2 | feel: 2.5 | overall: 2.25,+7.7%,Busch Light | Anheuser-Busch
"Feb 10, 2016",look: 4 | smell: 3 | taste: 3 | feel: 2 | overall: 3,+51.8%,Busch Light | Anheuser-Busch
"Jan 12, 2016",look: 2 | smell: 1.5 | taste: 1.5 | feel: 2 | overall: 1.75,-16.4%,Busch Light | Anheuser-Busch
"Jan 10, 2016",look: 2 | smell: 1.75 | taste: 2 | feel: 1.75 | overall: 2,-1.5%,Busch Light | Anheuser-Busch
"Dec 01, 2015",look: 2 | smell: 2 | taste: 3 | feel: 2.5 | overall: 2.75,+33.3%,Busch Light | Anheuser-Busch
"Nov 14, 2015",look: 3.25 | smell: 2 | taste: 1.25 | feel: 1 | overall: 2,-13.8%,Busch Light | Anheuser-Busch
"Oct 12, 2015",look: 2 | smell: 2 | taste: 2 | feel: 2 | overall: 2,+2.6%,Busch Light | Anheuser-Busch
"Oct 04, 2015",look: 1 | smell: 1.5 | taste: 1.75 | feel: 1.5 | overall: 1.75,-16.9%,Busch Light | Anheuser-Busch
"Aug 10, 2015",look: 2.75 | smell: 2.25 | taste: 2.25 | feel: 2 | overall: 2,+13.3%,Busch Light | Anheuser-Busch
"Jul 30, 2015",look: 3 | smell: 3 | taste: 2.5 | feel: 2.5 | overall: 2.75,+38.5%,Busch Light | Anheuser-Busch
"Jun 29, 2015",look: 1.5 | smell: 1.75 | taste: 2 | feel: 2 | overall: 2,-2.1%,Busch Light | Anheuser-Busch
"Jun 25, 2015",look: 2 | smell: 2 | taste: 2 | feel: 2 | overall: 2,+2.6%,Busch Light | Anheuser-Busch
"Jun 20, 2015",look: 2.75 | smell: 2.75 | taste: 2.25 | feel: 2.25 | overall: 2.5,+25.6%,Busch Light | Anheuser-Busch
"May 19, 2015",look: 1.5 | smell: 2 | taste: 2.75 | feel: 2 | overall: 2,+16.4%,Busch Light | Anheuser-Busch
"May 06, 2015",look: 2.25 | smell: 2.25 | taste: 3 | feel: 1.75 | overall: 2.5,+30.8%,Busch Light | Anheuser-Busch
"Apr 20, 2015",look: 2.25 | smell: 2.25 | taste: 2.5 | feel: 2.5 | overall: 2.5,+24.6%,Busch Light | Anheuser-Busch
"Feb 06, 2015",look: 2 | smell: 1.5 | taste: 1.5 | feel: 1.5 | overall: 2,-16.4%,Busch Light | Anheuser-Busch
"Jan 27, 2015",look: 2.25 | smell: 1.25 | taste: 1 | feel: 1.25 | overall: 1.25,-37.9%,Busch Light | Anheuser-Busch
"Jan 24, 2015",look: 3 | smell: 3 | taste: 3.25 | feel: 2.5 | overall: 3,+56.4%,Busch Light | Anheuser-Busch
"Dec 23, 2014",look: 3 | smell: 1.5 | taste: 4 | feel: 3.5 | overall: 3.5,+63.6%,Busch Light | Anheuser-Busch
"Dec 08, 2014",372 characters,+130.8%,Busch Light | Anheuser-Busch
"Nov 24, 2014",487 characters,+92.3%,Busch Light | Anheuser-Busch
"Nov 23, 2014",510 characters,-48.7%,Busch Light | Anheuser-Busch
"Sep 21, 2014",415 characters,-48.7%,Busch Light | Anheuser-Busch
"Aug 17, 2014","1,863 characters",+2.6%,Busch Light | Anheuser-Busch
"Jul 22, 2014",look: 1.75 | smell: 1.75 | taste: 2 | feel: 2 | overall: 1.75,-3.6%,Busch Light | Anheuser-Busch
"Jun 20, 2014",look: 2.5 | smell: 2.25 | taste: 2.25 | feel: 2.25 | overall: 2.25,+16.4%,Busch Light | Anheuser-Busch
"Jun 15, 2014",look: 2.5 | smell: 3 | taste: 3.25 | feel: 3 | overall: 3.25,+60%,Busch Light | Anheuser-Busch
"May 21, 2014",look: 1.5 | smell: 1.5 | taste: 2.25 | feel: 2.5 | overall: 2,+2.6%,Busch Light | Anheuser-Busch
"Apr 23, 2014",look: 2 | smell: 1.75 | taste: 2 | feel: 1.75 | overall: 2,-1.5%,Busch Light | Anheuser-Busch
"Apr 14, 2014",look: 2.5 | smell: 2 | taste: 2 | feel: 2 | overall: 2.25,+6.7%,Busch Light | Anheuser-Busch
"Feb 09, 2014",look: 4 | smell: 4 | taste: 4 | feel: 3.5 | overall: 4,+102.6%,Busch Light | Anheuser-Busch
"Jan 25, 2014",look: 2.25 | smell: 1.75 | taste: 2 | feel: 1.75 | overall: 2,-1%,Busch Light | Anheuser-Busch
"Dec 12, 2013",look: 1.75 | smell: 1.25 | taste: 1.75 | feel: 1.5 | overall: 1.75,-17.4%,Busch Light | Anheuser-Busch
"Nov 27, 2013",look: 2.25 | smell: 2.25 | taste: 2.25 | feel: 2.75 | overall: 2.75,+23.1%,Busch Light | Anheuser-Busch
"Nov 03, 2013",look: 2.25 | smell: 2 | taste: 1.5 | feel: 2.25 | overall: 1.75,-8.2%,Busch Light | Anheuser-Busch
"Oct 21, 2013",look: 1.5 | smell: 2.25 | taste: 1.75 | feel: 1.5 | overall: 1.75,-6.2%,Busch Light | Anheuser-Busch
"Oct 21, 2013",look: 1.5 | smell: 1.25 | taste: 1.25 | feel: 1.5 | overall: 2.5,-21%,Busch Light | Anheuser-Busch
"Sep 28, 2013",look: 3 | smell: 3 | taste: 3 | feel: 2.75 | overall: 3,+52.8%,Busch Light | Anheuser-Busch
"Sep 08, 2013",look: 3.5 | smell: 2.5 | taste: 2.5 | feel: 3 | overall: 2.5,+33.8%,Busch Light | Anheuser-Busch
"Aug 21, 2013",look: 2 | smell: 2.5 | taste: 1.75 | feel: 1.75 | overall: 1.75,look: 2 | smell: 2.5 | taste: 1.75 | feel: 1.75 | overall: 1.75,Busch Light | Anheuser-Busch
"Aug 11, 2013",look: 2 | smell: 1.75 | taste: 1.75 | feel: 1.75 | overall: 1.75,-9.2%,Busch Light | Anheuser-Busch
"Aug 06, 2013",look: 1 | smell: 1 | taste: 1 | feel: 3 | overall: 2,-28.2%,Busch Light | Anheuser-Busch
"Jul 31, 2013",look: 2 | smell: 2 | taste: 2 | feel: 2.5 | overall: 2,+5.1%,Busch Light | Anheuser-Busch
"Jul 12, 2013",look: 2 | smell: 2 | taste: 2 | feel: 1.5 | overall: 1.75,-2.6%,Busch Light | Anheuser-Busch
"Jun 27, 2013",look: 2 | smell: 2 | taste: 2 | feel: 2 | overall: 2,+2.6%,Busch Light | Anheuser-Busch
"Jun 12, 2013",look: 3.25 | smell: 3.25 | taste: 3.25 | feel: 3.25 | overall: 3.25,+66.7%,Busch Light | Anheuser-Busch
"Jun 09, 2013",look: 2.5 | smell: 2.25 | taste: 2.5 | feel: 2.25 | overall: 2.25,+21.5%,Busch Light | Anheuser-Busch
"Apr 18, 2013",look: 3 | smell: 1.75 | taste: 2.5 | feel: 3 | overall: 2.75,+25.6%,Busch Light | Anheuser-Busch
"Apr 07, 2013",look: 3.25 | smell: 2.75 | taste: 2.5 | feel: 2.5 | overall: 2.5,+33.8%,Busch Light | Anheuser-Busch
"Mar 06, 2013",look: 1 | smell: 1 | taste: 1 | feel: 1.25 | overall: 1,-47.2%,Busch Light | Anheuser-Busch
"Feb 20, 2013",look: 3 | smell: 2.75 | taste: 3 | feel: 3 | overall: 2.75,+48.2%,Busch Light | Anheuser-Busch
"Feb 07, 2013",look: 2.5 | smell: 2.5 | taste: 2 | feel: 2 | overall: 2,+10.3%,Busch Light | Anheuser-Busch
"Jan 20, 2013",look: 3 | smell: 2.25 | taste: 2.75 | feel: 3 | overall: 2.75,+36.9%,Busch Light | Anheuser-Busch
"Jan 17, 2013",look: 1 | smell: 1 | taste: 1 | feel: 1 | overall: 1,-48.7%,Busch Light | Anheuser-Busch
"Jan 04, 2013",look: 1.5 | smell: 1.25 | taste: 1 | feel: 2 | overall: 1,-39%,Busch Light | Anheuser-Busch
"Dec 29, 2012",look: 3 | smell: 2 | taste: 3 | feel: 3 | overall: 2.5,+36.4%,Busch Light | Anheuser-Busch
"Dec 23, 2012",look: 3.25 | smell: 3.5 | taste: 3.5 | feel: 3 | overall: 3.5,+76.4%,Busch Light | Anheuser-Busch
"Dec 14, 2012",look: 1.5 | smell: 2 | taste: 1 | feel: 2 | overall: 2,-19.5%,Busch Light | Anheuser-Busch
"Dec 10, 2012",look: 3 | smell: 1 | taste: 1 | feel: 1.5 | overall: 1.5,-34.9%,Busch Light | Anheuser-Busch
"Oct 30, 2012",look: 2.5 | smell: 2.5 | taste: 3 | feel: 3 | overall: 3,+46.2%,Busch Light | Anheuser-Busch
"Oct 17, 2012",look: 2 | smell: 2 | taste: 1.5 | feel: 2 | overall: 2,-7.7%,Busch Light | Anheuser-Busch
"Sep 20, 2012",look: 2 | smell: 1.5 | taste: 2 | feel: 2.5 | overall: 2,-1%,Busch Light | Anheuser-Busch
"Sep 12, 2012",look: 1 | smell: 1 | taste: 1.5 | feel: 4 | overall: 1.5,-17.9%,Busch Light | Anheuser-Busch
"Aug 29, 2012",look: 2 | smell: 1.5 | taste: 3 | feel: 1.5 | overall: 2,+14.4%,Busch Light | Anheuser-Busch
"Aug 09, 2012",look: 1.75 | smell: 1.25 | taste: 1 | feel: 2 | overall: 1.5,-32.8%,Busch Light | Anheuser-Busch
"Jun 17, 2012",look: 1.5 | smell: 2 | taste: 1 | feel: 2.5 | overall: 1,-27.2%,Busch Light | Anheuser-Busch
"Jun 12, 2012",look: 1 | smell: 1 | taste: 1 | feel: 2 | overall: 1,-43.6%,Busch Light | Anheuser-Busch
"May 05, 2012",look: 3 | smell: 3 | taste: 4 | feel: 2 | overall: 3,+69.2%,Busch Light | Anheuser-Busch
"Apr 09, 2012",look: 1 | smell: 1.5 | taste: 1.5 | feel: 1 | overall: 1.5,-27.2%,Busch Light | Anheuser-Busch
"Apr 06, 2012",look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5,+156.4%,Busch Light | Anheuser-Busch
"Mar 27, 2012",look: 2 | smell: 2 | taste: 1.5 | feel: 1.5 | overall: 1.5,-15.4%,Busch Light | Anheuser-Busch
"Mar 26, 2012",look: 1.5 | smell: 1 | taste: 2 | feel: 2.5 | overall: 2.5,-3.6%,Busch Light | Anheuser-Busch
"Mar 02, 2012",look: 3 | smell: 1.5 | taste: 1 | feel: 1.5 | overall: 1.5,-28.7%,Busch Light | Anheuser-Busch
"Feb 17, 2012",look: 2 | smell: 1.5 | taste: 2 | feel: 2.5 | overall: 2,-1%,Busch Light | Anheuser-Busch
"Feb 17, 2012",look: 2 | smell: 1 | taste: 1 | feel: 1.5 | overall: 2,-32.8%,Busch Light | Anheuser-Busch
"Feb 15, 2012",look: 2 | smell: 1.5 | taste: 2 | feel: 1.5 | overall: 2,-6.2%,Busch Light | Anheuser-Busch
"Feb 03, 2012",look: 4 | smell: 4 | taste: 3 | feel: 3 | overall: 3,+69.2%,Busch Light | Anheuser-Busch
"Jan 17, 2012",look: 3.5 | smell: 1.5 | taste: 2.5 | feel: 3 | overall: 2.5,+21.5%,Busch Light | Anheuser-Busch
"Dec 30, 2011",look: 1.5 | smell: 1 | taste: 1 | feel: 1.5 | overall: 1,-44.6%,Busch Light | Anheuser-Busch
"Dec 28, 2011",look: 1 | smell: 1 | taste: 1 | feel: 1 | overall: 1,-48.7%,Busch Light | Anheuser-Busch
"Dec 21, 2011",look: 1.5 | smell: 2 | taste: 2 | feel: 1.5 | overall: 2,-1.5%,Busch Light | Anheuser-Busch
"Dec 15, 2011",look: 1.5 | smell: 3.5 | taste: 1.5 | feel: 1 | overall: 1.5,-1%,Busch Light | Anheuser-Busch
"Dec 02, 2011",look: 1 | smell: 1 | taste: 3 | feel: 2 | overall: 1,-2.6%,Busch Light | Anheuser-Busch
"Dec 01, 2011",look: 3.5 | smell: 2.5 | taste: 2.5 | feel: 3 | overall: 3,+39%,Busch Light | Anheuser-Busch
"Dec 01, 2011",look: 1.5 | smell: 2 | taste: 1.5 | feel: 1.5 | overall: 2.5,-6.7%,Busch Light | Anheuser-Busch
"Nov 30, 2011",look: 1.5 | smell: 1 | taste: 1 | feel: 1 | overall: 1,-47.2%,Busch Light | Anheuser-Busch
"Nov 29, 2011",look: 1 | smell: 3 | taste: 3 | feel: 1 | overall: 1.5,+22.1%,Busch Light | Anheuser-Busch
"Nov 14, 2011",look: 2.5 | smell: 2 | taste: 1.5 | feel: 2 | overall: 2,-6.2%,Busch Light | Anheuser-Busch
"Nov 11, 2011",look: 4.5 | smell: 1 | taste: 3.5 | feel: 3 | overall: 3.5,+49.2%,Busch Light | Anheuser-Busch
"Nov 10, 2011",look: 1 | smell: 1 | taste: 1 | feel: 1 | overall: 1,-48.7%,Busch Light | Anheuser-Busch
"Oct 15, 2011",look: 1.5 | smell: 1.5 | taste: 1.5 | feel: 2 | overall: 2,-15.4%,Busch Light | Anheuser-Busch
"Oct 01, 2011",look: 1.5 | smell: 1 | taste: 1.5 | feel: 2 | overall: 2,-21.5%,Busch Light | Anheuser-Busch
"Sep 26, 2011",look: 2 | smell: 2 | taste: 2 | feel: 2.5 | overall: 2.5,+10.3%,Busch Light | Anheuser-Busch
"Sep 17, 2011",look: 3 | smell: 2.5 | taste: 2.5 | feel: 3.5 | overall: 3,+40%,Busch Light | Anheuser-Busch
"Sep 12, 2011",look: 3 | smell: 2 | taste: 3 | feel: 2.5 | overall: 3,+39%,Busch Light | Anheuser-Busch
"Aug 26, 2011",look: 3 | smell: 3 | taste: 2.5 | feel: 2.5 | overall: 3,+41%,Busch Light | Anheuser-Busch
"Aug 22, 2011",look: 2 | smell: 2.5 | taste: 2 | feel: 3.5 | overall: 2,+16.4%,Busch Light | Anheuser-Busch
"Aug 20, 2011",look: 1.5 | smell: 2 | taste: 1 | feel: 1.5 | overall: 1,-32.3%,Busch Light | Anheuser-Busch
