Pos.This.Week|Pos.Last.Week|Peak.Pos.This.Week|Total.Weeks|Title|Artist|Entry.Date|Pos.Entry|Overall.Peak.Pos|Overall.Total.Weeks|Chart.Date,,
1|1|1|16|Slow Motion|JUVENILE featuring SOULJA SLIM|2004-05-01|70|1|28|20040814,,
2|3|2|8|Lean Back|TERROR SQUAD|2004-06-26|52|1|31|20040814,,
3|2|1|16|Confessions Part II|USHER|2004-05-01|48|1|25|20040814,,
4|6|4|13|Turn Me On|KEVIN LYTTLE|2004-05-22|94|4|25|20040814,,
5|10|5|9|Sunshine|LIL FLIP|2004-06-19|78|2|23|20040814,,
6|7|6|17|Dip It Low|CHRISTINA MILIAN|2004-04-24|87|5|30|20040814,,
7|4|4|16|Move Ya Body|NINA SKY featuring JABBA|2004-05-01|73|4|26|20040814,,
8|5|4|24|If I Ain't Got You|ALICIA KEYS|2004-03-06|64|4|40|20040814,,
9|9|2|22|The Reason|HOOBASTANK|2004-03-20|62|2|38|20040814,,
10|15|10|8|Goodies|CIARA & PETEY PABLO|2004-06-26|94|1|38|20040814,,
11|13|11|9|I Like That|HOUSTON|2004-06-19|75|11|20|20040814,,
12|8|1|23|Burn|USHER|2004-03-13|65|1|30|20040814,,
13|17|13|4|My Place|NELLY|2004-07-24|69|4|20|20040814,,
14|11|11|13|Everytime|BRITNEY SPEARS|2004-05-22|61|11|23|20040814,,
15|12|12|19|Leave|JOJO|2004-04-10|99|12|29|20040814,,
16|23|16|7|Pieces Of Me|ASHLEE SIMPSON|2004-07-03|61|5|21|20040814,,
17|14|8|14|On Fire|LLOYD BANKS|2004-05-15|65|8|20|20040814,,
18|20|18|9|Diary|ALICIA KEYS|2004-06-19|58|8|28|20040814,,
19|19|19|14|Heaven|LOS LONELY BOYS|2004-05-15|67|16|30|20040814,,
20|16|5|27|This Love|MAROON 5|2004-02-14|66|5|43|20040814,,
21|22|1|32|Yeah|USHER feat LUDACRIS & LIL JON|2004-01-10|53|1|45|20040814,,
