Pos.This.Week|Pos.Last.Week|Peak.Pos.This.Week|Total.Weeks|Title|Artist|Entry.Date|Pos.Entry|Overall.Peak.Pos|Overall.Total.Weeks|Chart.Date,,
1|1|1|14|This Is How We Do It|MONTELL JORDAN|1995-02-25|93|1|29|19950527,,
2|2|2|7|Have You Ever Really Loved A Woman|BRYAN ADAMS|1995-04-15|66|1|24|19950527,,
3|6|3|5|Water Runs Dry|BOYZ II MEN|1995-04-29|38|2|28|19950527,,
4|4|4|4|I'll Be There For You / You're All I Need To Get By|METHOD MAN / MARY J. BLIGE|1995-05-06|68|3|20|19950527,,
5|3|2|16|Freak Like Me|ADINA HOWARD|1995-02-11|54|2|30|19950527,,
6|8|6|9|Total Eclipse Of The Heart|NICKI FRENCH|1995-04-01|88|2|27|19950527,,
7|5|4|18|I Know|DIONNE FARRIS|1995-01-28|61|4|38|19950527,,
8|7|2|13|Red Light Special|TLC|1995-03-04|39|2|22|19950527,,
9|9|8|15|I Believe|BLESSED UNION OF SOULS|1995-02-18|85|8|31|19950527,,
10|22|10|5|Don't Take It Personal|MONICA|1995-04-29|82|2|29|19950527,,
11|10|9|12|Dear Mama / Old School|2PAC|1995-03-11|31|9|20|19950527,,
12|11|3|12|Run Away|REAL McCOY|1995-03-11|30|3|20|19950527,,
13|16|13|12|Let Her Cry|HOOTIE AND THE BLOWFISH|1995-03-11|90|9|35|19950527,,
14|15|14|8|Can't You See|TOTAL|1995-04-08|66|13|20|19950527,,
15|17|10|11|Keep Their Heads Ringin'|DR. DRE|1995-03-18|96|10|20|19950527,,
16|14|13|12|Believe|ELTON JOHN|1995-03-11|52|13|20|19950527,,
17|12|5|22|Strong Enough|SHERYL CROW|1994-12-31|81|5|26|19950527,,
18|20|16|18|Hold On|JAMIE WALTERS|1995-01-28|88|16|27|19950527,,
19|18|14|24|In The House Of Stone And Light|MARTIN PAGE|1994-12-17|87|14|35|19950527,,
20|19|19|10|Ask Of You|RAPHAEL SAADIQ|1995-03-25|90|19|20|19950527,,
21|21|1|24|Take A Bow|MADONNA|1994-12-17|45|1|30|19950527,,
22|13|2|21|Candy Rain|SOUL FOR REAL|1995-01-07|71|2|25|19950527,,
23|27|23|12|No More I Love You's|ANNIE LENNOX|1995-03-11|78|23|21|19950527,,
24|24|10|34|Hold My Hand|HOOTIE AND THE BLOWFISH|1994-10-08|95|10|44|19950527,,
25|32|25|4|Every Little Thing I Do|SOUL FOR REAL|1995-05-06|66|17|26|19950527,,
26|25|25|12|Cotton Eye Joe|REDNEX|1995-03-11|94|25|23|19950527,,
27|26|26|7|Give It 2 You|DA BRAT|1995-04-15|77|26|18|19950527,,
28|23|6|20|Big Poppa / Warning|NOTORIOUS B.I.G.|1995-01-14|82|6|24|19950527,,
29|28|4|17|Baby|BRANDY|1995-02-04|60|4|20|19950527,,
30|39|30|10|Run-Around|BLUES TRAVELLER|1995-03-25|80|8|49|19950527,,
31|41|31|9|Shy Guy|DIANA KING|1995-04-01|92|13|29|19950527,,
32|33|32|10|Can't Stop Lovin' You|VAN HALEN|1995-03-25|75|30|20|19950527,,
33|30|5|39|You Gotta Be|DES'REE|1994-09-03|90|5|44|19950527,,
34|31|26|14|I Live My Life For You|FIREHOUSE|1995-02-25|76|26|20|19950527,,
35|42|35|5|Someone To Love|JON B featuring BABYFACE|1995-04-29|69|10|30|19950527,,
36|35|1|29|Creep|TLC|1994-11-12|71|1|32|19950527,,
37|29|8|25|If You Love Me|BROWNSTONE|1994-12-10|79|8|27|19950527,,
38|38|34|16|Dream About You / Funky Melody|STEVIE B|1995-02-11|76|29|23|19950527,,
39|37|3|40|Another Night|MC SAR & THE REAL McCOY|1994-08-27|77|3|45|19950527,,
40|43|40|9|Wonderful|ADAM ANT|1995-04-01|90|39|19|19950527,,
41|36|16|15|Like The Way I Do / If I Wanted To|MELISSA ETHERIDGE|1995-02-18|25|16|20|19950527,,
42|34|15|17|This Lil Game We Play|SUBWAY|1995-02-04|64|15|20|19950527,,
43|51|43|3|December|COLLECTIVE SOUL|1995-05-13|58|20|39|19950527,,
44|40|22|8|I'm Goin' Down|MARY J BLIGE|1995-04-08|42|22|14|19950527,,
45|47|44|12|I'd Rather Be Alone|IV XAMPLE|1995-03-11|92|44|20|19950527,,
46|49|46|6|Freedom|VARIOUS ARTISTS|1995-04-22|72|45|13|19950527,,
47|44|39|10|I'll Be Around|RAPPIN' 4-TAY feat. THE SPINNERS|1995-03-25|68|39|16|19950527,,
48|50|48|11|Close To You|FUN FACTORY|1995-03-18|93|46|20|19950527,,
49|54|49|7|I Like|KUT KLOSE|1995-04-15|85|34|20|19950527,,
50|60|50|5|Strange Currencies|R.E.M.|1995-04-29|80|47|15|19950527,,
51|48|42|11|Until The End Of Time|FOREIGNER|1995-03-18|89|42|16|19950527,,
52|52|21|14|Thank You|BOYZ II MEN|1995-02-25|73|21|20|19950527,,
53|56|53|10|Connection|ELASTICA|1995-03-25|70|53|17|19950527,,
54|55|54|6|Emotions|H-TOWN|1995-04-22|92|51|15|19950527,,
55|59|55|7|Crazy Love|BRIAN McKNIGHT|1995-04-15|88|45|20|19950527,,
56|58|56|5|Grapevyne|BROWNSTONE|1995-04-29|75|49|15|19950527,,
57|53|43|9|Joy|BLACKSTREET|1995-04-01|79|43|13|19950527,,
58|45|31|10|Tell Me When|HUMAN LEAGUE|1995-03-25|63|31|12|19950527,,
59|57|27|18|Everlasting Love|GLORIA ESTEFAN|1995-01-28|77|27|20|19950527,,
60|63|58|15|Think Of You|USHER|1995-02-18|94|58|19|19950527,,
61|NEW|61|1|Sick Of Myself|MATTHEW SWEET|1995-05-27|61|58|20|19950527,,
62|62|54|16|Move It Like This|K7|1995-02-11|92|54|20|19950527,,
63|68|63|5|Secret Garden|BRUCE SPRINGSTEEN|1995-04-29|84|63|7|19950527,,
64|61|51|7|Craziest|NAUGHTY BY NATURE|1995-04-15|84|51|10|19950527,,
65|65|65|5|I Wish|SKEE-LO|1995-04-29|96|13|27|19950527,,
66|77|66|3|When You Say Nothing At All|ALISON KRAUSS & UNION STATION|1995-05-13|98|53|18|19950527,,
67|64|56|10|Here And Now|LETTERS TO CLEO|1995-03-25|83|56|13|19950527,,
68|74|68|3|Baby Baby|CORONA|1995-05-13|81|57|17|19950527,,
69|66|42|13|Mr. Personality|20 FINGERS feat GILLETTE|1995-03-04|84|42|18|19950527,,
70|72|70|5|It's Good To Be King|TOM PETTY|1995-04-29|95|68|8|19950527,,
71|78|71|4|The Way That You Love Me|VANESSA WILLIAMS|1995-05-06|95|67|7|19950527,,
72|67|67|9|Feel So High|DES'REE|1995-04-01|93|67|11|19950527,,
73|73|73|5|The I.N.C. Ride|MASTA ACE INCORPORATED|1995-04-29|90|69|16|19950527,,
74|76|72|10|Lick It|20 FINGERS feat. ROULA|1995-03-25|92|72|15|19950527,,
75|69|53|13|Never Find Someone Like You|KEITH MARTIN|1995-03-04|85|53|16|19950527,,
76|94|76|2|Boombastic|SHAGGY|1995-05-20|94|3|29|19950527,,
77|NEW|77|1|I Kissed A Girl|JILL SOBULE|1995-05-27|77|67|11|19950527,,
78|83|33|15|You Got It|BONNIE RAITT|1995-02-18|74|33|17|19950527,,
79|70|53|13|For Your Love|STEVIE WONDER|1995-03-04|71|53|14|19950527,,
80|96|80|2|Shimmy Shimmy Ya|OL' DIRTY BASTARD|1995-05-20|96|62|15|19950527,,
81|84|81|4|Freak Me Baby|DIS'N'DAT|1995-05-06|96|60|18|19950527,,
82|75|42|6|Bedtime Story|MADONNA|1995-04-22|74|42|7|19950527,,
83|81|69|17|Fat Boy|MAX-A-MILLION|1995-02-04|89|69|20|19950527,,
84|79|17|15|If You Think You're Lonely Now|K-CI HAILEY OF JODECI|1995-02-18|52|17|16|19950527,,
85|80|54|14|Brooklyn Zoo|OL' DIRTY BASTARD|1995-02-25|65|54|16|19950527,,
86|85|77|16|Rodeo|95 SOUTH|1995-02-11|89|77|18|19950527,,
87|NEW|87|1|Whose Bed Have Your Boots Been Under / Any Man Of Mine|SHANIA TWAIN|1995-05-27|87|31|19|19950527,,
88|82|81|9|Safe And Sound|DJ QUIK|1995-04-01|98|81|10|19950527,,
89|NEW|89|1|Froggy Style|NUTTIN' NYCE|1995-05-27|89|63|13|19950527,,
90|98|90|2|What Mattered Most|TY HERNDON|1995-05-20|98|90|3|19950527,,
91|92|87|9|Your Loving Arms|BILLIE RAY MARTIN|1995-04-01|91|87|10|19950527,,
92|NEW|92|1|I Wanna Love Like That|TONY THOMPSON|1995-05-27|92|59|16|19950527,,
93|87|71|14|1-Luv|E-40|1995-02-25|92|71|14|19950527,,
94|93|83|7|Move It To The Rhythm|TECHNOTRONIC|1995-04-15|94|83|7|19950527,,
95|91|91|3|Lifestyles Of The Rich And Shameless|LOST BOYZ|1995-05-13|97|91|6|19950527,,
96|90|84|6|Universal Heartbeat|JULIANA HATFIELD|1995-04-22|85|84|6|19950527,,
97|88|88|2|Just Roll|FABU|1995-05-20|88|88|2|19950527,,
98|89|41|14|Foe Tha Love Of $|BONE THUGS-N-HARMONY featuring EAZY-E|1995-02-25|48|41|14|19950527,,
99|95|95|2|I Don't Mind|IMMATURE|1995-05-20|95|95|2|19950527,,
100|86|86|3|Dreamer|LIVIN' JOY|1995-05-13|91|86|4|19950527,,
1|1|1|13|This Is How We Do It|MONTELL JORDAN|1995-02-25|93|1|29|19950520,,
2|5|2|6|Have You Ever Really Loved A Woman|BRYAN ADAMS|1995-04-15|66|1|24|19950520,,
