,,,Lat,Lon,Route1,Route2,Route3,Route4,Route5,Route6,Route7,Route8,Route9,Route10,Route11,Total Routes,,,,,,,,,,,,,,,
,,,40.703087,-74.012994,R,1,,,,,,,,,,2,,,,,,,,,,,,,,,
,,,40.703087,-74.012994,R,1,,,,,,,,,,2,,,,,,,,,,,,,,,
,,,40.703087,-74.012994,R,1,,,,,,,,,,2,,,,,,,,,,,,,,,
,,,40.703087,-74.012994,R,1,,,,,,,,,,2,,,,,,,,,,,,,,,
,,,40.703087,-74.012994,R,1,,,,,,,,,,2,,,,,,,,,,,,,,,
,,,40.703087,-74.012994,R,1,,,,,,,,,,2,,,,,,,,,,,,,,,
,,,40.702068,-74.013664,R,1,,,,,,,,,,2,,,,,,,,,,,,,,,
,,,40.702068,-74.013664,R,1,,,,,,,,,,2,,,,,,,,,,,,,,,
,,,40.702068,-74.013664,R,1,,,,,,,,,,2,,,,,,,,,,,,,,,
,,,40.702068,-74.013664,R,1,,,,,,,,,,2,,,,,,,,,,,,,,,
,,,40.702068,-74.013664,R,1,,,,,,,,,,2,,,,,,,,,,,,,,,
,,,40.6941,-73.991777,R,2,3,4,5,,,,,,,5,,,,,,,,,,,,,,,
,,,40.6941,-73.991777,R,2,3,4,5,,,,,,,5,,,,,,,,,,,,,,,
,,,40.6941,-73.991777,R,2,3,4,5,,,,,,,5,,,,,,,,,,,,,,,
,,,40.693219,-73.989998,R,2,3,4,5,,,,,,,5,,,,,,,,,,,,,,,
,,,40.693219,-73.989998,R,2,3,4,5,,,,,,,5,,,,,,,,,,,,,,,
,,,40.693219,-73.989998,R,2,3,4,5,,,,,,,5,,,,,,,,,,,,,,,
,,,40.693219,-73.989998,R,2,3,4,5,,,,,,,5,,,,,,,,,,,,,,,
,,,40.670682,-73.958131,FS,2,3,4,5,,,,,,,5,,,,,,,,,,,,,,,
,,,40.670682,-73.958131,FS,2,3,4,5,,,,,,,5,,,,,,,,,,,,,,,
,,,40.670682,-73.958131,FS,2,3,4,5,,,,,,,5,,,,,,,,,,,,,,,
,,,40.670682,-73.958131,FS,2,3,4,5,,,,,,,5,,,,,,,,,,,,,,,
,,,40.670343,-73.959245,FS,2,3,4,5,,,,,,,5,,,,,,,,,,,,,,,
,,,40.692404,-73.990151,R,2,3,4,5,,,,,,,5,,,,,,,,,,,,,,,
,,,40.692404,-73.990151,R,2,3,4,5,,,,,,,5,,,,,,,,,,,,,,,
,,,40.692404,-73.990151,R,2,3,4,5,,,,,,,5,,,,,,,,,,,,,,,
,,,40.692404,-73.990151,R,2,3,4,5,,,,,,,5,,,,,,,,,,,,,,,
,,,40.692404,-73.990151,R,2,3,4,5,,,,,,,5,,,,,,,,,,,,,,,
,,,40.750373,-73.991057,1,2,3,,,,,,,,,3,,,,,,,,,,,,,,,
,,,40.750373,-73.991057,1,2,3,,,,,,,,,3,,,,,,,,,,,,,,,
,,,40.750373,-73.991057,1,2,3,,,,,,,,,3,,,,,,,,,,,,,,,
,,,40.750373,-73.991057,1,2,3,,,,,,,,,3,,,,,,,,,,,,,,,
,,,40.750373,-73.991057,1,2,3,,,,,,,,,3,,,,,,,,,,,,,,,
,,,40.750373,-73.991057,1,2,3,,,,,,,,,3,,,,,,,,,,,,,,,
,,,40.750373,-73.991057,1,2,3,,,,,,,,,3,,,,,,,,,,,,,,,
,,,40.750373,-73.991057,1,2,3,,,,,,,,,3,,,,,,,,,,,,,,,
,,,40.750373,-73.991057,1,2,3,,,,,,,,,3,,,,,,,,,,,,,,,
,,,40.750373,-73.991057,1,2,3,,,,,,,,,3,,,,,,,,,,,,,,,
,,,40.750373,-73.991057,1,2,3,,,,,,,,,3,,,,,,,,,,,,,,,
,,,40.778453,-73.98197,1,2,3,,,,,,,,,3,,,,,,,,,,,,,,,
,,,40.778453,-73.98197,1,2,3,,,,,,,,,3,,,,,,,,,,,,,,,
,,,40.778453,-73.98197,1,2,3,,,,,,,,,3,,,,,,,,,,,,,,,
,,,40.778453,-73.98197,1,2,3,,,,,,,,,3,,,,,,,,,,,,,,,
,,,40.793919,-73.972323,1,2,3,,,,,,,,,3,,,,,,,,,,,,,,,
,,,40.793919,-73.972323,1,2,3,,,,,,,,,3,,,,,,,,,,,,,,,
,,,40.793919,-73.972323,1,2,3,,,,,,,,,3,,,,,,,,,,,,,,,
,,,40.793919,-73.972323,1,2,3,,,,,,,,,3,,,,,,,,,,,,,,,
,,,40.793919,-73.972323,1,2,3,,,,,,,,,3,,,,,,,,,,,,,,,
,,,40.793919,-73.972323,1,2,3,,,,,,,,,3,,,,,,,,,,,,,,,
,,,40.715478,-74.009266,1,2,3,,,,,,,,,3,,,,,,,,,,,,,,,
,,,40.715478,-74.009266,1,2,3,,,,,,,,,3,,,,,,,,,,,,,,,
,,,40.715478,-74.009266,1,2,3,,,,,,,,,3,,,,,,,,,,,,,,,
,,,40.715478,-74.009266,1,2,3,,,,,,,,,3,,,,,,,,,,,,,,,
,,,40.715478,-74.009266,1,2,3,,,,,,,,,3,,,,,,,,,,,,,,,
,,,40.688246,-73.980492,2,3,4,5,,,,,,,,4,,,,,,,,,,,,,,,
,,,40.688246,-73.980492,2,3,4,5,,,,,,,,4,,,,,,,,,,,,,,,
,,,40.688246,-73.980492,2,3,4,5,,,,,,,,4,,,,,,,,,,,,,,,
,,,40.688246,-73.980492,2,3,4,5,,,,,,,,4,,,,,,,,,,,,,,,
,,,40.697466,-73.993086,2,3,,,,,,,,,,2,,,,,,,,,,,,,,,
,,,40.697466,-73.993086,2,3,,,,,,,,,,2,,,,,,,,,,,,,,,
,,,40.706821,-74.0091,2,3,,,,,,,,,,2,,,,,,,,,,,,,,,
,,,40.706821,-74.0091,2,3,,,,,,,,,,2,,,,,,,,,,,,,,,
,,,40.706821,-74.0091,2,3,,,,,,,,,,2,,,,,,,,,,,,,,,
,,,40.706821,-74.0091,2,3,,,,,,,,,,2,,,,,,,,,,,,,,,
,,,40.706821,-74.0091,2,3,,,,,,,,,,2,,,,,,,,,,,,,,,
,,,40.706821,-74.0091,2,3,,,,,,,,,,2,,,,,,,,,,,,,,,
,,,40.680829,-73.975098,2,3,,,,,,,,,,2,,,,,,,,,,,,,,,
,,,40.680829,-73.975098,2,3,,,,,,,,,,2,,,,,,,,,,,,,,,
,,,40.680829,-73.975098,2,3,,,,,,,,,,2,,,,,,,,,,,,,,,
,,,40.680829,-73.975098,2,3,,,,,,,,,,2,,,,,,,,,,,,,,,
,,,40.680829,-73.975098,2,3,,,,,,,,,,2,,,,,,,,,,,,,,,
,,,40.671987,-73.964375,2,3,,,,,,,,,,2,,,,,,,,,,,,,,,
,,,40.671987,-73.964375,2,3,,,,,,,,,,2,,,,,,,,,,,,,,,
,,,40.675235,-73.971046,2,3,,,,,,,,,,2,,,,,,,,,,,,,,,
,,,40.675235,-73.971046,2,3,,,,,,,,,,2,,,,,,,,,,,,,,,
,,,40.675235,-73.971046,2,3,,,,,,,,,,2,,,,,,,,,,,,,,,
,,,40.675235,-73.971046,2,3,,,,,,,,,,2,,,,,,,,,,,,,,,
