0,PLAYER,GAME_DATE,POSITION:1,POSITION:2,POSITION:3,POSITION:4,POSITION:5,DK Sal
24.2943668365,Tim Hardaway Jr.,2017-03-24,0,1,0,0,0,6000.0
20.6594257355,Ryan Anderson,2017-03-24,0,0,0,1,0,4200.0
27.1933422089,Marcus Morris,2017-03-24,0,0,1,1,0,5300.0
23.9630584717,Patrick Beverley,2017-03-24,1,1,0,0,0,5200.0
25.9994049072,Trevor Ariza,2017-03-24,0,0,1,1,0,5300.0
35.8032341003,Draymond Green,2017-03-24,0,0,0,1,1,7700.0
35.6776199341,Al Horford,2017-03-24,0,0,0,0,1,6600.0
25.2981262207,Marcus Smart,2017-03-24,1,1,0,0,0,4800.0
31.0255508423,Markieff Morris,2017-03-24,0,0,0,1,0,5800.0
23.8046722412,Eric Gordon,2017-03-24,0,1,0,0,0,4900.0
24.0999794006,Khris Middleton,2017-03-24,0,0,1,0,0,6300.0
30.0031757355,Jae Crowder,2017-03-24,0,0,1,0,0,5900.0
22.0817089081,Kentavious Caldwell-Pope,2017-03-24,0,1,0,0,0,5200.0
26.7138767242,Gary Harris,2017-03-24,0,1,0,0,0,6500.0
9.62901496887,Lance Stephenson,2017-03-24,0,0,1,0,0,3000.0
9.37679004669,Rodney Stuckey,2017-03-24,1,0,0,0,0,3000.0
19.3398475647,Jeremy Lamb,2017-03-24,0,1,0,0,0,4000.0
25.6640529633,Alex Len,2017-03-24,0,0,0,0,1,4500.0
17.5758056641,Nemanja Bjelica,2017-03-24,0,0,0,1,0,3000.0
11.5431680679,Stanley Johnson,2017-03-24,0,1,1,0,0,3000.0
16.0548553467,Michael Beasley,2017-03-24,0,0,1,1,0,4400.0
14.4989042282,Richard Jefferson,2017-03-24,0,0,1,1,0,3200.0
17.1983413696,Omri Casspi,2017-03-24,0,0,0,1,0,3000.0
14.7650203705,Channing Frye,2017-03-24,0,0,0,1,0,3300.0
18.6870002747,Montrezl Harrell,2017-03-24,0,0,0,0,1,3000.0
13.6965465546,Randy Foye,2017-03-24,0,1,0,0,0,3700.0
11.9626684189,Kosta Koufos,2017-03-24,0,0,0,0,1,3900.0
11.8359136581,Derrick Williams,2017-03-24,0,0,1,0,0,3000.0
12.7849807739,Langston Galloway,2017-03-24,0,1,0,0,0,3000.0
12.0985136032,Timofey Mozgov,2017-03-24,0,0,0,0,1,3000.0
20.288980484,Jared Dudley,2017-03-24,0,0,0,1,0,3000.0
22.9978733063,Richaun Holmes,2017-03-24,0,0,0,0,1,5600.0
22.0668716431,Paul Zipser,2017-03-24,0,1,1,0,0,3800.0
20.436422348,John Henson,2017-03-24,0,0,0,0,1,3000.0
18.5581798553,Zaza Pachulia,2017-03-24,0,0,0,0,1,4000.0
10.6153621674,Jason Terry,2017-03-24,1,0,0,0,0,3000.0
14.8218822479,Michael Carter-Williams,2017-03-24,1,0,0,0,0,3600.0
14.3507032394,Justin Hamilton,2017-03-24,0,0,0,0,1,3000.0
11.4363517761,Ben McLemore,2017-03-24,0,1,0,0,0,3000.0
21.3195762634,Ian Mahinmi,2017-03-24,0,0,0,0,1,3300.0
11.5606307983,Spencer Hawes,2017-03-24,0,0,0,0,1,3000.0
15.2993755341,Amir Johnson,2017-03-24,0,0,0,1,0,3700.0
17.6336994171,Mirza Teletovic,2017-03-24,0,0,0,1,0,3200.0
5.89973926544,Troy Williams,2017-03-24,0,1,0,0,0,3000.0
12.2578220367,Sam Dekker,2017-03-24,0,0,1,1,0,3500.0
17.4743728638,Terry Rozier,2017-03-24,1,0,0,0,0,3000.0
