,X_value,Y_value,Z_value,accel_mag,classification
2017-03-19 10:10:01.000,0.0,0.0,0.0,0.0,W
2017-03-19 10:10:01.063,-0.84784,1.35319,5.54687,5.77215060775,W
2017-03-19 10:10:01.064,-0.61552,0.81431,12.502,12.5436027379,W
2017-03-19 10:10:01.152,0.59396,0.66342,8.70829,8.75369803581,W
2017-03-19 10:10:01.221,-0.07664,0.54606,12.89239,12.9041766543,W
2017-03-19 10:10:01.221,1.02267,0.44068,7.47007,7.55261534809,W
2017-03-19 10:10:01.315,0.21316,1.01309,11.16558,11.2134724894,W
2017-03-19 10:10:01.380,0.11736,0.44787,9.98963,10.0003534159,W
2017-03-19 10:10:01.380,0.68019,1.12326,11.45059,11.5256402344,W
2017-03-19 10:10:01.465,-0.69216,2.03337,6.34441,6.69815028725,W
2017-03-19 10:10:01.465,1.12566,1.78668,9.73336,9.95980083875,W
2017-03-19 10:10:01.541,1.8753,1.28373,8.64842,8.94202892521,W
2017-03-19 10:10:01.619,1.63819,1.14961,8.88073,9.10344083087,W
2017-03-19 10:10:01.623,5.13013,-0.479,10.74645,11.9177960387,W
2017-03-19 10:10:01.698,-4.11464,4.6655,7.07728,9.42258164082,W
2017-03-19 10:10:01.777,2.22497,1.81063,11.21588,11.5769096339,W
2017-03-19 10:10:01.783,2.4525,1.29331,7.76465,8.24482847782,W
2017-03-19 10:10:01.856,2.67524,1.79866,9.66869,10.1919405988,W
2017-03-19 10:10:01.856,2.10522,1.53521,9.54894,9.89803395206,W
2017-03-19 10:10:01.946,2.7878,1.76034,9.95849,10.4900976562,W
2017-03-19 10:10:02.023,2.60099,1.4418,10.4375,10.85289558,W
2017-03-19 10:10:02.023,2.38304,1.93757,10.19081,10.6435739112,W
2017-03-19 10:10:02.106,1.99984,1.37235,10.99314,11.2575233337,W
2017-03-19 10:10:02.181,1.47294,2.14594,8.79212,9.16929576476,W
2017-03-19 10:10:02.181,2.3543,1.94476,10.24829,10.6935619824,W
2017-03-19 10:10:02.266,1.66454,2.57944,8.26521,8.81690991614,W
2017-03-19 10:10:02.266,1.75794,2.55549,8.83523,9.36387587149,W
2017-03-19 10:10:02.340,2.22976,2.25371,8.8951,9.44319026768,W
2017-03-19 10:10:02.423,2.66805,2.56746,9.2328,9.9476096372,W
2017-03-19 10:10:02.423,1.4442,2.42855,9.0891,9.51815673082,W
2017-03-19 10:10:02.498,2.80217,2.58662,10.05908,10.757687957,W
2017-03-19 10:10:02.573,1.36277,2.5986,8.89989,9.37112085319,W
2017-03-19 10:10:02.582,2.03577,2.45969,9.73815,10.2482193483,W
2017-03-19 10:10:02.650,1.5879,2.4022,9.64235,10.0631458686,W
2017-03-19 10:10:02.742,1.66693,2.28724,9.65672,10.0629202323,W
2017-03-19 10:10:02.755,1.33642,2.31598,9.12502,9.5087208276,W
2017-03-19 10:10:02.813,1.88009,2.6465,8.61968,9.21073199917,W
2017-03-19 10:10:02.813,1.75315,2.52675,9.74773,10.2213619757,W
2017-03-19 10:10:02.909,1.79626,2.66566,9.16813,9.71529211708,W
2017-03-19 10:10:02.967,1.93278,2.72074,9.11065,9.70268045947,W
2017-03-19 10:10:02.967,1.70046,2.56507,9.43877,9.92781584385,W
2017-03-19 10:10:03.054,1.7292,2.65129,8.91905,9.46408602067,W
2017-03-19 10:10:03.126,1.82261,2.50519,9.40524,9.90234434898,W
2017-03-19 10:10:03.126,1.93039,2.67524,9.22562,9.79772315358,W
2017-03-19 10:10:03.216,1.76273,2.7399,9.24957,9.80656995324,W
2017-03-19 10:10:03.217,1.84896,2.63452,9.55134,10.0790597035,W
2017-03-19 10:10:03.302,2.01661,2.69919,9.61361,10.1869445753,W
2017-03-19 10:10:03.373,1.72681,2.56507,9.43398,9.92781121504,W
2017-03-19 10:10:03.383,1.88249,2.71835,8.57657,9.19188491483,W
2017-03-19 10:10:03.444,1.56634,2.5986,9.1849,9.67308280568,W
2017-03-19 10:10:03.525,1.57592,2.84049,8.60291,9.1957581392,W
2017-03-19 10:10:03.539,1.70525,2.5028,10.01597,10.4638205472,W
2017-03-19 10:10:03.609,1.71004,2.58183,9.616,10.1023531393,W
2017-03-19 10:10:03.609,2.15312,2.43334,9.9561,10.4728695447,W
2017-03-19 10:10:03.696,1.54239,2.65129,8.3682,8.91263579511,W
2017-03-19 10:10:03.763,1.50886,2.49561,7.95386,8.47163600914,W
2017-03-19 10:10:03.763,0.87658,2.39262,10.02795,10.3466325035,W
2017-03-19 10:10:03.853,1.28134,2.21779,11.84816,12.1218529964,W
2017-03-19 10:10:03.922,1.06339,2.01421,11.28054,11.5081893844,W
2017-03-19 10:10:03.922,1.52563,2.43094,8.25563,8.74027704809,W
2017-03-19 10:10:04.008,0.90532,1.33403,9.6663,9.79982632669,W
2017-03-19 10:10:04.079,2.87402,2.24174,8.43286,9.18686654783,W
2017-03-19 10:10:04.079,1.52084,2.03098,10.22194,10.5321361285,W
2017-03-19 10:10:04.175,2.32077,2.35191,9.22322,9.7972057858,W
2017-03-19 10:10:04.175,1.43701,1.9735,10.02316,10.3161735336,W
2017-03-19 10:10:04.238,2.4046,2.05972,9.94173,10.4337214373,W
2017-03-19 10:10:04.317,0.67779,1.49449,10.55964,10.6863883784,W
2017-03-19 10:10:04.326,1.33403,1.7771,13.77855,13.9565812631,W
2017-03-19 10:10:04.397,2.2609,2.34712,11.50567,11.9583060361,W
2017-03-19 10:10:04.477,4.24876,3.74342,4.77567,7.40757576964,W
2017-03-19 10:10:04.487,4.46192,2.59381,8.18618,9.67729938541,W
2017-03-19 10:10:04.558,10.85423,3.07281,5.03433,12.353175654,W
2017-03-19 10:10:04.558,7.51078,4.72777,-1.32445,8.97317074304,W
2017-03-19 10:10:04.650,6.95514,9.37411,7.97542,14.1370164776,W
2017-03-19 10:10:04.717,0.20358,10.4854,6.1073,12.1360690203,W
2017-03-19 10:10:04.717,4.69903,9.75252,10.20278,14.8757940635,W
2017-03-19 10:10:04.819,8.40891,7.56587,2.60578,11.6078527581,W
2017-03-19 10:10:04.875,10.7249,7.07249,-1.84417,12.9786192563,W
2017-03-19 10:10:04.875,8.39933,6.26298,-4.67987,11.474966063,W
2017-03-19 10:10:04.965,1.79626,4.53617,1.76273,5.18754328265,W
2017-03-19 10:10:04.965,2.44532,3.86077,4.14817,6.17190807159,W
2017-03-19 10:10:05.035,0.65863,3.32429,11.07218,11.5791997752,W
2017-03-19 10:10:05.124,-3.11592,3.0776,7.63532,8.80219806121,W
2017-03-19 10:10:05.124,1.62382,3.32668,13.51031,14.0082856735,W
2017-03-19 10:10:05.197,4.55533,4.22242,8.08798,10.1978077323,W
2017-03-19 10:10:05.270,3.32429,2.52435,10.77519,11.5554301721,W
2017-03-19 10:10:05.281,1.21667,2.87163,4.60083,5.55825345182,W
2017-03-19 10:10:05.352,2.29922,3.88233,7.77184,8.98667879825,W
