time,X_value,Y_value,Z_value
0.000,0.00000,0.00000,0.00000
0.027,-0.05030,-0.02156,9.89383
0.080,0.07904,0.01198,9.82437
0.140,0.10059,0.02395,9.82677
0.180,0.00479,-0.01198,9.85311
0.243,0.12454,0.04790,9.85790
0.278,0.03114,-0.01916,9.85311
0.342,0.07664,0.05269,9.85072
0.378,0.04311,-0.04790,9.83635
0.437,0.03593,0.03832,9.85311
0.477,0.07904,-0.05030,9.84593
0.541,0.03832,0.00719,9.84353
0.577,0.08622,-0.02395,9.85311
0.636,0.07425,0.00000,9.82916
0.675,0.05748,-0.00479,9.83635
0.734,0.08143,-0.02874,9.83874
0.778,0.04072,0.01677,9.85311
0.835,0.07185,-0.02156,9.83395
0.875,0.03353,0.02874,9.84353
0.938,0.04072,-0.02874,9.83874
0.975,0.07425,0.04551,9.85790
1.034,0.05509,0.00240,9.84593
1.072,0.06467,0.03114,9.84832
1.139,0.05030,0.01198,9.83156
1.177,0.07904,-0.01198,9.84593
1.231,0.06706,0.02874,9.83874
1.272,0.07904,-0.01437,9.83635
1.330,0.07664,0.02156,9.84593
1.395,0.02395,-0.01677,9.84832
1.430,0.07904,0.00958,9.85311
1.489,0.05748,0.00479,9.83874
1.529,0.07185,0.00240,9.85072
1.591,0.09101,0.01198,9.85311
1.630,0.06467,-0.00958,9.84353
1.688,0.07425,0.01198,9.84353
1.727,0.04790,0.00000,9.83635
1.790,0.06227,0.00240,9.84593
1.830,0.05748,0.00479,9.86030
1.887,0.06227,0.02156,9.85072
1.927,0.08143,-0.00719,9.86030
1.993,0.04790,0.01437,9.85790
2.026,0.07185,-0.02874,9.83635
2.086,0.06227,0.00479,9.84114
2.127,0.06227,-0.01437,9.84353
2.192,0.06467,0.00240,9.86269
2.223,0.04551,-0.00479,9.84593
2.286,0.06227,-0.00958,9.86030
2.323,0.06467,0.00000,9.85072
2.386,0.05988,-0.02156,9.85790
2.425,0.06706,-0.00479,9.84114
2.485,0.05748,-0.00240,9.82916
2.526,0.07425,-0.01198,9.86269
2.581,0.04551,-0.01437,9.84353
2.620,0.05030,0.00240,9.83635
2.687,0.05748,-0.01437,9.85072
2.740,0.06467,-0.00240,9.84832
2.780,0.06946,-0.00958,9.84114
2.846,0.05748,-0.00479,9.85311
2.878,0.03353,-0.02635,9.85072
2.944,0.02635,0.02156,9.84353
2.984,0.06227,-0.06227,9.85551
3.038,0.05509,0.00479,9.84353
3.079,0.07185,-0.03593,9.83635
3.146,0.07425,-0.02874,9.84353
3.176,0.06467,-0.02156,9.84832
3.242,0.06227,-0.05988,9.84353
3.280,0.04551,0.02156,9.84114
3.336,0.07425,-0.06227,9.84832
3.375,0.04311,0.05748,9.84353
3.435,0.07425,-0.04551,9.85072
3.476,0.04311,0.03832,9.85072
3.533,0.03832,-0.00958,9.85790
3.573,0.05509,0.01437,9.83395
3.634,0.06467,-0.00240,9.86748
3.676,0.06227,-0.01198,9.85551
3.950,0.05030,0.03114,9.85551
3.950,0.05748,-0.01916,9.83874
3.950,0.03353,0.03353,9.84593
3.950,0.07425,-0.03353,9.84832
3.951,0.05509,0.01437,9.85072
3.974,0.06227,-0.02156,9.84353
4.032,0.06706,-0.00719,9.85072
4.071,0.05748,-0.01437,9.84832
4.134,0.09101,-0.01677,9.84353
4.191,0.05030,0.00000,9.84353
4.229,0.06946,-0.01916,9.84353
4.289,0.09101,0.00958,9.86988
4.331,0.04790,-0.01437,9.84832
4.388,0.08143,-0.00240,9.86030
4.436,0.04311,-0.01198,9.83635
4.487,0.08622,0.00719,9.83874
4.531,0.04072,-0.01437,9.85072
4.589,0.05988,-0.00719,9.83874
4.629,0.05748,-0.00958,9.83635
4.686,0.06467,0.00000,9.85311
4.725,0.07425,-0.01437,9.85311
4.789,0.04311,-0.00719,9.85790
4.828,0.07425,-0.01916,9.82677
4.885,0.05748,-0.00719,9.85551
4.925,0.06467,0.00719,9.85072
4.989,0.08143,-0.00719,9.86748
5.028,0.06227,0.00240,9.85072
5.088,0.06946,0.00000,9.83874
5.128,0.04790,-0.00958,9.85790
5.183,0.08862,-0.01916,9.85790
5.228,0.03593,0.00479,9.84114
5.289,0.05748,0.00000,9.85790
5.331,0.05509,-0.00719,9.84353
5.387,0.05988,0.00719,9.86030
5.421,0.07664,-0.00958,9.84353
5.490,0.05509,0.00958,9.85790
5.540,0.07425,0.00240,9.86030
5.579,0.05269,-0.01916,9.85072
5.645,0.06227,0.00479,9.84593
5.685,0.06706,-0.00479,9.86988
5.749,0.05030,-0.00240,9.84353
5.785,0.06467,-0.00240,9.85311
5.838,0.05988,0.01198,9.84114
5.879,0.07425,0.00719,9.86269
5.939,0.06706,0.00000,9.85311
5.977,0.04551,0.00719,9.84353
6.044,0.07664,0.00240,9.86030
6.076,0.05988,-0.00479,9.83156
6.137,0.05269,0.00479,9.84832
6.175,0.05509,0.00000,9.85311
6.235,0.05030,-0.00479,9.85311
6.283,0.05988,0.00479,9.85072
6.334,0.05269,0.00240,9.85311
6.374,0.06227,0.00000,9.84832
6.437,0.06706,-0.00719,9.83874
6.472,0.02635,0.00958,9.84353
6.533,0.07425,-0.00479,9.84593
6.572,0.06467,-0.00719,9.86269
6.641,0.04551,-0.00719,9.84353
6.673,0.06946,0.00958,9.87467
6.731,0.05509,0.00479,9.86269
6.793,0.07664,-0.01198,9.86269
6.832,0.05748,-0.01437,9.84353
6.890,0.06706,0.00240,9.84353
6.935,0.05988,-0.01677,9.84114
6.998,0.04790,-0.00240,9.85311
7.030,0.10538,-0.03353,9.84353
7.092,0.03593,-0.04072,9.85072
7.133,0.12933,0.03593,9.83874
7.194,0.07425,-0.12454,9.86030
7.228,0.06467,0.07425,9.85790
7.287,0.07185,-0.11257,9.85551
7.327,0.05030,0.09580,9.84832
7.387,0.07185,-0.10538,9.85790
7.427,0.05509,0.09341,9.83874
7.489,0.03114,-0.07664,9.85790
7.525,0.09580,0.08143,9.84593
7.585,0.01677,-0.02635,9.86988
7.626,0.10778,0.05269,9.84353
7.687,0.02874,0.00958,9.86269
7.726,0.11257,0.02874,9.85551
7.786,0.07425,0.03114,9.86509
7.828,0.08622,0.01437,9.85072
7.884,0.09341,0.01916,9.86748
7.924,0.05748,-0.01198,9.86509
7.985,0.10778,0.05269,9.83395
8.022,0.02395,-0.03114,9.85311
8.081,0.08143,0.04551,9.85551
8.123,0.02635,-0.05030,9.85551
8.181,0.06706,0.05509,9.85311
8.240,0.07664,-0.04311,9.83635
8.280,0.06467,0.04311,9.86269
8.340,0.05509,-0.01198,9.85551
8.380,0.06706,0.02874,9.84832
8.440,0.05509,0.00958,9.85551
8.478,0.06946,0.01198,9.86988
8.538,0.05748,0.03593,9.84593
8.584,0.09341,-0.00240,9.84832
8.636,0.05988,0.03353,9.83874
8.677,0.07904,-0.01677,9.86509
8.736,0.08383,0.02635,9.85790
8.782,0.05030,-0.01677,9.84832
8.835,0.08143,0.02635,9.84114
8.876,0.04790,-0.02874,9.85311
8.935,0.07904,0.02635,9.85072
8.975,0.04072,-0.03832,9.84593
9.036,0.08143,0.01916,9.84593
9.078,0.04072,-0.02874,9.86269
9.133,0.06227,-0.00958,9.85551
9.173,0.07425,-0.02156,9.84832
9.238,0.04072,0.00719,9.85790
9.272,0.09101,-0.02395,9.85311
9.332,0.06706,-0.00958,9.83874
9.377,0.06706,-0.01677,9.85551
9.437,0.07664,-0.00719,9.85311
9.476,0.06946,-0.00719,9.82437
9.530,0.08383,-0.02156,9.86030
9.589,0.06227,0.02874,9.86509
9.641,0.06706,-0.02156,9.85551
9.688,0.08143,0.01916,9.86509
9.730,0.06227,-0.02874,9.86748
9.795,0.07185,0.00479,9.85790
9.828,0.05269,-0.01437,9.85072
9.889,0.07425,0.00000,9.85551
9.928,0.06467,-0.01198,9.85311
9.987,0.05748,0.00479,9.84114
10.031,0.07664,-0.00240,9.84593
10.087,0.04790,-0.00479,9.84832
10.133,0.07425,-0.00958,9.86509
10.185,0.05748,-0.00719,9.85790
10.227,0.06467,0.00719,9.84353
10.285,0.07904,-0.01437,9.86030
10.324,0.05748,0.00719,9.84114
10.386,0.06467,-0.01437,9.84832
10.429,0.05748,0.00000,9.83874
10.488,0.05748,-0.02156,9.84593
10.533,0.07425,0.00479,9.86030
10.582,0.05030,-0.00240,9.85551
10.628,0.08383,0.00479,9.84353
10.684,0.06227,-0.00240,9.84832
10.723,0.07904,0.00719,9.85551
10.781,0.05988,-0.00958,9.86030
10.828,0.06706,-0.00719,9.85311
10.880,0.06946,-0.00479,9.84832
10.940,0.05988,-0.00479,9.86988
10.980,0.05988,0.00000,9.85790
11.041,0.08143,-0.00958,9.84832
11.079,0.07185,-0.00240,9.84832
11.147,0.06227,-0.00958,9.84832
11.187,0.05030,0.00240,9.85790
11.240,0.05988,-0.00479,9.83635
11.284,0.05748,-0.00240,9.85551
11.343,0.06227,-0.00479,9.85311
11.377,0.06467,-0.00240,9.84832
11.440,0.05509,-0.00479,9.84353
11.476,0.09580,-0.00240,9.84832
11.535,0.06946,-0.00719,9.85072
11.583,0.07185,-0.00479,9.83635
11.635,0.05748,0.00719,9.82677
11.674,0.06467,0.00000,9.85790
11.740,0.05030,0.00000,9.84832
11.773,0.05030,0.00000,9.86030
11.840,0.08143,-0.00719,9.86030
11.879,0.06946,0.00719,9.82437
11.932,0.04311,0.00000,9.85311
11.972,0.08622,-0.00240,9.86988
12.032,0.06706,0.00000,9.85311
12.072,0.07664,-0.00240,9.82437
12.135,0.07185,0.00719,9.84832
12.173,0.06467,0.01198,9.83874
12.232,0.07185,-0.02395,9.85311
12.292,0.04790,0.02395,9.86509
12.330,0.07425,-0.00958,9.85311
12.389,0.07904,-0.00240,9.84593
12.433,0.07185,-0.01198,9.85790
12.489,0.05269,-0.00240,9.84353
12.528,0.07185,-0.00240,9.84593
12.588,0.07425,-0.00719,9.84832
12.633,0.05030,0.00479,9.83635
12.689,0.07904,-0.00240,9.83874
12.735,0.06227,-0.00719,9.86269
12.793,0.05748,0.00479,9.88425
12.826,0.06706,-0.00719,9.86269
12.887,0.04311,-0.00958,9.86030
12.926,0.05269,-0.00719,9.84114
12.988,0.07185,-0.00719,9.85072
13.028,0.05509,0.00958,9.86269
13.084,0.06706,-0.01437,9.86269
13.125,0.05269,-0.00479,9.85072
13.193,0.07185,0.00240,9.86748
13.223,0.04790,0.00958,9.84114
13.282,0.05748,-0.00958,9.86509
13.327,0.06227,-0.00719,9.84832
13.386,0.05748,0.00479,9.83874
13.427,0.07425,-0.01677,9.85551
13.489,0.07185,0.00479,9.85311
13.521,0.07904,-0.00479,9.86509
13.580,0.05988,-0.00240,9.85790
13.642,0.07185,-0.01437,9.85551
13.686,0.06706,-0.00240,9.84114
13.744,0.06706,-0.00240,9.85311
13.786,0.08383,-0.00719,9.84114
13.843,0.05748,-0.01437,9.83635
13.879,0.05748,-0.03353,9.87467
13.944,0.10778,0.03353,9.84114
13.979,-0.03353,0.03353,9.86509
14.043,0.05030,0.01677,9.85551
14.076,0.07904,0.07904,9.87227
14.136,0.04311,0.03353,9.85790
14.203,0.10778,-0.01677,9.85551
14.255,0.04311,0.06706,9.85311
14.321,0.08383,-0.02635,9.84593
14.378,0.04311,0.06706,9.85790
14.378,0.08143,-0.04551,9.83635
14.434,0.11496,0.07425,9.84593
14.503,0.05269,-0.05030,9.83874
14.556,0.11736,0.07664,9.86748
14.618,0.01198,-0.07904,9.85790
14.673,0.09820,0.08862,9.83635
14.685,0.05030,-0.06706,9.85311
14.732,0.11017,0.09341,9.85790
14.795,0.03353,-0.02395,9.84353
14.863,0.07664,0.04311,9.85551
14.911,0.06946,-0.01677,9.85072
14.970,0.06946,0.00479,9.85072
15.032,0.04311,0.00719,9.85072
15.041,0.07904,-0.01198,9.84832
15.091,0.07185,0.03353,9.85551
15.149,0.05988,-0.01677,9.84832
15.209,0.08143,0.04790,9.84832
15.270,0.05988,-0.04072,9.86509
15.335,0.07664,0.05269,9.84832
15.346,0.07904,0.00000,9.85790
15.396,0.05988,0.00719,9.86509
15.448,0.07425,0.01916,9.85072
15.517,0.09580,0.01437,9.85072
15.566,0.03832,-0.01437,9.87227
15.625,0.12933,0.02874,9.84114
15.625,0.00958,-0.03593,9.84114
15.685,0.08143,0.04072,9.87227
15.755,0.05030,-0.01437,9.85311
15.827,0.06467,0.03353,9.86988
15.866,0.07425,-0.00479,9.82916
15.924,0.04311,0.04311,9.84353
15.924,0.07664,-0.01677,9.86509
15.999,0.02635,0.05509,9.87946
16.055,0.12215,-0.03353,9.84593
16.102,0.01437,-0.01677,9.83874
16.167,0.12933,0.04790,9.82437
16.223,0.01198,-0.00958,9.84353
16.223,0.17723,0.02156,9.85072
16.294,0.06706,-0.04790,9.82437
16.345,-0.02635,0.01437,9.86748
16.426,0.14610,-0.04551,9.86509
16.463,-0.03353,0.00240,9.85072
16.524,0.14849,-0.01198,9.85551
16.579,0.02156,-0.03593,9.86509
16.592,0.11975,0.01437,9.85790
16.645,0.10299,-0.06946,9.85790
16.713,0.05030,0.04790,9.86748
16.766,0.10778,-0.05030,9.86030
16.817,0.00000,0.03593,9.84353
16.884,0.12215,-0.03353,9.87467
16.897,0.03353,0.01437,9.81719
16.937,-0.09820,-0.20597,9.84353
17.003,0.12694,0.17244,9.85311
