time,X_value,Y_value,Z_value
0.000,0.00000,0.00000,0.00000
0.013,0.00719,-0.04311,9.82437
0.062,0.11017,0.01916,9.87706
0.105,0.12694,-0.02635,9.86509
0.165,0.04551,0.06946,9.90580
0.213,0.13173,0.08383,9.93454
0.257,-0.04072,-0.10299,9.85551
0.308,0.01437,0.05748,9.92017
0.363,0.11496,0.05269,9.93454
0.407,-0.06946,0.03114,9.85551
0.457,0.04072,0.03114,9.88185
0.506,-0.02635,0.06227,9.92736
0.556,0.14610,0.06227,9.74533
0.606,0.09101,-0.02635,9.89383
0.657,0.06946,-0.03114,9.93933
0.708,-0.00719,0.01916,9.99202
0.758,0.01677,-0.02156,9.94891
0.810,0.06227,0.01437,9.80761
0.855,0.09341,0.01677,9.91538
0.908,0.10059,-0.06227,9.88904
0.955,0.04790,0.03593,9.89143
1.003,0.07425,0.00240,9.92975
1.054,-0.03114,-0.00719,9.84114
1.117,0.13891,0.06467,9.90101
1.160,-0.00479,-0.04790,9.86269
1.208,0.02874,0.08143,9.80521
1.255,0.12694,0.00719,9.86748
1.315,0.05509,0.01677,9.79084
1.358,0.04790,-0.01916,9.79563
1.417,0.10059,-0.06467,9.86030
1.461,0.04551,0.03353,9.86748
1.517,0.10778,-0.01916,9.80282
1.558,0.01198,0.01198,9.87706
1.609,0.01437,0.05988,9.85311
1.653,0.10059,0.00958,9.87467
1.707,-0.02874,-0.01198,9.89383
1.754,0.09820,0.07425,9.87227
1.814,0.05509,0.04551,9.85551
1.860,-0.01437,-0.00719,9.88904
1.911,0.02156,-0.00719,9.81958
1.953,0.01437,-0.00479,9.97286
2.004,0.07185,-0.05988,9.89143
2.055,0.05988,0.00000,9.90580
2.106,-0.03353,-0.02156,9.99202
2.154,0.02156,0.03832,9.85072
2.204,0.04551,-0.01916,9.90341
2.253,0.00000,-0.01437,9.81240
2.305,0.02156,-0.03114,9.91299
2.353,-0.07185,0.02635,9.91299
2.406,0.06706,0.00479,9.89143
2.459,0.13652,0.05030,9.88185
2.505,0.01198,0.03593,9.93694
2.562,0.06467,-0.04072,9.94652
2.604,0.07904,-0.07425,9.82437
