,business_id,count,cluster
0,4JNXUYY8wbaaDmk3BPzlWw,474,18
1,7sPNbCx7vGAaH7SbNPZ6oA,450,18
2,RESDUcs7fIiihp38-d6_6g,446,18
3,K7lWdNUhCbcnEvI0NhGewg,432,18
4,iCQpiavjjPzJ5_3gPD5Ebg,421,18
5,UPIYuRaZvknINOd1w8kqRQ,417,18
6,g8OnV26ywJlZpezdBnOWUQ,416,18
7,KskYqH1Bi7Z_61pH6Om8pg,413,18
8,JyxHvtj-syke7m9rbza7mA,375,18
9,DkYS3arLOhA8si5uUEmHOw,372,18
10,A5Rkh7UymKm0_Rxm9K2PJw,347,18
11,yfxDa8RFOvJPQh0rNtakHA,344,18
12,fL-b760btOaGa85OJ9ut3w,328,18
13,zdE82PiD6wquvjYLyhOJNA,320,18
14,P7pxQFqr7yBKMMI2J51udw,320,18
15,igHYkXZMLAc9UdV5VnR_AA,320,18
16,j5nPiTwWEFr-VsePew7Sjg,301,18
17,4k3RlMAMd46DZ_JyZU0lMg,301,18
18,XXW_OFaYQkkGOGniujZFHg,293,18
19,cYwJA2A6I12KNkm2rtXd5g,291,19
20,uW6UHfONAmm8QttPkbMewQ,290,18
21,2weQS-RnoOBhb1KsHKyoSQ,283,18
22,3GEEy7RP6e4bT4LAiWFMFQ,277,18
23,3BCsAgo_1i4xMuTyLKMLRQ,276,18
24,IMLrj2klosTFvPRLv56cng,274,18
25,qqs7LP4TXAoOrSlaKRfz3A,274,18
26,vl2IZrNJEA8npSjqXbdwxw,273,18
27,l_GV0hgEoTUf70uJVT0_hg,272,18
28,Cni2l-VKG_pdospJ6xliXQ,269,18
29,ZibmYdOPKLlqDM9oR6xzOA,267,18
30,EnCIojgP5KTr1leaysFE3A,263,18
31,UNI1agsPX2k3eJSJVB91nw,260,18
32,UYh1N1xQhOh-a7nX92xPzQ,257,18
33,sNVGdeOPeitJ3OWUQBINzQ,256,18
34,hIUKufhwR6Ifn7bi0-phLA,255,18
35,rcaPajgKOJC2vo_l3xa42A,252,19
36,gTw6PENNGl68ZPUpYWP50A,248,18
37,-ed0Yc9on37RoIoG2ZgxBA,247,19
38,QJatAcxYgK1Zp9BRZMAx7g,235,19
39,sqRX-XLlhx4rs2c1TpBf8A,231,19
40,rq5dgoksPHkJwJNQKlGQ7w,230,19
41,ugLqbAvBdRDc-gS4hpslXw,230,18
42,WRQ-9LluyivReFiQZFUujw,230,18
43,awI4hHMfa7H0Xf0-ChU5hg,226,18
44,2iTsRqUsPGRH1li1WVRvKQ,224,18
45,ujHiaprwCQ5ewziu0Vi9rw,223,20
46,wX1ORSDKPkA5ftE7F6UONw,223,18
47,SAIrNOB4PtDA4gziNCucwg,223,18
48,y8d90Pt16Nip-B5UXWBP-w,221,18
49,CiYLq33nAyghFkUR15pP-Q,220,18
50,FvVSy2r7_zDEhZWqLgjXNQ,219,18
51,Gaq3S9lmjXVcuDCZ8ulppw,218,19
52,A0X1baHPgw9IiBRivu0G9g,217,18
53,RwMLuOkImBIqqYj4SSKSPg,214,18
54,A-uZAD4zP3rRxb44WUGV5w,214,18
55,gx2yPrOJSwF1ApJYdGBWIw,212,19
56,Jur1iiejUFw_YCkfDfy1gQ,211,19
57,NvKNe9DnQavC9GstglcBJQ,210,20
58,XZbuPXdyA0ZtTu3AzqtQhg,210,19
59,ZAuAwz1ijuydn5yL3q3rzA,210,19
60,EAwh1OmG6t6p3nRaZOW_AA,209,19
61,Ec9CBmL3285XkeHaNp-bSQ,204,19
62,zcScEL0WEdFkROcnz5379g,201,19
63,UCpUOtvqR-NBWBNVMzJleA,196,19
64,1ZnVfS-qP19upP_fwOhZsA,194,18
65,pHJu8tj3sI8eC5aIHLFEfQ,194,19
66,umXvdus9LbC6oxtLdXelFQ,193,18
67,0w3BdEOxvwKTpypwbN5kiQ,192,19
68,n_K2xa_nqzUqaUJa0S_5tQ,192,18
69,G-5kEa6E6PD5fkBRuA7k9Q,191,20
70,zRqi6L1u-YmmVAHjeUbGMQ,191,20
71,364hhL5st0LV16UcBHRJ3A,190,24
72,rioQ_p2pILNbJ4Xp5jW6-Q,186,19
73,3kdSl5mo9dWC4clrQjEDGg,185,20
74,riFzCvp77DMKDX-5GoTpqA,185,19
75,I6EDDi4-Eq_XlFghcDCUhw,183,19
76,hroo5nOO8b9QhHX0GLg7oA,183,19
77,wuQDMDlqM17jQNo0lYQZ7g,182,19
